region;zab_ve_18_59;zab_ve_18_59_R;zab_cil_18_59_R;zab_cih_18_59_R;zab_ve_60;zab_ve_60_R;zab_cil_60_R;zab_cih_60_R;zab_ve_total;zab_ve_total_R;zab_cil_total_R;zab_cih_total_R;st_ve_18_59;st_ve_18_59_R;st_cil_18_59_R;st_cih_18_59_R;st_ve_60;st_ve_60_R;st_cil_60_R;st_cih_60_R;st_ve_total;st_ve_total_R;st_cil_total_R;st_cih_total_R;tyazh_ve_18_59;tyazh_ve_18_59_R;tyazh_cil_18_59_R;tyazh_cih_18_59_R;tyazh_ve_60;tyazh_ve_60_R;tyazh_cil_60_R;tyazh_cih_60_R;tyazh_ve_total;tyazh_ve_total_R;tyazh_cil_total_R;tyazh_cih_total_R;sm_ve_18_59;sm_ve_18_59_R;sm_cil_18_59_R;sm_cih_18_59_R;sm_ve_60;sm_ve_60_R;sm_cil_60_R;sm_cih_60_R;sm_ve_total;sm_ve_total_R;sm_cil_total_R;sm_cih_total_R
Алтайский край;-0.194227;-0.19423;-0.70156;0.19853;-0.088199;-0.08820;-0.58232;0.28809;-0.183233;-0.18323;-0.53698;0.11030;0.256812;NULL;NULL;NULL;0.315032;0.31503;-0.33587;0.70722;0.231798;0.23180;-0.35605;0.61675;-0.258203;NULL;NULL;NULL;0.685063;NULL;NULL;NULL;0.436325;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;0.330758;NULL;NULL;NULL;0.367879;NULL;NULL;NULL
Амурская область;0.281324;0.28132;-0.19284;0.60694;0.495893;0.49589;-0.09528;0.82035;0.354724;0.35472;0.00291;0.61060;0.569645;NULL;NULL;NULL;0.538852;NULL;NULL;NULL;0.540540;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;0.353268;NULL;NULL;NULL;0.489489;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Архангельская область;-0.612875;-0.61288;-1.40047;-0.02387;-0.017559;-0.01756;-0.66028;0.42994;-0.377120;-0.37712;-0.88665;0.02906;-1.250594;-1.25059;NULL;NULL;0.255114;0.25511;-0.52372;0.70562;-0.272169;-0.27217;-1.15196;0.32283;-2.776858;NULL;NULL;NULL;0.444784;NULL;NULL;NULL;-0.473701;NULL;NULL;NULL;-6.823492;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;-0.181300;NULL;NULL;NULL
Астраханская область;-0.153683;-0.15368;-1.09413;0.44817;-1.349958;-1.34996;NULL;NULL;-0.635375;-0.63537;-1.41100;-0.05032;0.242665;NULL;NULL;NULL;-1.722289;-1.72229;NULL;NULL;-0.896086;-0.89609;NULL;NULL;1.000000;NULL;NULL;NULL;-3.046646;NULL;NULL;NULL;-2.033738;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;-2.564902;NULL;NULL;NULL;-1.730364;NULL;NULL;NULL
Белгородская область;-0.508635;NULL;NULL;NULL;0.730359;NULL;NULL;NULL;0.188528;0.18853;-0.74982;0.70959;-0.905387;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;0.395401;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Брянская область;-0.593484;-0.59348;NULL;NULL;0.351397;NULL;NULL;NULL;-0.084139;-0.08414;-0.87119;0.44005;-5.430845;NULL;NULL;NULL;-0.336514;NULL;NULL;NULL;-1.394239;-1.39424;NULL;NULL;1.000000;NULL;NULL;NULL;-2.267035;NULL;NULL;NULL;-2.272127;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;-1.594410;NULL;NULL;NULL;-1.454095;NULL;NULL;NULL
Владимирская область;-0.120203;-0.12020;-1.29113;0.55725;0.213601;0.21360;-0.60659;0.68898;0.029195;0.02919;-0.63752;0.48223;-1.817742;NULL;NULL;NULL;0.354215;NULL;NULL;NULL;-0.309014;-0.30901;-1.85080;0.53410;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Волгоградская область;0.141642;0.14164;-0.28293;0.45950;0.047394;0.04739;-0.39183;0.38144;0.046141;0.04614;-0.26312;0.29965;0.388623;NULL;NULL;NULL;0.306964;0.30696;-0.34842;0.70334;0.212008;0.21201;-0.42686;0.62249;1.000000;NULL;NULL;NULL;0.706856;NULL;NULL;NULL;0.699650;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;0.204959;NULL;NULL;NULL;0.125562;NULL;NULL;NULL
Вологодская область;0.437907;0.43791;-0.05001;0.74372;-0.060538;-0.06054;-0.87188;0.47087;0.234673;0.23467;-0.17894;0.53711;1.000000;NULL;NULL;NULL;0.077017;NULL;NULL;NULL;0.347723;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;0.013531;NULL;NULL;NULL;0.226069;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Воронежская область;-0.203807;-0.20381;-0.66143;0.15944;-0.569580;-0.56958;-1.13524;-0.11670;-0.399610;-0.39961;-0.75387;-0.09769;-1.512293;-1.51229;NULL;NULL;-0.299394;-0.29939;-1.36804;0.38007;-0.708611;-0.70861;-1.79315;0.04407;1.000000;NULL;NULL;NULL;-0.430646;NULL;NULL;NULL;-0.240076;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;-2.631639;NULL;NULL;NULL;-2.677953;NULL;NULL;NULL
