region;zab_ve_18_59;zab_ve_18_59_R;zab_cil_18_59_R;zab_cih_18_59_R;zab_ve_60;zab_ve_60_R;zab_cil_60_R;zab_cih_60_R;zab_ve_total;zab_ve_total_R;zab_cil_total_R;zab_cih_total_R;st_ve_18_59;st_ve_18_59_R;st_cil_18_59_R;st_cih_18_59_R;st_ve_60;st_ve_60_R;st_cil_60_R;st_cih_60_R;st_ve_total;st_ve_total_R;st_cil_total_R;st_cih_total_R;tyazh_ve_18_59;tyazh_ve_18_59_R;tyazh_cil_18_59_R;tyazh_cih_18_59_R;tyazh_ve_60;tyazh_ve_60_R;tyazh_cil_60_R;tyazh_cih_60_R;tyazh_ve_total;tyazh_ve_total_R;tyazh_cil_total_R;tyazh_cih_total_R;sm_ve_18_59;sm_ve_18_59_R;sm_cil_18_59_R;sm_cih_18_59_R;sm_ve_60;sm_ve_60_R;sm_cil_60_R;sm_cih_60_R;sm_ve_total;sm_ve_total_R;sm_cil_total_R;sm_cih_total_R
Алтайский край;0.084493;0.08449;-0.12639;0.26487;0.231862;0.23186;0.04935;0.38685;0.115356;0.11536;-0.02751;0.24298;0.463907;0.46391;0.00836;0.74667;0.466615;0.46662;0.22917;0.64595;0.383603;0.38360;0.15049;0.56672;0.333506;NULL;NULL;NULL;0.570973;0.57097;0.14076;0.81953;0.439522;0.43952;-0.01169;0.72444;0.367686;NULL;NULL;NULL;0.462987;NULL;NULL;NULL;0.342712;0.34271;-0.48721;0.77091
Амурская область;0.263399;0.26340;-0.03981;0.49581;-0.136266;-0.13627;-0.73567;0.29256;0.160109;0.16011;-0.10116;0.37232;-0.124990;-0.12499;-1.17504;0.48300;0.370353;0.37035;-0.26251;0.73532;0.235364;0.23536;-0.24222;0.56175;-0.388877;NULL;NULL;NULL;0.789329;NULL;NULL;NULL;0.575993;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;-0.000689;NULL;NULL;NULL;0.261914;NULL;NULL;NULL
Архангельская область;0.151072;0.15107;-0.07097;0.33771;0.267131;0.26713;0.05536;0.44144;0.169027;0.16903;0.01230;0.30675;0.455283;0.45528;0.04709;0.72118;0.191740;0.19174;-0.12462;0.43617;0.163082;0.16308;-0.11461;0.38641;0.051306;NULL;NULL;NULL;0.284581;0.28458;-0.31387;0.65218;0.081518;0.08152;-0.54132;0.49540;1.000000;NULL;NULL;NULL;0.076878;0.07688;-1.17179;0.68494;0.139834;0.13983;-0.96832;0.70204
Астраханская область;0.049929;0.04993;-0.21102;0.26703;0.196028;0.19603;-0.13982;0.45401;0.109238;0.10924;-0.08929;0.28001;0.160947;0.16095;-0.48760;0.57433;0.258721;0.25872;-0.33864;0.63566;0.230705;0.23071;-0.17143;0.52226;0.230290;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;0.770561;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Белгородская область;-0.050444;-0.05044;-0.46842;0.27119;0.461472;0.46147;0.16869;0.67264;0.240090;0.24009;0.00753;0.43027;-1.757415;-1.75742;NULL;NULL;0.730882;NULL;NULL;NULL;0.234038;0.23404;-0.32761;0.59895;-2.676554;NULL;NULL;NULL;0.456157;NULL;NULL;NULL;0.318519;NULL;NULL;NULL;-6.353107;NULL;NULL;NULL;0.330655;NULL;NULL;NULL;-0.103350;NULL;NULL;NULL
Брянская область;-0.354970;-0.35497;-1.12498;0.18579;0.154052;0.15405;-0.33441;0.49710;-0.119186;-0.11919;-0.54976;0.21627;-3.516565;-3.51657;NULL;NULL;0.503710;NULL;NULL;NULL;-0.280185;-0.28019;-1.51590;0.43445;1.000000;NULL;NULL;NULL;0.172851;NULL;NULL;NULL;0.173214;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;-0.378582;NULL;NULL;NULL;-0.240179;NULL;NULL;NULL
Владимирская область;0.397319;0.39732;-0.02945;0.68131;0.105977;0.10598;-0.34755;0.43783;0.231256;0.23126;-0.07072;0.46711;1.000000;NULL;NULL;NULL;0.500578;0.50058;-0.10229;0.82356;0.599335;0.59934;0.12065;0.85801;1.000000;NULL;NULL;NULL;0.287491;NULL;NULL;NULL;0.358937;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;0.332023;NULL;NULL;NULL;0.394551;NULL;NULL;NULL
Волгоградская область;-0.243147;-0.24315;-0.40249;-0.09784;-0.055976;-0.05598;-0.22286;0.09287;-0.189696;-0.18970;-0.30637;-0.08111;0.001180;0.00118;-0.50529;0.36905;0.003852;0.00385;-0.28777;0.24220;-0.125883;-0.12588;-0.40230;0.10729;-0.057836;-0.05784;-1.44372;0.63543;0.207936;0.20794;-0.24460;0.52472;0.022159;0.02216;-0.46505;0.37702;1.000000;NULL;NULL;NULL;0.458061;NULL;NULL;NULL;0.440355;NULL;NULL;NULL
Вологодская область;-0.063911;-0.06391;-0.27100;0.11640;0.117786;0.11779;-0.14941;0.33531;-0.003460;-0.00346;-0.16419;0.13984;0.045180;0.04518;-0.72291;0.52117;0.035304;0.03530;-0.50972;0.41598;0.020180;0.02018;-0.40802;0.34156;0.471956;NULL;NULL;NULL;-0.107614;-0.10761;-1.64017;0.62458;0.042062;0.04206;-1.09645;0.63579;1.000000;NULL;NULL;NULL;0.685205;NULL;NULL;NULL;0.760516;NULL;NULL;NULL
Воронежская область;0.000028;0.00003;-0.16420;0.14655;0.018553;0.01855;-0.18454;0.19468;0.002143;0.00214;-0.12394;0.11748;-0.053903;-0.05390;-0.77020;0.42137;0.038306;0.03831;-0.37999;0.35461;-0.016812;-0.01681;-0.37346;0.26631;-1.663711;NULL;NULL;NULL;-0.237873;-0.23787;-1.45771;0.45655;-0.561482;-0.56148;-1.78198;0.19731;1.000000;NULL;NULL;NULL;-0.387271;-0.38727;NULL;NULL;-0.243827;-0.24383;-1.90348;0.57371
