region;zab_ve_18_59;zab_ve_18_59_R;zab_cil_18_59_R;zab_cih_18_59_R;zab_ve_60;zab_ve_60_R;zab_cil_60_R;zab_cih_60_R;zab_ve_total;zab_ve_total_R;zab_cil_total_R;zab_cih_total_R;st_ve_18_59;st_ve_18_59_R;st_cil_18_59_R;st_cih_18_59_R;st_ve_60;st_ve_60_R;st_cil_60_R;st_cih_60_R;st_ve_total;st_ve_total_R;st_cil_total_R;st_cih_total_R;tyazh_ve_18_59;tyazh_ve_18_59_R;tyazh_cil_18_59_R;tyazh_cih_18_59_R;tyazh_ve_60;tyazh_ve_60_R;tyazh_cil_60_R;tyazh_cih_60_R;tyazh_ve_total;tyazh_ve_total_R;tyazh_cil_total_R;tyazh_cih_total_R;sm_ve_18_59;sm_ve_18_59_R;sm_cil_18_59_R;sm_cih_18_59_R;sm_ve_60;sm_ve_60_R;sm_cil_60_R;sm_cih_60_R;sm_ve_total;sm_ve_total_R;sm_cil_total_R;sm_cih_total_R
Алтайский край;NULL;-0.10800;-0.28870;0.05301;NULL;0.00935;-0.16934;0.16633;NULL;-0.08780;-0.21698;0.03073;NULL;0.33732;-0.06757;0.61791;NULL;0.09434;-0.20196;0.33160;NULL;0.07221;-0.18555;0.28572;NULL;NULL;NULL;NULL;NULL;0.12220;-0.48915;0.52135;NULL;0.19238;-0.33189;0.54618;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Амурская область;NULL;-0.03196;-0.33370;0.21433;NULL;-0.15167;-0.64521;0.21903;NULL;-0.06330;-0.31193;0.14739;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.44303;-0.07934;0.75182;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Архангельская область;NULL;0.05710;-0.14145;0.22939;NULL;0.06247;-0.15490;0.24758;NULL;0.03041;-0.11708;0.16310;NULL;0.34368;-0.12468;0.65371;NULL;0.19127;-0.14301;0.44696;NULL;0.13119;-0.16610;0.36910;NULL;NULL;NULL;NULL;NULL;0.13408;-0.87605;0.66889;NULL;0.03251;-0.96864;0.59687;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Астраханская область;NULL;-0.17698;-0.29622;-0.06626;NULL;-0.19589;-0.35820;-0.04881;NULL;-0.18638;-0.28156;-0.09667;NULL;0.14557;-0.16141;0.38815;NULL;-0.50545;-0.93191;-0.15654;NULL;-0.18038;-0.43351;0.03724;NULL;NULL;NULL;NULL;NULL;-0.16098;-1.16216;0.44061;NULL;-0.08585;-0.91331;0.43770;NULL;NULL;NULL;NULL;NULL;-0.22103;-1.89026;0.58461;NULL;-0.24097;-1.73932;0.53046
Белгородская область;NULL;-0.59402;-0.96587;-0.28046;NULL;0.08325;-0.26459;0.35399;NULL;-0.32673;-0.58229;-0.10449;NULL;-0.10100;-1.42471;0.58288;NULL;0.31195;-0.56840;0.76116;NULL;0.13496;-0.55050;0.56428;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Брянская область;NULL;-0.21992;-0.54315;0.05046;NULL;-0.14163;-0.46083;0.12168;NULL;-0.23064;-0.46070;-0.02874;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.12958;-1.21446;0.50023;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Владимирская область;NULL;-0.22630;-0.59728;0.07853;NULL;0.06270;-0.28678;0.33802;NULL;-0.11740;-0.37204;0.10144;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Волгоградская область;NULL;-0.29681;-0.42731;-0.17560;NULL;0.03211;-0.10739;0.15781;NULL;-0.17729;-0.27329;-0.08691;NULL;0.05356;-0.36648;0.36953;NULL;0.13657;-0.12731;0.35105;NULL;0.02386;-0.21388;0.22497;NULL;-0.95816;NULL;NULL;NULL;0.53225;0.06174;0.80343;NULL;0.10941;-0.47274;0.50051;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Вологодская область;NULL;-0.19576;-0.47453;0.04225;NULL;0.26366;-0.01194;0.48038;NULL;-0.02227;-0.21959;0.15065;NULL;-1.22038;NULL;NULL;NULL;0.32934;-0.29369;0.70030;NULL;-0.21848;-0.93372;0.27880;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.79261;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Воронежская область;NULL;0.02873;-0.11118;0.15533;NULL;-0.13132;-0.32249;0.03805;NULL;-0.04265;-0.15484;0.06126;NULL;0.01160;-0.65286;0.45568;NULL;0.03345;-0.37740;0.34473;NULL;-0.07344;-0.44263;0.22046;NULL;NULL;NULL;NULL;NULL;-0.70657;NULL;NULL;NULL;-0.14345;-1.35416;0.52686;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
