region;zab_ve_18_59;zab_ve_18_59_R;zab_cil_18_59_R;zab_cih_18_59_R;zab_ve_60;zab_ve_60_R;zab_cil_60_R;zab_cih_60_R;zab_ve_total;zab_ve_total_R;zab_cil_total_R;zab_cih_total_R;st_ve_18_59;st_ve_18_59_R;st_cil_18_59_R;st_cih_18_59_R;st_ve_60;st_ve_60_R;st_cil_60_R;st_cih_60_R;st_ve_total;st_ve_total_R;st_cil_total_R;st_cih_total_R;tyazh_ve_18_59;tyazh_ve_18_59_R;tyazh_cil_18_59_R;tyazh_cih_18_59_R;tyazh_ve_60;tyazh_ve_60_R;tyazh_cil_60_R;tyazh_cih_60_R;tyazh_ve_total;tyazh_ve_total_R;tyazh_cil_total_R;tyazh_cih_total_R;sm_ve_18_59;sm_ve_18_59_R;sm_cil_18_59_R;sm_cih_18_59_R;sm_ve_60;sm_ve_60_R;sm_cil_60_R;sm_cih_60_R;sm_ve_total;sm_ve_total_R;sm_cil_total_R;sm_cih_total_R
Алтайский край;0.120971;0.12097;-0.78596;0.65121;0.418335;NULL;NULL;NULL;0.263039;0.26304;-0.37404;0.66359;1.000000;NULL;NULL;NULL;-0.307608;NULL;NULL;NULL;0.366035;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;-1.104260;NULL;NULL;NULL;-0.162943;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Амурская область;-0.750059;-0.75006;NULL;NULL;1.000000;NULL;NULL;NULL;-0.254273;-0.25427;-1.43576;0.46248;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Архангельская область;-0.401470;-0.40147;-1.85133;0.44435;-1.632230;NULL;NULL;NULL;-0.574002;-0.57400;-1.76842;0.21286;1.000000;NULL;NULL;NULL;-2.372034;NULL;NULL;NULL;-0.308642;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;-4.026829;NULL;NULL;NULL;-1.021268;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;-9.340905;NULL;NULL;NULL;-3.860669;NULL;NULL;NULL
Астраханская область;-0.632494;NULL;NULL;NULL;0.506139;NULL;NULL;NULL;-0.107863;-0.10786;-1.38819;0.60344;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Белгородская область;-1.359941;NULL;NULL;NULL;0.438683;NULL;NULL;NULL;-0.383856;-0.38386;-1.98408;0.50474;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Брянская область;-1.011701;NULL;NULL;NULL;-0.555846;NULL;NULL;NULL;-0.657734;-0.65773;NULL;NULL;1.000000;NULL;NULL;NULL;-1.137324;NULL;NULL;NULL;-0.342360;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Владимирская область;0.438025;NULL;NULL;NULL;0.172479;NULL;NULL;NULL;0.397547;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Волгоградская область;-1.315028;-1.31503;NULL;NULL;-0.842817;-0.84282;NULL;NULL;-1.097018;-1.09702;NULL;NULL;-0.923727;NULL;NULL;NULL;-1.298306;NULL;NULL;NULL;-0.998883;-0.99888;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Вологодская область;-0.577024;-0.57702;-1.52675;0.09559;-0.872668;-0.87267;NULL;NULL;-0.541979;-0.54198;-1.32745;0.04131;1.000000;NULL;NULL;NULL;-0.086518;NULL;NULL;NULL;0.605738;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;-2.483756;NULL;NULL;NULL;-0.403384;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;-6.315888;NULL;NULL;NULL;-2.274563;NULL;NULL;NULL
Воронежская область;-0.651477;-0.65148;-1.90296;0.17379;-0.214909;NULL;NULL;NULL;-0.463804;-0.46380;-1.37343;0.17631;1.000000;NULL;NULL;NULL;-1.123304;NULL;NULL;NULL;-0.312882;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;-4.260003;NULL;NULL;NULL;-2.335022;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;-7.901544;NULL;NULL;NULL;-5.594248;NULL;NULL;NULL
г. Москва;-0.377206;-0.37721;-0.83372;-0.00422;0.156476;0.15648;-0.71088;0.66496;-0.160278;-0.16028;-0.51767;0.13573;-0.152238;NULL;NULL;NULL;0.249288;NULL;NULL;NULL;0.345827;NULL;NULL;NULL;-0.166290;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;0.714172;NULL;NULL;NULL;-1.812817;NULL;NULL;NULL;-0.588585;NULL;NULL;NULL;-0.116345;NULL;NULL;NULL
г. Санкт-Петербург;-0.064267;-0.06427;-0.67662;0.37647;-0.537718;NULL;NULL;NULL;0.054048;0.05405;-0.43854;0.41860;0.351193;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;0.693875;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
г. Севастополь;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
