region;zab_ve_18_59;zab_ve_18_59_R;zab_cil_18_59_R;zab_cih_18_59_R;zab_ve_60;zab_ve_60_R;zab_cil_60_R;zab_cih_60_R;zab_ve_total;zab_ve_total_R;zab_cil_total_R;zab_cih_total_R;st_ve_18_59;st_ve_18_59_R;st_cil_18_59_R;st_cih_18_59_R;st_ve_60;st_ve_60_R;st_cil_60_R;st_cih_60_R;st_ve_total;st_ve_total_R;st_cil_total_R;st_cih_total_R;tyazh_ve_18_59;tyazh_ve_18_59_R;tyazh_cil_18_59_R;tyazh_cih_18_59_R;tyazh_ve_60;tyazh_ve_60_R;tyazh_cil_60_R;tyazh_cih_60_R;tyazh_ve_total;tyazh_ve_total_R;tyazh_cil_total_R;tyazh_cih_total_R;sm_ve_18_59;sm_ve_18_59_R;sm_cil_18_59_R;sm_cih_18_59_R;sm_ve_60;sm_ve_60_R;sm_cil_60_R;sm_cih_60_R;sm_ve_total;sm_ve_total_R;sm_cil_total_R;sm_cih_total_R
Курганская область;0.532706;NULL;NULL;NULL;0.090648;0.09065;-0.97851;0.67618;0.375664;0.37566;-0.13024;0.70085;1.000000;NULL;NULL;NULL;0.152484;NULL;NULL;NULL;0.207464;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Курская область;-0.470138;-0.47014;-1.75073;0.33040;0.286185;NULL;NULL;NULL;-0.144405;-0.14440;-0.96652;0.40717;1.000000;NULL;NULL;NULL;0.476965;NULL;NULL;NULL;0.629369;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Ленинградская область;1.000000;NULL;NULL;NULL;0.175516;NULL;NULL;NULL;0.706738;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Липецкая область;0.170864;0.17086;-0.61264;0.64501;0.875424;NULL;NULL;NULL;0.499021;0.49902;0.06420;0.77158;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Магаданская область;-3.583300;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;-2.655996;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Московская область;0.140782;0.14078;-0.20499;0.41296;0.371311;0.37131;-0.00356;0.63850;0.230554;0.23055;-0.01712;0.43423;0.524194;NULL;NULL;NULL;0.809860;NULL;NULL;NULL;0.672051;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Мурманская область;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Ненецкий автономный округ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Нижегородская область;0.195168;0.19517;-0.73301;0.71173;-0.239466;-0.23947;-1.31537;0.43489;-0.070430;-0.07043;-0.76503;0.41188;1.000000;NULL;NULL;NULL;-0.590704;NULL;NULL;NULL;-0.407588;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;-1.861707;NULL;NULL;NULL;-2.351676;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Новгородская область;-0.366822;NULL;NULL;NULL;0.649773;NULL;NULL;NULL;0.111006;0.11101;-0.91692;0.68184;-1.140570;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;0.187867;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Новосибирская область;-0.238120;-0.23812;-1.07995;0.33783;-0.457495;-0.45749;-1.30090;0.14737;-0.443705;-0.44371;-1.04969;0.02841;-2.209787;NULL;NULL;NULL;-1.802044;-1.80204;NULL;NULL;-2.599825;-2.59983;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Омская область;-0.383102;-0.38310;-1.18329;0.19084;0.308521;0.30852;-0.34136;0.70347;-0.075486;-0.07549;-0.58039;0.30755;-0.629617;-0.62962;NULL;NULL;0.202051;NULL;NULL;NULL;-0.145300;-0.14530;-1.07309;0.45118;-2.503677;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;0.361490;NULL;NULL;NULL;-4.605884;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;-0.199838;NULL;NULL;NULL
Оренбургская область;0.222718;NULL;NULL;NULL;0.610791;NULL;NULL;NULL;0.377414;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Орловская область;0.174624;NULL;NULL;NULL;-1.617561;NULL;NULL;NULL;-0.467817;-0.46782;-1.98529;0.41793;1.000000;NULL;NULL;NULL;-2.307808;NULL;NULL;NULL;-1.024147;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Пензенская область;-0.578914;-0.57891;-1.53428;0.09565;-0.392508;-0.39251;-0.84821;-0.02483;-0.875700;-0.87570;-1.39079;-0.44397;0.307707;NULL;NULL;NULL;-0.389713;-0.38971;-1.16802;0.16171;-1.358921;-1.35892;NULL;NULL;1.000000;NULL;NULL;NULL;-1.082131;-1.08213;NULL;NULL;-2.761169;-2.76117;NULL;NULL;1.000000;NULL;NULL;NULL;-0.544438;NULL;NULL;NULL;-2.385052;NULL;NULL;NULL
Пермский край;-0.732317;-0.73232;NULL;NULL;1.000000;NULL;NULL;NULL;-0.016293;-0.01629;-1.18838;0.63600;-8.466998;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;-2.537862;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Приморский край;0.187746;0.18775;-0.57500;0.65159;-0.043827;-0.04383;-0.95338;0.52462;0.038109;0.03811;-0.53766;0.44747;0.240026;NULL;NULL;NULL;-0.494893;NULL;NULL;NULL;-0.451986;-0.45199;NULL;NULL;1.000000;NULL;NULL;NULL;-2.841527;NULL;NULL;NULL;-2.837051;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;-5.353294;NULL;NULL;NULL;-5.159476;NULL;NULL;NULL
Псковская область;0.012947;NULL;NULL;NULL;-0.620247;NULL;NULL;NULL;-0.316678;-0.31668;-1.84357;0.52919;-3.068583;NULL;NULL;NULL;-3.199415;NULL;NULL;NULL;-3.486178;NULL;NULL;NULL;-14.164720;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;-3.102492;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Республика Адыгея;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Республика Алтай;1.000000;NULL;NULL;NULL;0.390576;NULL;NULL;NULL;0.794478;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Республика Башкортостан;-0.537834;-0.53783;-1.43491;0.10228;-0.035127;-0.03513;-0.69341;0.42117;-0.379612;-0.37961;-0.94432;0.06104;-2.935045;-2.93504;NULL;NULL;-0.753176;-0.75318;NULL;NULL;-1.963803;-1.96380;NULL;NULL;-3.054289;NULL;NULL;NULL;0.353439;NULL;NULL;NULL;-0.909038;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;-1.170599;NULL;NULL;NULL;-1.994569;NULL;NULL;NULL
Республика Бурятия;-0.089944;-0.08994;-1.35923;0.61075;-0.741938;-0.74194;NULL;NULL;-0.427294;-0.42729;-1.46072;0.26226;1.000000;NULL;NULL;NULL;-2.781281;NULL;NULL;NULL;-2.098099;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Республика Дагестан;-0.732767;NULL;NULL;NULL;0.465018;NULL;NULL;NULL;-0.251741;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Республика Ингушетия;-1.718632;-1.71863;NULL;NULL;1.000000;NULL;NULL;NULL;-1.405193;-1.40519;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Республика Калмыкия;0.069069;NULL;NULL;NULL;0.691098;NULL;NULL;NULL;0.316540;0.31654;-0.47238;0.75527;1.000000;NULL;NULL;NULL;-1.044205;NULL;NULL;NULL;-0.809683;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Республика Карелия;-0.801347;-0.80135;NULL;NULL;0.702474;NULL;NULL;NULL;-0.105533;-0.10553;-1.06387;0.49575;-2.387545;NULL;NULL;NULL;0.088489;NULL;NULL;NULL;-0.842554;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Республика Коми;1.000000;NULL;NULL;NULL;-1.133101;NULL;NULL;NULL;0.282738;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Республика Крым;-0.098985;-0.09898;-1.23807;0.56453;0.619345;NULL;NULL;NULL;0.230405;0.23041;-0.43706;0.64903;0.036397;NULL;NULL;NULL;0.465665;NULL;NULL;NULL;0.263169;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
