region;zab_ve_18_59;zab_ve_18_59_R;zab_cil_18_59_R;zab_cih_18_59_R;zab_ve_60;zab_ve_60_R;zab_cil_60_R;zab_cih_60_R;zab_ve_total;zab_ve_total_R;zab_cil_total_R;zab_cih_total_R;st_ve_18_59;st_ve_18_59_R;st_cil_18_59_R;st_cih_18_59_R;st_ve_60;st_ve_60_R;st_cil_60_R;st_cih_60_R;st_ve_total;st_ve_total_R;st_cil_total_R;st_cih_total_R;tyazh_ve_18_59;tyazh_ve_18_59_R;tyazh_cil_18_59_R;tyazh_cih_18_59_R;tyazh_ve_60;tyazh_ve_60_R;tyazh_cil_60_R;tyazh_cih_60_R;tyazh_ve_total;tyazh_ve_total_R;tyazh_cil_total_R;tyazh_cih_total_R;sm_ve_18_59;sm_ve_18_59_R;sm_cil_18_59_R;sm_cih_18_59_R;sm_ve_60;sm_ve_60_R;sm_cil_60_R;sm_cih_60_R;sm_ve_total;sm_ve_total_R;sm_cil_total_R;sm_cih_total_R
Алтайский край;0.030029;0.03003;-0.12390;0.16722;-0.004988;-0.00499;-0.15952;0.13246;-0.043601;-0.04360;-0.15653;0.06047;0.246958;0.24696;-0.10542;0.50759;0.308590;0.30859;0.11551;0.46742;0.189129;0.18913;0.00067;0.34916;-0.133233;-0.13323;-1.30241;0.50937;0.310472;0.31047;-0.06347;0.57375;0.089311;0.08931;-0.32456;0.39519;0.231020;NULL;NULL;NULL;0.333979;0.33398;-0.24685;0.68016;0.182982;0.18298;-0.44952;0.57884
Амурская область;0.168558;0.16856;-0.01595;0.32560;0.261791;0.26179;-0.01330;0.47624;0.208859;0.20886;0.06201;0.33719;0.595471;0.59547;0.17813;0.83129;0.299993;0.29999;-0.13153;0.59406;0.469815;0.46982;0.20540;0.66230;0.711051;NULL;NULL;NULL;0.076032;0.07603;-0.86559;0.59847;0.337269;0.33727;-0.27485;0.69447;0.373944;NULL;NULL;NULL;0.271486;NULL;NULL;NULL;0.372149;NULL;NULL;NULL
Архангельская область;0.060654;0.06065;-0.12659;0.22308;0.281056;0.28106;0.11835;0.41950;0.128613;0.12861;0.00112;0.24320;0.229555;0.22956;-0.18859;0.52614;0.403538;0.40354;0.20651;0.56104;0.263240;0.26324;0.06251;0.42966;1.000000;NULL;NULL;NULL;0.790783;NULL;NULL;NULL;0.810339;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;0.892403;NULL;NULL;NULL;0.885978;NULL;NULL;NULL
Астраханская область;0.008441;0.00844;-0.22239;0.20395;0.226517;0.22652;-0.01366;0.42174;0.129855;0.12985;-0.02759;0.26827;0.179856;0.17986;-0.39353;0.55327;0.201714;0.20171;-0.22680;0.50762;0.251488;0.25149;-0.05041;0.48321;1.000000;NULL;NULL;NULL;0.830480;NULL;NULL;NULL;0.880238;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;0.701322;NULL;NULL;NULL;0.784428;NULL;NULL;NULL
Белгородская область;0.157260;0.15726;-0.06677;0.34281;0.342550;0.34255;0.15634;0.49618;0.278084;0.27808;0.14235;0.39680;0.299403;0.29940;-0.21595;0.62835;0.265924;0.26592;-0.10504;0.53398;0.313747;0.31375;0.04231;0.52240;0.511801;NULL;NULL;NULL;0.369803;0.36980;-0.29446;0.73888;0.444374;0.44437;-0.05337;0.74150;0.407187;NULL;NULL;NULL;0.585088;NULL;NULL;NULL;0.567846;NULL;NULL;NULL
Брянская область;0.014563;0.01456;-0.38142;0.31781;0.133674;0.13367;-0.15464;0.36285;0.011329;0.01133;-0.23309;0.21677;0.742235;NULL;NULL;NULL;0.084535;0.08453;-0.44649;0.44964;0.044760;0.04476;-0.48287;0.41516;1.000000;NULL;NULL;NULL;-0.007012;-0.00701;-1.27829;0.62419;-0.118995;-0.11900;-1.50462;0.57990;1.000000;NULL;NULL;NULL;-0.066248;NULL;NULL;NULL;-0.118995;NULL;NULL;NULL
Владимирская область;0.010671;0.01067;-0.31274;0.26973;0.031076;0.03108;-0.26898;0.27416;0.024887;0.02489;-0.18752;0.20722;0.617147;NULL;NULL;NULL;0.288083;0.28808;-0.14014;0.58441;0.392045;0.39205;0.07227;0.62305;1.000000;NULL;NULL;NULL;0.184064;NULL;NULL;NULL;0.404453;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;0.698881;NULL;NULL;NULL;0.776670;NULL;NULL;NULL
Волгоградская область;-0.138785;-0.13879;-0.25361;-0.03260;0.096461;0.09646;-0.01247;0.19567;-0.063326;-0.06333;-0.14455;0.01317;0.046392;0.04639;-0.25755;0.28920;0.309340;0.30934;0.15800;0.43846;0.151186;0.15119;0.00179;0.28242;0.332023;0.33202;-0.32786;0.70696;0.479788;0.47979;0.24291;0.65558;0.373625;0.37362;0.12557;0.56420;0.672434;NULL;NULL;NULL;0.513490;0.51349;0.09796;0.76492;0.457841;0.45784;0.02550;0.72742
Вологодская область;0.050421;0.05042;-0.09903;0.18334;0.154734;0.15473;-0.01404;0.30041;0.080879;0.08088;-0.03063;0.18262;0.180383;0.18038;-0.30786;0.51362;0.360320;0.36032;0.10039;0.55829;0.265606;0.26561;0.02965;0.45468;0.402235;NULL;NULL;NULL;0.373294;0.37329;-0.14000;0.68737;0.334595;0.33459;-0.13250;0.63797;0.302607;NULL;NULL;NULL;0.521424;NULL;NULL;NULL;0.445495;0.44550;-0.28856;0.80950
Воронежская область;0.062604;0.06260;-0.04205;0.15864;0.149882;0.14988;0.01777;0.26787;0.113209;0.11321;0.03404;0.18716;0.371022;0.37102;0.01272;0.62005;0.309933;0.30993;0.07799;0.49491;0.394071;0.39407;0.22488;0.53371;0.311120;NULL;NULL;NULL;0.092927;0.09293;-0.58778;0.52157;0.241554;0.24155;-0.24124;0.56400;0.276676;NULL;NULL;NULL;0.055356;0.05536;-0.91507;0.59049;0.206065;0.20607;-0.54925;0.63723
