region;zab_ve_18_59;zab_ve_18_59_R;zab_cil_18_59_R;zab_cih_18_59_R;zab_ve_60;zab_ve_60_R;zab_cil_60_R;zab_cih_60_R;zab_ve_total;zab_ve_total_R;zab_cil_total_R;zab_cih_total_R;st_ve_18_59;st_ve_18_59_R;st_cil_18_59_R;st_cih_18_59_R;st_ve_60;st_ve_60_R;st_cil_60_R;st_cih_60_R;st_ve_total;st_ve_total_R;st_cil_total_R;st_cih_total_R;tyazh_ve_18_59;tyazh_ve_18_59_R;tyazh_cil_18_59_R;tyazh_cih_18_59_R;tyazh_ve_60;tyazh_ve_60_R;tyazh_cil_60_R;tyazh_cih_60_R;tyazh_ve_total;tyazh_ve_total_R;tyazh_cil_total_R;tyazh_cih_total_R;sm_ve_18_59;sm_ve_18_59_R;sm_cil_18_59_R;sm_cih_18_59_R;sm_ve_60;sm_ve_60_R;sm_cil_60_R;sm_cih_60_R;sm_ve_total;sm_ve_total_R;sm_cil_total_R;sm_cih_total_R
Алтайский край;0.289662;0.28966;0.24837;0.32933;0.539914;0.53991;0.49019;0.58620;0.372604;0.37260;0.34074;0.40337;0.503424;0.50342;0.40307;0.59140;0.786806;0.78681;0.73745;0.82947;0.708783;0.70878;0.66548;0.74809;0.585460;0.58546;0.37042;0.74345;0.853636;0.85364;0.78313;0.90677;0.810287;0.81029;0.74631;0.86233;0.497806;0.49781;-0.04153;0.80311;0.901242;0.90124;0.82148;0.95264;0.872917;0.87292;0.79669;0.92704
Амурская область;0.662089;0.66209;0.62893;0.69311;0.518490;0.51849;0.44600;0.58407;0.630589;0.63059;0.60054;0.65902;0.787699;0.78770;0.71522;0.84633;0.704714;0.70471;0.62544;0.77162;0.775679;0.77568;0.72956;0.81608;0.792106;0.79211;0.60736;0.90587;0.789345;0.78934;0.67454;0.87286;0.827569;0.82757;0.75118;0.88613;1.000000;NULL;NULL;NULL;0.874530;0.87453;0.74400;0.95034;0.917511;0.91751;0.83182;0.96734
Архангельская область;0.391315;0.39132;0.33241;0.44640;0.581153;0.58115;0.50868;0.64584;0.456214;0.45621;0.41084;0.49906;0.623089;0.62309;0.49154;0.72880;0.750305;0.75031;0.66965;0.81632;0.723164;0.72316;0.65957;0.77806;0.674086;NULL;NULL;NULL;0.930784;NULL;NULL;NULL;0.897337;0.89734;0.80789;0.95324;1.000000;NULL;NULL;NULL;0.938048;NULL;NULL;NULL;0.949975;NULL;NULL;NULL
Астраханская область;0.233524;0.23352;0.12037;0.33603;0.542419;0.54242;0.41688;0.64810;0.352949;0.35295;0.27032;0.42884;0.444824;0.44482;0.20108;0.63139;0.642450;0.64245;0.48464;0.76367;0.608658;0.60866;0.49160;0.70577;0.473779;NULL;NULL;NULL;0.768115;0.76812;0.49790;0.91720;0.735010;0.73501;0.51878;0.87329;0.321451;NULL;NULL;NULL;0.756877;NULL;NULL;NULL;0.742749;0.74275;0.47391;0.89832
Белгородская область;0.381298;0.38130;0.31323;0.44436;0.608960;0.60896;0.54957;0.66262;0.482815;0.48281;0.43734;0.52560;0.626227;0.62623;0.47854;0.74177;0.764252;0.76425;0.69411;0.82243;0.722019;0.72202;0.65790;0.77729;0.598987;0.59899;0.20353;0.83047;0.850389;0.85039;0.74719;0.92030;0.801932;0.80193;0.69680;0.87885;0.783382;NULL;NULL;NULL;0.896894;0.89689;0.79918;0.95589;0.880905;0.88090;0.78383;0.94303
Брянская область;0.424608;0.42461;0.35537;0.48848;0.527569;0.52757;0.44069;0.60463;0.461254;0.46125;0.40770;0.51134;0.691907;0.69191;0.53768;0.80657;0.808168;0.80817;0.72185;0.87423;0.771724;0.77172;0.69831;0.83193;0.690307;NULL;NULL;NULL;0.896935;NULL;NULL;NULL;0.858738;0.85874;0.72527;0.93952;0.701173;NULL;NULL;NULL;0.889761;NULL;NULL;NULL;0.863634;0.86363;0.72202;0.94600
Владимирская область;0.319577;0.31958;0.26477;0.37143;0.445335;0.44534;0.37778;0.50761;0.366919;0.36692;0.32478;0.40718;0.592502;0.59250;0.44722;0.70896;0.685965;0.68596;0.60193;0.75697;0.670702;0.67070;0.60208;0.73073;0.432084;0.43208;0.00876;0.70887;0.706636;0.70664;0.55589;0.81801;0.664147;0.66415;0.52883;0.77003;0.642974;NULL;NULL;NULL;0.878001;0.87800;0.75150;0.95166;0.863278;0.86328;0.74416;0.93773
Волгоградская область;0.067710;0.06771;-0.00109;0.13298;0.417547;0.41755;0.34881;0.48104;0.222025;0.22202;0.17396;0.26805;0.248714;0.24871;0.11314;0.36867;0.596175;0.59617;0.52207;0.66195;0.516868;0.51687;0.45612;0.57270;0.195711;0.19571;-0.16234;0.46613;0.664066;0.66407;0.54146;0.76203;0.606403;0.60640;0.50005;0.69593;-0.020298;-0.02030;-1.19601;0.60840;0.837886;0.83789;0.70609;0.92240;0.793199;0.79320;0.66803;0.88156
Вологодская область;0.528961;0.52896;0.49461;0.56160;0.444787;0.44479;0.37487;0.50901;0.516254;0.51625;0.48600;0.54522;0.572854;0.57285;0.46054;0.66738;0.627555;0.62756;0.53590;0.70586;0.674444;0.67444;0.61750;0.72518;0.586951;0.58695;0.25522;0.79678;0.828667;0.82867;0.71091;0.90864;0.825347;0.82535;0.74018;0.88909;0.732185;NULL;NULL;NULL;0.843299;0.84330;0.70627;0.92871;0.872369;0.87237;0.77986;0.93405
Воронежская область;0.279475;0.27948;0.23442;0.32260;0.548448;0.54845;0.50343;0.59053;0.382798;0.38280;0.35037;0.41405;0.463873;0.46387;0.36522;0.55119;0.731135;0.73113;0.68270;0.77423;0.642115;0.64211;0.59695;0.68365;0.444845;0.44484;0.17396;0.64593;0.898103;0.89810;0.83694;0.94151;0.798412;0.79841;0.72624;0.85638;0.711963;NULL;NULL;NULL;0.937933;0.93793;0.87378;0.97539;0.909471;0.90947;0.84061;0.95476
