region;zab_ve_18_59;zab_ve_18_59_R;zab_cil_18_59_R;zab_cih_18_59_R;zab_ve_60;zab_ve_60_R;zab_cil_60_R;zab_cih_60_R;zab_ve_total;zab_ve_total_R;zab_cil_total_R;zab_cih_total_R;st_ve_18_59;st_ve_18_59_R;st_cil_18_59_R;st_cih_18_59_R;st_ve_60;st_ve_60_R;st_cil_60_R;st_cih_60_R;st_ve_total;st_ve_total_R;st_cil_total_R;st_cih_total_R;tyazh_ve_18_59;tyazh_ve_18_59_R;tyazh_cil_18_59_R;tyazh_cih_18_59_R;tyazh_ve_60;tyazh_ve_60_R;tyazh_cil_60_R;tyazh_cih_60_R;tyazh_ve_total;tyazh_ve_total_R;tyazh_cil_total_R;tyazh_cih_total_R;sm_ve_18_59;sm_ve_18_59_R;sm_cil_18_59_R;sm_cih_18_59_R;sm_ve_60;sm_ve_60_R;sm_cil_60_R;sm_cih_60_R;sm_ve_total;sm_ve_total_R;sm_cil_total_R;sm_cih_total_R
Алтайский край;-0.415918;-0.41592;-1.30398;0.20525;-0.289035;-0.28903;-1.13523;0.29402;-0.403131;-0.40313;-1.00848;0.06456;0.381452;NULL;NULL;NULL;-0.566405;-0.56641;NULL;NULL;-0.448393;-0.44839;-1.71720;0.34140;1.000000;NULL;NULL;NULL;-0.439925;NULL;NULL;NULL;-0.218222;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Амурская область;-0.301802;-0.30180;-1.45279;0.40967;0.421092;NULL;NULL;NULL;-0.043053;-0.04305;-0.84511;0.48035;-1.733785;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;0.020731;NULL;NULL;NULL;-4.062565;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;0.034621;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Архангельская область;-0.097959;-0.09796;-1.05264;0.49965;0.348639;0.34864;-0.40810;0.76722;0.081682;0.08168;-0.51666;0.49602;-0.753265;NULL;NULL;NULL;0.510734;NULL;NULL;NULL;-0.007891;-0.00789;-1.18020;0.63992;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Астраханская область;-0.283303;-0.28330;-1.49498;0.45042;-0.214557;NULL;NULL;NULL;-0.258296;-0.25830;-1.16353;0.34844;-1.001755;NULL;NULL;NULL;-0.735765;NULL;NULL;NULL;-0.862932;NULL;NULL;NULL;-9.099765;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;-1.916959;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Белгородская область;-1.033968;NULL;NULL;NULL;-0.377172;NULL;NULL;NULL;-0.720788;NULL;NULL;NULL;-9.678330;NULL;NULL;NULL;-1.179339;NULL;NULL;NULL;-2.974878;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Брянская область;-0.978959;NULL;NULL;NULL;0.525411;NULL;NULL;NULL;-0.153839;NULL;NULL;NULL;-7.355605;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;-0.526046;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Владимирская область;0.497653;NULL;NULL;NULL;-0.207089;NULL;NULL;NULL;-0.016507;-0.01651;-1.19772;0.63674;1.000000;NULL;NULL;NULL;-1.225218;NULL;NULL;NULL;-1.161573;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Волгоградская область;0.195079;0.19508;-0.30596;0.54727;-0.164980;-0.16498;-0.77763;0.28576;-0.017115;-0.01712;-0.40751;0.29277;1.000000;NULL;NULL;NULL;-0.651176;-0.65118;NULL;NULL;-0.502678;-0.50268;-1.72565;0.28090;1.000000;NULL;NULL;NULL;-0.474127;NULL;NULL;NULL;-0.576986;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Вологодская область;0.006419;0.00642;-0.85715;0.54716;-1.010393;-1.01039;NULL;NULL;-0.329933;-0.32993;-1.09989;0.22209;-0.378084;NULL;NULL;NULL;-0.621285;NULL;NULL;NULL;-0.531617;NULL;NULL;NULL;-7.383343;NULL;NULL;NULL;-2.722950;NULL;NULL;NULL;-4.157754;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Воронежская область;-0.068953;-0.06895;-0.68645;0.37438;-0.050833;-0.05083;-0.68360;0.39734;-0.095551;-0.09555;-0.53145;0.24771;1.000000;NULL;NULL;NULL;0.469141;NULL;NULL;NULL;0.518753;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;-0.281208;NULL;NULL;NULL;-0.354895;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;-3.594676;NULL;NULL;NULL;-4.180482;NULL;NULL;NULL
