region;zab_ve_18_59;zab_ve_18_59_R;zab_cil_18_59_R;zab_cih_18_59_R;zab_ve_60;zab_ve_60_R;zab_cil_60_R;zab_cih_60_R;zab_ve_total;zab_ve_total_R;zab_cil_total_R;zab_cih_total_R;st_ve_18_59;st_ve_18_59_R;st_cil_18_59_R;st_cih_18_59_R;st_ve_60;st_ve_60_R;st_cil_60_R;st_cih_60_R;st_ve_total;st_ve_total_R;st_cil_total_R;st_cih_total_R;tyazh_ve_18_59;tyazh_ve_18_59_R;tyazh_cil_18_59_R;tyazh_cih_18_59_R;tyazh_ve_60;tyazh_ve_60_R;tyazh_cil_60_R;tyazh_cih_60_R;tyazh_ve_total;tyazh_ve_total_R;tyazh_cil_total_R;tyazh_cih_total_R;sm_ve_18_59;sm_ve_18_59_R;sm_cil_18_59_R;sm_cih_18_59_R;sm_ve_60;sm_ve_60_R;sm_cil_60_R;sm_cih_60_R;sm_ve_total;sm_ve_total_R;sm_cil_total_R;sm_cih_total_R
Алтайский край;0.111140;0.11114;-0.08475;0.28180;-0.229523;-0.22952;-0.69132;0.13922;0.063167;0.06317;-0.11122;0.21822;-0.075457;-0.07546;-0.74409;0.39491;0.635937;0.63594;0.21712;0.86951;0.452002;0.45200;0.16688;0.66312;0.281770;NULL;NULL;NULL;0.618272;NULL;NULL;NULL;0.649271;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;0.685196;NULL;NULL;NULL;0.835540;NULL;NULL;NULL
Амурская область;-0.035866;-0.03587;-0.37826;0.24424;-0.021596;-0.02160;-0.68353;0.43848;-0.026240;-0.02624;-0.31987;0.22005;-0.621613;-0.62161;-1.85281;0.18917;0.561825;NULL;NULL;NULL;0.125246;0.12525;-0.44181;0.51926;1.000000;NULL;NULL;NULL;0.623733;NULL;NULL;NULL;0.787138;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;0.327667;NULL;NULL;NULL;0.558733;NULL;NULL;NULL
Архангельская область;-0.532166;-0.53217;-1.03294;-0.12180;0.772040;NULL;NULL;NULL;-0.296873;-0.29687;-0.71487;0.04668;0.004969;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;0.579750;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Астраханская область;-0.895015;-0.89501;-1.69061;-0.27525;-0.745937;-0.74594;-1.99475;0.09446;-0.785506;-0.78551;-1.40873;-0.28095;-0.870080;-0.87008;NULL;NULL;-0.182997;NULL;NULL;NULL;-0.260130;-0.26013;-1.27565;0.39525;-1.392939;NULL;NULL;NULL;0.002617;NULL;NULL;NULL;-0.116630;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Белгородская область;-0.149463;-0.14946;-0.52140;0.15570;0.267712;0.26771;-0.28571;0.63336;0.012876;0.01288;-0.27281;0.25196;0.302308;NULL;NULL;NULL;0.681155;NULL;NULL;NULL;0.622115;0.62212;0.23323;0.84994;0.117795;NULL;NULL;NULL;0.544720;NULL;NULL;NULL;0.589039;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Брянская область;-0.120165;-0.12017;-0.60907;0.25766;-0.151908;-0.15191;-1.07855;0.44690;-0.113045;-0.11305;-0.52463;0.21660;-0.327010;NULL;NULL;NULL;0.723516;NULL;NULL;NULL;0.362879;0.36288;-0.37103;0.77172;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Владимирская область;-0.092705;-0.09270;-0.38631;0.15597;-0.566669;-0.56667;-1.22274;-0.05491;-0.173316;-0.17332;-0.43203;0.05204;0.467843;NULL;NULL;NULL;-0.432850;-0.43285;-1.51674;0.28280;0.195207;0.19521;-0.32639;0.55768;0.123506;NULL;NULL;NULL;-1.610140;-1.61014;NULL;NULL;-0.482762;-0.48276;-1.87659;0.36417;1.000000;NULL;NULL;NULL;-0.206065;NULL;NULL;NULL;0.331713;NULL;NULL;NULL
Волгоградская область;-0.561034;-0.56103;-0.81705;-0.33074;-0.229729;-0.22973;-0.71655;0.15462;-0.353743;-0.35374;-0.55544;-0.17051;-0.369618;-0.36962;-0.91699;0.06045;-0.233706;-0.23371;-0.87694;0.24197;0.107665;0.10766;-0.16468;0.33349;-0.469623;-0.46962;NULL;NULL;0.223343;NULL;NULL;NULL;0.378165;0.37816;-0.09323;0.68894;1.000000;NULL;NULL;NULL;0.614793;NULL;NULL;NULL;0.858421;NULL;NULL;NULL
Вологодская область;0.378807;0.37881;0.03457;0.62943;-0.129085;-0.12909;-1.03671;0.45774;0.273125;0.27312;-0.04354;0.51809;0.229944;NULL;NULL;NULL;0.390140;NULL;NULL;NULL;0.438613;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Воронежская область;0.041068;0.04107;-0.14949;0.20915;-0.001442;-0.00144;-0.34113;0.27515;0.053072;0.05307;-0.10619;0.19617;0.159050;0.15905;-0.32557;0.50751;-0.015921;-0.01592;-0.50326;0.35225;0.222140;0.22214;-0.05312;0.44443;0.678184;NULL;NULL;NULL;0.200789;0.20079;-0.72158;0.71381;0.502987;0.50299;-0.00894;0.80269;0.039916;NULL;NULL;NULL;-0.217024;-0.21702;-1.62468;0.56448;0.151847;0.15185;-0.72406;0.66355
г. Москва;-0.316553;-0.31655;-0.39098;-0.24489;-0.744828;-0.74483;-1.04753;-0.47366;-0.351467;-0.35147;-0.42359;-0.28186;0.031893;0.03189;-0.15896;0.20020;0.180206;0.18021;-0.25969;0.50325;0.278084;0.27808;0.14709;0.39481;0.123759;0.12376;-0.25405;0.41575;0.151848;0.15185;-0.37412;0.52247;0.578741;0.57874;0.43578;0.69512;0.783280;NULL;NULL;NULL;0.378597;0.37860;-0.20267;0.73315;0.845402;0.84540;0.72110;0.92576
г. Санкт-Петербург;-0.071878;-0.07188;-0.15088;0.00336;-0.810747;-0.81075;-1.31404;-0.38655;-0.149524;-0.14952;-0.23085;-0.07191;0.019754;0.01975;-0.21676;0.22295;-0.337181;-0.33718;-1.03305;0.17801;0.346486;0.34649;0.20696;0.46848;0.036551;0.03655;-0.66031;0.50187;0.401423;NULL;NULL;NULL;0.655248;0.65525;0.44111;0.80598;0.200131;NULL;NULL;NULL;0.476961;NULL;NULL;NULL;0.818072;0.81807;0.60846;0.93482
г. Севастополь;0.376942;0.37694;-0.02675;0.65753;-0.022550;-0.02255;-0.90723;0.53334;0.271455;0.27146;-0.08705;0.54065;0.673477;NULL;NULL;NULL;-0.381871;-0.38187;-1.98130;0.50559;0.136305;0.13630;-0.75411;0.65721;1.000000;NULL;NULL;NULL;-0.054992;NULL;NULL;NULL;0.252943;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;-0.099647;NULL;NULL;NULL;0.112651;NULL;NULL;NULL
Еврейская автономная область;-0.274627;-0.27463;-1.19323;0.34031;1.000000;NULL;NULL;NULL;0.030503;0.03050;-0.66534;0.49765;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Забайкальский край;-0.057987;-0.05799;-0.34750;0.18648;-0.939230;-0.93923;NULL;NULL;-0.009657;-0.00966;-0.26991;0.21218;0.315605;0.31561;-0.27646;0.68765;-0.847503;NULL;NULL;NULL;0.464684;0.46468;0.10137;0.71356;0.170021;NULL;NULL;NULL;-2.732456;NULL;NULL;NULL;0.289461;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;-1.869629;NULL;NULL;NULL;0.602827;NULL;NULL;NULL
