data_point;region;age_group;vac_interval_group;vaccine;ve_zab;cil_zab;cih_zab;ve_hosp;cil_hosp;cih_hosp;ve_severe;cil_severe;cih_severe;ve_death;cil_death;cih_death
2021.11_11-11-2022;РФ;60+;21_165_days;SputnikLite;0.50943;0.50155;0.51717;0.70569;0.69702;0.71412;0.82974;0.81773;0.84096;0.88187;0.87023;0.89247
2021.11_11-11-2022;РФ;60+;21_165_days;SputnikV;0.34342;0.33858;0.34822;0.58137;0.57603;0.58663;0.72829;0.72069;0.73568;0.79483;0.78728;0.80212
2021.11_11-11-2022;г. Санкт-Петербург;18+;21_165_days;AllVaccines;0.44496;0.43509;0.45465;0.69476;0.67935;0.70942;0.80034;0.77632;0.82178;0.85644;0.83141;0.87775
2021.11_11-11-2022;г. Санкт-Петербург;18+;21_165_days;CoviVac;-0.1543;-0.23675;-0.07734;0.34649;0.20192;0.46487;0.65514;0.41703;0.79599;0.8179;0.56205;0.92428
2021.11_11-11-2022;г. Санкт-Петербург;18+;21_165_days;EpiVacCorona;-0.37987;-0.48347;-0.28351;-1.35259;-1.65728;-1.08284;-0.72032;-1.25692;-0.3113;-0.58369;-1.23355;-0.12291
2021.11_11-11-2022;г. Санкт-Петербург;18+;21_165_days;SputnikLite;0.53687;0.52106;0.55216;0.76321;0.73804;0.78597;0.84866;0.80756;0.88098;0.91116;0.87014;0.93922
2021.11_11-11-2022;г. Санкт-Петербург;18+;21_165_days;SputnikV;0.45245;0.44102;0.46364;0.73598;0.71904;0.75189;0.82787;0.80101;0.85111;0.87538;0.84694;0.89853
2021.11_11-11-2022;г. Санкт-Петербург;18-59;21_165_days;AllVaccines;0.49109;0.48051;0.50146;0.68037;0.65591;0.7031;0.72241;0.65865;0.77425;0.75858;0.64587;0.83542
2021.11_11-11-2022;г. Санкт-Петербург;18-59;21_165_days;CoviVac;-0.05962;-0.13903;0.01425;0.07494;-0.16401;0.26484;0.12835;-0.62804;0.53332;0.20403;-1.4884;0.74539
2021.11_11-11-2022;г. Санкт-Петербург;18-59;21_165_days;EpiVacCorona;-0.21971;-0.3529;-0.09963;-1.3617;-1.95025;-0.89057;-0.2507;-1.79459;0.44026;0.3655;-3.52593;0.91105
2021.11_11-11-2022;г. Санкт-Петербург;18-59;21_165_days;SputnikLite;0.56465;0.54787;0.5808;0.6961;0.65282;0.73399;0.6933;0.56473;0.78389;0.68881;0.42923;0.83034
2021.11_11-11-2022;г. Санкт-Петербург;18-59;21_165_days;SputnikV;0.49822;0.48591;0.51024;0.73953;0.71332;0.76335;0.77986;0.71064;0.83252;0.82051;0.69681;0.89374
2021.11_11-11-2022;г. Санкт-Петербург;60+;21_165_days;AllVaccines;0.30526;0.28106;0.32864;0.61521;0.58883;0.6399;0.75506;0.71919;0.78635;0.81369;0.77747;0.84401
2021.11_11-11-2022;г. Санкт-Петербург;60+;21_165_days;CoviVac;-1.13216;-1.7009;-0.68317;-0.62394;-1.44538;-0.07844;0.20062;-1.13153;0.70021;0.47614;-1.09614;0.86908
2021.11_11-11-2022;г. Санкт-Петербург;60+;21_165_days;EpiVacCorona;-0.65877;-0.8359;-0.49874;-0.84548;-1.13469;-0.59545;-0.31991;-0.76142;0.01094;-0.17785;-0.67038;0.16946
2021.11_11-11-2022;г. Санкт-Петербург;60+;21_165_days;SputnikLite;0.458;0.41675;0.49633;0.73308;0.68795;0.77168;0.83576;0.77073;0.88235;0.9016;0.83904;0.93984
2021.11_11-11-2022;г. Санкт-Петербург;60+;21_165_days;SputnikV;0.31883;0.29142;0.34518;0.6653;0.6368;0.69156;0.79116;0.75212;0.82405;0.84132;0.80155;0.87312
2021.12_13-10-2022;Московская область;18+;21_165_days;AllVaccines;0.54769;0.53996;0.5553;0.7445;0.73272;0.75576;0.64369;0.61095;0.67368;0.86236;0.84119;0.8807
2021.12_13-10-2022;Московская область;18+;21_165_days;CoviVac;0.02723;-0.05814;0.10571;0.33111;0.1663;0.46334;0.10932;-0.35653;0.41519;0.74479;0.38581;0.89396
2021.12_13-10-2022;Московская область;18+;21_165_days;EpiVacCorona;-0.08244;-0.16723;-0.00381;-0.26669;-0.47455;-0.08813;-1.30906;-1.9643;-0.79865;-0.22812;-0.79793;0.1611
2021.12_13-10-2022;Московская область;18+;21_165_days;SputnikLite;0.7644;0.75166;0.77649;0.85413;0.83142;0.87377;0.84596;0.78999;0.88701;0.91948;0.87006;0.9501
2021.12_13-10-2022;Московская область;18+;21_165_days;SputnikV;0.53157;0.52319;0.5398;0.74984;0.73738;0.7617;0.65164;0.61722;0.68296;0.87292;0.85094;0.89167
2021.12_13-10-2022;Московская область;18-59;21_165_days;AllVaccines;0.54989;0.54085;0.55875;0.67454;0.65235;0.69532;0.42814;0.33888;0.50534;0.68943;0.5698;0.77579
2021.12_13-10-2022;Московская область;18-59;21_165_days;CoviVac;0.08063;-0.01376;0.16623;0.15417;-0.14722;0.37638;-0.09645;-1.20779;0.45547;NULL;NULL;NULL
2021.12_13-10-2022;Московская область;18-59;21_165_days;EpiVacCorona;0.04445;-0.05465;0.13425;-0.02475;-0.36322;0.22969;-0.7435;-2.09625;0.01824;-0.51409;-3.76445;0.51884
2021.12_13-10-2022;Московская область;18-59;21_165_days;SputnikLite;0.77494;0.75771;0.79093;0.85597;0.81049;0.89054;0.8869;0.74673;0.94949;0.93452;0.53118;0.99085
2021.12_13-10-2022;Московская область;18-59;21_165_days;SputnikV;0.5403;0.53079;0.54963;0.67261;0.64936;0.69432;0.40445;0.30929;0.4865;0.67614;0.54735;0.76829
2021.12_13-10-2022;Московская область;60+;21_165_days;AllVaccines;0.53546;0.5196;0.5508;0.70236;0.68291;0.72061;0.59808;0.54897;0.64184;0.81501;0.78244;0.8427
2021.12_13-10-2022;Московская область;60+;21_165_days;CoviVac;-0.17977;-0.39194;6e-05;0.20595;-0.09256;0.42289;-0.22994;-1.08296;0.27374;0.54116;-0.10444;0.80938
2021.12_13-10-2022;Московская область;60+;21_165_days;EpiVacCorona;-0.32954;-0.49452;-0.18277;-0.42147;-0.70104;-0.18785;-1.54726;-2.36205;-0.92993;-0.22804;-0.83968;0.18024
2021.12_13-10-2022;Московская область;60+;21_165_days;SputnikLite;0.75353;0.73419;0.77147;0.88126;0.85922;0.89985;0.87153;0.82022;0.90819;0.93865;0.89953;0.96254
2021.12_13-10-2022;Московская область;60+;21_165_days;SputnikV;0.48284;0.46314;0.50182;0.67082;0.64646;0.6935;0.56477;0.50422;0.61793;0.80049;0.75959;0.83443
2021.12_13-10-2022;РФ;18+;21_165_days;AllVaccines;0.49399;0.49164;0.49634;0.70897;0.70593;0.71198;0.80426;0.79969;0.80872;0.87153;0.86708;0.87584
2021.12_13-10-2022;РФ;18+;21_165_days;CoviVac;-0.09942;-0.1261;-0.07338;0.31951;0.28079;0.35613;0.60517;0.54727;0.65567;0.83813;0.78961;0.87545
2021.12_13-10-2022;РФ;18+;21_165_days;EpiVacCorona;-0.15429;-0.17387;-0.13505;-0.21938;-0.25626;-0.18359;-0.10998;-0.17726;-0.04654;0.19764;0.12669;0.26283
2021.12_13-10-2022;РФ;18+;21_165_days;SputnikLite;0.61237;0.60886;0.61584;0.77059;0.76573;0.77535;0.86466;0.85759;0.87138;0.9109;0.9038;0.91748
2021.12_13-10-2022;РФ;18+;21_165_days;SputnikV;0.48206;0.47934;0.48476;0.72395;0.72054;0.72731;0.81595;0.8108;0.82097;0.88013;0.87508;0.88498
2021.12_13-10-2022;РФ;18-59;21_165_days;AllVaccines;0.45774;0.4547;0.46077;0.63182;0.62585;0.63769;0.67942;0.66577;0.69251;0.7853;0.76718;0.80201
2021.12_13-10-2022;РФ;18-59;21_165_days;CoviVac;-0.16559;-0.19687;-0.13512;-0.07498;-0.1522;-0.00294;0.19583;0.02066;0.33966;0.64634;0.42204;0.78359
2021.12_13-10-2022;РФ;18-59;21_165_days;EpiVacCorona;-0.08171;-0.10503;-0.05888;-0.31505;-0.38082;-0.2524;-0.30969;-0.47724;-0.16115;0.27475;0.05331;0.4444
2021.12_13-10-2022;РФ;18-59;21_165_days;SputnikLite;0.56312;0.55831;0.56788;0.68943;0.67926;0.69929;0.77433;0.75252;0.79421;0.83415;0.802;0.86109
2021.12_13-10-2022;РФ;18-59;21_165_days;SputnikV;0.45296;0.44955;0.45634;0.65647;0.65001;0.66281;0.68942;0.67423;0.7039;0.78844;0.76781;0.80724
2021.12_13-10-2022;РФ;60+;21_165_days;AllVaccines;0.54026;0.53632;0.54416;0.69193;0.68767;0.69613;0.79229;0.78638;0.79804;0.84817;0.84234;0.85379
2021.12_13-10-2022;РФ;60+;21_165_days;CoviVac;-0.12591;-0.1916;-0.06383;0.19625;0.11865;0.26701;0.44062;0.32315;0.53771;0.71179;0.60701;0.78864
2021.12_13-10-2022;РФ;60+;21_165_days;EpiVacCorona;-0.36177;-0.39951;-0.32506;-0.35715;-0.40918;-0.30704;-0.25527;-0.3429;-0.17336;0.02773;-0.06317;0.11087
2021.12_13-10-2022;РФ;60+;21_165_days;SputnikLite;0.68976;0.68478;0.69465;0.81109;0.8058;0.81623;0.88727;0.88016;0.89396;0.92107;0.91405;0.92751
2021.12_13-10-2022;РФ;60+;21_165_days;SputnikV;0.50104;0.49603;0.506;0.67393;0.66851;0.67925;0.7862;0.77872;0.79342;0.84264;0.83519;0.84976
2021.12_13-10-2022;г. Санкт-Петербург;18+;21_165_days;AllVaccines;0.64392;0.63725;0.65047;0.8318;0.82311;0.84006;0.89803;0.88546;0.90921;0.92588;0.91291;0.93691
2021.12_13-10-2022;г. Санкт-Петербург;18+;21_165_days;CoviVac;-0.25286;-0.3419;-0.16973;0.41487;0.28463;0.52139;0.79135;0.61183;0.88785;0.91015;0.72118;0.97104
2021.12_13-10-2022;г. Санкт-Петербург;18+;21_165_days;EpiVacCorona;-0.29975;-0.43338;-0.17858;-0.59584;-0.90631;-0.33594;-0.51005;-1.11731;-0.07696;-0.27512;-0.98054;0.17904
2021.12_13-10-2022;г. Санкт-Петербург;18+;21_165_days;SputnikLite;0.72382;0.71496;0.7324;0.86757;0.85518;0.87891;0.9279;0.90998;0.94226;0.95084;0.93224;0.96433
2021.12_13-10-2022;г. Санкт-Петербург;18+;21_165_days;SputnikV;0.63106;0.62282;0.63912;0.83834;0.82775;0.84828;0.89996;0.88417;0.9136;0.92593;0.9093;0.93951
2021.12_13-10-2022;г. Санкт-Петербург;18-59;21_165_days;AllVaccines;0.66623;0.65891;0.67339;0.81815;0.80412;0.83117;0.86336;0.8298;0.8903;0.91325;0.86898;0.94256
2021.12_13-10-2022;г. Санкт-Петербург;18-59;21_165_days;CoviVac;-0.15962;-0.24597;-0.07926;0.08394;-0.14006;0.26393;0.38551;-0.23487;0.69422;0.81859;-0.29318;0.97455
2021.12_13-10-2022;г. Санкт-Петербург;18-59;21_165_days;EpiVacCorona;0.03405;-0.10331;0.15431;-0.04019;-0.47304;0.26547;0.106;-1.3904;0.66565;NULL;NULL;NULL
2021.12_13-10-2022;г. Санкт-Петербург;18-59;21_165_days;SputnikLite;0.73179;0.72185;0.74137;0.85039;0.82976;0.86852;0.89504;0.8433;0.92969;0.93059;0.8528;0.96727
2021.12_13-10-2022;г. Санкт-Петербург;18-59;21_165_days;SputnikV;0.66144;0.6526;0.67005;0.8316;0.81503;0.84669;0.86821;0.82653;0.89988;0.90552;0.84543;0.94225
2021.12_13-10-2022;г. Санкт-Петербург;60+;21_165_days;AllVaccines;0.58873;0.57349;0.60343;0.78102;0.7654;0.7956;0.86081;0.84028;0.8787;0.88861;0.86728;0.90652
2021.12_13-10-2022;г. Санкт-Петербург;60+;21_165_days;CoviVac;-1.08085;-1.65012;-0.63387;0.06629;-0.57743;0.44731;0.64629;-0.41509;0.91159;0.53314;-0.86807;0.88333
2021.12_13-10-2022;г. Санкт-Петербург;60+;21_165_days;EpiVacCorona;-1.13138;-1.46314;-0.8443;-1.20586;-1.71282;-0.79363;-0.92838;-1.76399;-0.3454;-0.69681;-1.63618;-0.09217
