data_point;region;age_group;vac_interval_group;vaccine;ve_zab;cil_zab;cih_zab;ve_hosp;cil_hosp;cih_hosp;ve_severe;cil_severe;cih_severe;ve_death;cil_death;cih_death
2021.11_11-11-2022;Московская область;60+;165_195_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_11-11-2022;Московская область;60+;165_195_days;SputnikV;0.30307;0.25442;0.34855;0.51324;0.44494;0.57314;0.50337;0.36453;0.61188;0.67299;0.53349;0.77078
2021.11_11-11-2022;Московская область;18+;21_45_days;AllVaccines;0.55162;0.52477;0.57695;0.67522;0.61852;0.72349;0.65254;0.52727;0.74462;0.83684;0.7049;0.90979
2021.11_11-11-2022;Московская область;18+;21_45_days;CoviVac;0.05559;-0.30937;0.31882;0.12363;-0.95104;0.60635;-0.14337;-3.57349;0.71416;NULL;NULL;NULL
2021.11_11-11-2022;Московская область;18+;21_45_days;EpiVacCorona;0.17304;-0.29655;0.47255;-0.93866;-2.87734;0.03068;-0.89697;-6.5879;0.52576;-0.66009;-10.79066;0.76627
2021.11_11-11-2022;Московская область;18+;21_45_days;SputnikLite;0.62153;0.58408;0.65561;0.76694;0.69059;0.82446;0.73395;0.55031;0.8426;0.86695;0.64516;0.95011
2021.11_11-11-2022;Московская область;18+;21_45_days;SputnikV;0.51307;0.47441;0.54888;0.6407;0.55691;0.70864;0.63244;0.44614;0.75608;0.83218;0.626;0.9247
2021.11_11-11-2022;Московская область;18-59;21_45_days;AllVaccines;0.51522;0.47961;0.54838;0.53801;0.41703;0.63388;0.52963;0.22956;0.71283;0.54883;-0.21011;0.83179
2021.11_11-11-2022;Московская область;18-59;21_45_days;CoviVac;0.02528;-0.4317;0.33641;-0.15516;-2.58282;0.62756;-0.76415;-11.53467;0.75171;NULL;NULL;NULL
2021.11_11-11-2022;Московская область;18-59;21_45_days;EpiVacCorona;0.16066;-0.51568;0.5352;-2.91859;-8.41852;-0.63033;-2.59065;-24.51243;0.49465;NULL;NULL;NULL
2021.11_11-11-2022;Московская область;18-59;21_45_days;SputnikLite;0.57111;0.51194;0.6231;0.67581;0.4781;0.79862;0.56315;-0.05159;0.81852;0.66478;-1.38759;0.95294
