data_point;region;vac_interval_group;vaccine;ve_zab_18_59;cil_zab_18_59;cih_zab_18_59;ve_hosp_18_59;cil_hosp_18_59;cih_hosp_18_59;ve_severe_18_59;cil_severe_18_59;cih_severe_18_59;ve_death_18_59;cil_death_18_59;cih_death_18_59;ve_zab_60;cil_zab_60;cih_zab_60;ve_hosp_60;cil_hosp_60;cih_hosp_60;ve_severe_60;cil_severe_60;cih_severe_60;ve_death_60;cil_death_60;cih_death_60;ve_zab_total;cil_zab_total;cih_zab_total;ve_hosp_total;cil_hosp_total;cih_hosp_total;ve_severe_total;cil_severe_total;cih_severe_total;ve_death_total;cil_death_total;cih_death_total
2022.02_01-07-2022;Алтайский край;105_165_days;AllVaccines;-0.08724;-0.11273;-0.06233;0.30511;0.18244;0.40938;0.2159;-0.22169;0.49675;0.19579;-0.99713;0.67616;-0.0704;-0.11114;-0.03115;0.40676;0.33771;0.46862;0.62259;0.5174;0.70485;0.79836;0.68242;0.87197;-0.07931;-0.10078;-0.05826;0.36204;0.30114;0.41762;0.55306;0.44604;0.6394;0.75129;0.62714;0.8341
2022.02_01-07-2022;Алтайский край;105_165_days;CoviVac;-0.73694;-1.07908;-0.45111;0.01682;-2.93336;0.75425;NULL;NULL;NULL;NULL;NULL;NULL;-1.12364;-2.37107;-0.3378;-0.24294;-3.97099;0.68922;NULL;NULL;NULL;NULL;NULL;NULL;-0.84675;-1.18361;-0.56186;0.26098;-0.96948;0.72269;NULL;NULL;NULL;NULL;NULL;NULL
2022.02_01-07-2022;Алтайский край;105_165_days;EpiVacCorona;-0.47859;-0.73272;-0.26174;-0.30243;-2.47293;0.51156;-4.40791;-20.72347;-0.34626;NULL;NULL;NULL;-0.42174;-0.96263;-0.02991;0.19059;-1.15733;0.69631;-0.33916;-4.35871;0.66534;NULL;NULL;NULL;-0.49063;-0.71859;-0.2929;0.13976;-0.72071;0.56994;-0.7327;-3.62098;0.3503;NULL;NULL;NULL
2022.02_01-07-2022;Алтайский край;105_165_days;SputnikLite;-0.02387;-0.05871;0.00983;0.20869;0.01514;0.36421;0.04833;-0.69534;0.46579;0.3259;-1.75042;0.83479;-0.0443;-0.09488;0.00395;0.44257;0.35588;0.51759;0.68426;0.55445;0.77625;0.72969;0.54979;0.8377;-0.01524;-0.04334;0.0121;0.3076;0.21884;0.38626;0.54583;0.38975;0.66198;0.64909;0.43323;0.78273
2022.02_01-07-2022;Алтайский край;105_165_days;SputnikV;-0.11492;-0.15072;-0.08022;0.39969;0.2334;0.52991;0.47571;-0.10945;0.75223;0.01401;-2.13469;0.68987;-0.08493;-0.15005;-0.02349;0.32875;0.20622;0.43236;0.51158;0.30334;0.65758;0.88256;0.68643;0.95601;-0.11861;-0.15012;-0.08796;0.40676;0.3188;0.48337;0.56243;0.39688;0.68254;0.83622;0.65558;0.92212
2022.02_01-07-2022;Алтайский край;165_195_days;AllVaccines;-0.37562;-0.40229;-0.34946;0.42205;0.32348;0.50625;0.54634;0.24937;0.72582;0.63817;-0.15034;0.88619;-0.39076;-0.45585;-0.32858;0.45354;0.35804;0.53483;0.69436;0.54983;0.79249;0.82349;0.64601;0.91199;-0.42121;-0.44644;-0.39642;0.60081;0.55348;0.64313;0.79167;0.71723;0.84652;0.88891;0.79876;0.93868
2022.02_01-07-2022;Алтайский край;165_195_days;CoviVac;-0.89764;-1.15685;-0.66959;0.45683;-1.17305;0.86423;-1.24964;-15.02187;0.68413;NULL;NULL;NULL;-0.38638;-1.50365;0.2323;-0.3281;-4.31156;0.66792;NULL;NULL;NULL;NULL;NULL;NULL;-0.96017;-1.22138;-0.72968;0.56357;-0.16308;0.83624;0.5609;-2.11862;0.93817;NULL;NULL;NULL
2022.02_01-07-2022;Алтайский край;165_195_days;EpiVacCorona;-0.48771;-0.66353;-0.33047;0.02773;-1.16624;0.56362;NULL;NULL;NULL;NULL;NULL;NULL;-0.79597;-1.29958;-0.40265;-0.50152;-1.79211;0.19253;0.50394;-2.52346;0.93016;NULL;NULL;NULL;-0.57739;-0.7464;-0.42474;0.0707;-0.51761;0.43095;0.76659;-0.65776;0.96714;NULL;NULL;NULL
2022.02_01-07-2022;Алтайский край;165_195_days;SputnikLite;-0.47353;-0.52239;-0.42625;0.47734;0.28835;0.61614;0.6861;0.02118;0.89933;0.5481;-2.25379;0.93724;-0.63488;-0.81235;-0.47478;0.50984;0.24766;0.68066;0.84598;0.38368;0.96151;NULL;NULL;NULL;-0.55256;-0.60144;-0.50517;0.69092;0.6032;0.75925;0.90019;0.75995;0.9585;0.95903;0.70886;0.99423
2022.02_01-07-2022;Алтайский край;165_195_days;SputnikV;-0.27581;-0.30577;-0.24653;0.3919;0.26787;0.49492;0.48853;0.08885;0.71289;0.63771;-0.4782;0.91121;-0.31826;-0.388;-0.25203;0.47221;0.36716;0.55982;0.6651;0.49468;0.77804;0.78099;0.56077;0.8908;-0.31755;-0.34566;-0.29003;0.57066;0.51134;0.62278;0.74671;0.64623;0.81865;0.8523;0.72465;0.92077
