data_point;region;vac_interval_group;vaccine;ve_zab_18_59;cil_zab_18_59;cih_zab_18_59;ve_hosp_18_59;cil_hosp_18_59;cih_hosp_18_59;ve_severe_18_59;cil_severe_18_59;cih_severe_18_59;ve_death_18_59;cil_death_18_59;cih_death_18_59;ve_zab_60;cil_zab_60;cih_zab_60;ve_hosp_60;cil_hosp_60;cih_hosp_60;ve_severe_60;cil_severe_60;cih_severe_60;ve_death_60;cil_death_60;cih_death_60;ve_zab_total;cil_zab_total;cih_zab_total;ve_hosp_total;cil_hosp_total;cih_hosp_total;ve_severe_total;cil_severe_total;cih_severe_total;ve_death_total;cil_death_total;cih_death_total
2022.01_13-10-2022;Алтайский край;105_165_days;AllVaccines;-1.93301;-2.02688;-1.84206;-0.47788;-0.72242;-0.26806;0.2219;-0.29305;0.53177;NULL;NULL;NULL;-0.23526;-0.33057;-0.14677;0.45558;0.3486;0.54498;0.73051;0.5922;0.82192;0.84487;0.67269;0.92648;-1.46119;-1.53313;-1.39129;0.10728;-0.00204;0.20466;0.62005;0.47696;0.72399;0.85919;0.70312;0.93321
2022.01_13-10-2022;Алтайский край;105_165_days;CoviVac;-4.37341;-5.54615;-3.41076;-0.62175;-5.49033;0.59477;-4.31653;-36.90326;0.25427;NULL;NULL;NULL;-2.13955;-5.99067;-0.40999;-3.58848;-13.2367;-0.47886;NULL;NULL;NULL;NULL;NULL;NULL;-4.50404;-5.66651;-3.54428;-0.98456;-3.77057;0.17442;-0.42072;-9.09485;0.80005;NULL;NULL;NULL
2022.01_13-10-2022;Алтайский край;105_165_days;EpiVacCorona;-3.56323;-4.43272;-2.8329;-3.84766;-8.33502;-1.51738;-2.51514;-24.06054;0.50695;NULL;NULL;NULL;-3.61244;-5.73071;-2.16083;-3.49184;-7.64353;-1.33431;-0.38676;-8.85533;0.80487;NULL;NULL;NULL;-3.69992;-4.50632;-3.01162;-3.16651;-5.62014;-1.62228;-0.65307;-5.61813;0.5871;NULL;NULL;NULL
2022.01_13-10-2022;Алтайский край;105_165_days;SputnikLite;-0.63787;-0.72568;-0.55453;0.08436;-0.19043;0.29572;0.49286;-0.23022;0.79094;NULL;NULL;NULL;0.43174;0.35193;0.50172;0.8022;0.7129;0.86373;0.88248;0.73769;0.94735;0.88762;0.65024;0.96389;-0.28121;-0.3448;-0.22062;0.53719;0.42691;0.62624;0.79059;0.62073;0.88438;0.87988;0.62631;0.96138
2022.01_13-10-2022;Алтайский край;105_165_days;SputnikV;-2.65621;-2.79511;-2.5224;-0.86674;-1.25267;-0.54693;0.10725;-0.73844;0.54154;NULL;NULL;NULL;-1.21232;-1.41906;-1.02325;-0.02644;-0.27296;0.17234;0.47739;0.14299;0.68131;0.7525;0.33766;0.90751;-2.39999;-2.51855;-2.28541;-0.29673;-0.49303;-0.12624;0.44806;0.17942;0.62875;0.81631;0.50869;0.93132
2022.01_13-10-2022;Алтайский край;165_195_days;AllVaccines;0.04252;0.00111;0.08221;0.45134;0.32535;0.5538;0.67238;0.36204;0.83176;0.75135;-0.01549;0.93911;-0.44109;-0.58445;-0.31071;0.15742;-0.03558;0.31445;0.45835;0.17289;0.64529;0.76794;0.43971;0.90388;-0.07794;-0.12035;-0.03713;0.48269;0.4015;0.55286;0.70407;0.57705;0.79294;0.86097;0.70689;0.93406
2022.01_13-10-2022;Алтайский край;165_195_days;CoviVac;0.76118;0.5224;0.88058;0.55251;-2.17881;0.93701;NULL;NULL;NULL;NULL;NULL;NULL;-0.11758;-3.46945;0.72055;-0.63291;-10.59604;0.77006;-3.55237;-31.35246;0.35943;NULL;NULL;NULL;0.69154;0.42665;0.83405;0.53173;-0.87299;0.88293;0.16129;-4.95946;0.88196;NULL;NULL;NULL
2022.01_13-10-2022;Алтайский край;165_195_days;EpiVacCorona;0.34111;0.09038;0.52274;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.24249;-0.6867;0.6598;0.26224;-1.95159;0.8156;-1.05832;-7.24338;0.48605;-0.96873;-13.00674;0.72328;0.29412;0.04801;0.47661;0.75107;0.00434;0.93777;0.10748;-2.57322;0.77707;0.05722;-5.70556;0.86745
2022.01_13-10-2022;Алтайский край;165_195_days;SputnikLite;0.95307;0.93431;0.96648;0.97933;0.8532;0.99709;NULL;NULL;NULL;NULL;NULL;NULL;0.90209;0.7647;0.95926;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.94539;0.92524;0.96011;0.98938;0.92462;0.9985;NULL;NULL;NULL;NULL;NULL;NULL
2022.01_13-10-2022;Алтайский край;165_195_days;SputnikV;-0.40585;-0.46758;-0.34673;0.18229;-0.00754;0.33635;0.50063;0.02758;0.74355;0.62099;-0.54786;0.90719;-0.73385;-0.90877;-0.57495;-0.01082;-0.24638;0.18022;0.42162;0.08865;0.63294;0.77015;0.38491;0.91411;-0.52194;-0.58273;-0.46348;0.26361;0.14645;0.36468;0.60981;0.43213;0.73189;0.82589;0.61063;0.92214
