data_point;region;vac_interval_group;vaccine;ve_zab_18_59;cil_zab_18_59;cih_zab_18_59;ve_hosp_18_59;cil_hosp_18_59;cih_hosp_18_59;ve_severe_18_59;cil_severe_18_59;cih_severe_18_59;ve_death_18_59;cil_death_18_59;cih_death_18_59;ve_zab_60;cil_zab_60;cih_zab_60;ve_hosp_60;cil_hosp_60;cih_hosp_60;ve_severe_60;cil_severe_60;cih_severe_60;ve_death_60;cil_death_60;cih_death_60;ve_zab_total;cil_zab_total;cih_zab_total;ve_hosp_total;cil_hosp_total;cih_hosp_total;ve_severe_total;cil_severe_total;cih_severe_total;ve_death_total;cil_death_total;cih_death_total
2022.04_13-10-2022;Алтайский край;105_165_days;AllVaccines;-0.08328;-0.21172;0.03154;-0.07093;-0.48879;0.22964;-0.32362;-1.70404;0.35209;0.3557;-1.74783;0.84893;-0.10055;-0.22066;0.00774;0.12797;-0.05633;0.28011;0.5095;0.23978;0.68352;0.67865;0.26612;0.85929;-0.15295;-0.24389;-0.06866;-0.04424;-0.23241;0.1152;0.29473;-0.02298;0.51377;0.56995;0.11909;0.79006
2022.04_13-10-2022;Алтайский край;105_165_days;CoviVac;-1.71723;-4.05619;-0.46026;-1.32828;-15.58215;0.67309;NULL;NULL;NULL;NULL;NULL;NULL;-1.34481;-5.25264;0.12067;-0.71843;-11.21334;0.75822;-4.80147;-40.35169;0.18608;NULL;NULL;NULL;-1.33742;-2.94958;-0.38332;-0.48318;-4.93775;0.62952;-1.78658;-18.84666;0.60875;NULL;NULL;NULL
2022.04_13-10-2022;Алтайский край;105_165_days;EpiVacCorona;-1.22866;-2.14181;-0.58092;-0.15082;-3.62289;0.71352;NULL;NULL;NULL;NULL;NULL;NULL;-0.97762;-1.87046;-0.36249;-0.86299;-2.59349;0.03416;0.30801;-3.93237;0.90292;NULL;NULL;NULL;-1.11436;-1.72169;-0.64255;-0.69113;-2.06261;0.06619;0.42697;-3.08123;0.91954;NULL;NULL;NULL
2022.04_13-10-2022;Алтайский край;105_165_days;SputnikLite;0.16801;-0.00544;0.31155;-0.09773;-0.79082;0.32712;-1.23763;-4.22338;0.04143;-0.74038;-6.42239;0.59192;0.18317;0.03735;0.30691;0.33003;0.08922;0.50717;0.48176;0.02406;0.7248;0.74844;-0.02041;0.93798;0.1155;-0.00123;0.21862;0.10566;-0.16002;0.31049;0.10524;-0.48068;0.4593;0.46085;-0.46058;0.80098
2022.04_13-10-2022;Алтайский край;105_165_days;SputnikV;-0.12602;-0.30083;0.0253;-0.00518;-0.56623;0.35489;0.22955;-1.46691;0.75938;NULL;NULL;NULL;-0.26526;-0.44099;-0.11095;7e-05;-0.2775;0.21733;0.54142;0.13641;0.75648;0.54532;-0.2367;0.83284;-0.24542;-0.37159;-0.13086;-0.09795;-0.36044;0.1139;0.43479;0.0146;0.67581;0.57637;-0.14762;0.84362
2022.04_13-10-2022;Алтайский край;165_195_days;AllVaccines;0.49827;0.38723;0.58919;0.78978;0.4912;0.91315;NULL;NULL;NULL;NULL;NULL;NULL;0.46483;0.36053;0.55211;0.651;0.49445;0.75908;0.75962;0.45953;0.89309;0.80218;0.1976;0.95123;0.45549;0.3781;0.52324;0.64472;0.50016;0.74746;0.76725;0.47767;0.89629;0.80963;0.22992;0.95294
2022.04_13-10-2022;Алтайский край;165_195_days;CoviVac;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022.04_13-10-2022;Алтайский край;165_195_days;EpiVacCorona;0.93681;0.55126;0.9911;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.93863;0.5642;0.99136;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.93668;0.74677;0.98417;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022.04_13-10-2022;Алтайский край;165_195_days;SputnikLite;0.06028;-0.19568;0.26144;0.88427;0.17575;0.98375;NULL;NULL;NULL;NULL;NULL;NULL;0.10401;-0.1139;0.27929;0.38113;0.03549;0.6029;0.48124;-0.25781;0.78605;0.48556;-1.08671;0.87317;0.03017;-0.13977;0.17477;0.4114;0.09356;0.61779;0.4753;-0.27003;0.78323;0.48324;-1.09035;0.87225
2022.04_13-10-2022;Алтайский край;165_195_days;SputnikV;0.69766;0.56916;0.78783;0.6651;0.10179;0.87513;NULL;NULL;NULL;NULL;NULL;NULL;0.64458;0.51947;0.73712;0.78336;0.58213;0.88769;0.91953;0.42643;0.98871;NULL;NULL;NULL;0.65492;0.56587;0.7257;0.73134;0.53584;0.8445;0.92311;0.45238;0.9892;NULL;NULL;NULL
