data_point;region;vac_interval_group;vaccine;ve_zab_18_59;cil_zab_18_59;cih_zab_18_59;ve_hosp_18_59;cil_hosp_18_59;cih_hosp_18_59;ve_severe_18_59;cil_severe_18_59;cih_severe_18_59;ve_death_18_59;cil_death_18_59;cih_death_18_59;ve_zab_60;cil_zab_60;cih_zab_60;ve_hosp_60;cil_hosp_60;cih_hosp_60;ve_severe_60;cil_severe_60;cih_severe_60;ve_death_60;cil_death_60;cih_death_60;ve_zab_total;cil_zab_total;cih_zab_total;ve_hosp_total;cil_hosp_total;cih_hosp_total;ve_severe_total;cil_severe_total;cih_severe_total;ve_death_total;cil_death_total;cih_death_total
2022.07_16-08-2022;Алтайский край;105_165_days;AllVaccines;-0.17764;-0.44675;0.04141;0.83314;0.32827;0.95855;NULL;NULL;NULL;NULL;NULL;NULL;0.20856;-0.03354;0.39395;0.26029;-0.17346;0.53371;0.14906;-0.94033;0.62682;0.15765;-2.51028;0.79787;-0.01901;-0.19933;0.13421;0.40547;0.08088;0.61543;0.31565;-0.54954;0.69776;0.22663;-2.19731;0.81293
2022.07_16-08-2022;Алтайский край;105_165_days;CoviVac;-0.277;-4.1107;0.68092;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.20694;-2.17273;0.80176;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Алтайский край;105_165_days;EpiVacCorona;0.53852;-0.84687;0.88469;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.21585;-1.92719;0.49498;0.31718;-3.86008;0.90407;-1.486;-16.81621;0.65311;-6.53112;-54.01555;-0.03094;0.14575;-0.7937;0.59317;0.46494;-2.80484;0.92476;-1.15511;-14.40354;0.69848;-6.38893;-52.68345;-0.017
2022.07_16-08-2022;Алтайский край;105_165_days;SputnikLite;-0.19539;-0.59365;0.10335;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.35454;-0.02855;0.59495;0.18928;-0.63331;0.59759;-0.10771;-2.4923;0.64865;NULL;NULL;NULL;0.03363;-0.23396;0.2432;0.49221;-0.02029;0.74728;0.23161;-1.41095;0.75511;NULL;NULL;NULL
2022.07_16-08-2022;Алтайский край;105_165_days;SputnikV;-0.22555;-0.64884;0.08907;0.61174;-0.56301;0.90356;NULL;NULL;NULL;NULL;NULL;NULL;0.1175;-0.24193;0.37291;0.2738;-0.36106;0.61254;0.47885;-1.11216;0.87141;0.21827;-4.7106;0.89299;-0.09484;-0.36974;0.12488;0.27778;-0.27928;0.59227;0.52105;-0.93364;0.88137;0.18464;-4.92389;0.88778
2022.07_16-08-2022;Алтайский край;165_195_days;AllVaccines;0.02035;-0.26325;0.24029;0.08243;-0.86051;0.54747;NULL;NULL;NULL;NULL;NULL;NULL;-0.13079;-0.46437;0.1268;-0.0933;-0.69786;0.29599;0.26072;-1.00834;0.72787;-0.12012;-3.66783;0.73121;-0.07057;-0.28317;0.10681;-0.10978;-0.61213;0.23603;0.40073;-0.61888;0.77817;-0.03045;-3.26011;0.75075
2022.07_16-08-2022;Алтайский край;165_195_days;CoviVac;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Алтайский край;165_195_days;EpiVacCorona;0.08361;-2.66748;0.77102;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.47701;-2.71617;0.9264;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.25126;-1.32306;0.75868;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Алтайский край;165_195_days;SputnikLite;0.02692;-0.32245;0.28399;0.16014;-1.03986;0.65421;NULL;NULL;NULL;NULL;NULL;NULL;-0.29545;-0.74079;0.03595;-0.18421;-0.98485;0.29347;0.15347;-1.66889;0.73149;-0.72727;-6.19801;0.58551;-0.137;-0.40639;0.08079;-0.13405;-0.77145;0.274;0.32796;-1.10865;0.78581;-0.55171;-5.41516;0.62467
2022.07_16-08-2022;Алтайский край;165_195_days;SputnikV;-0.03173;-0.64217;0.35179;-0.25476;-2.92319;0.59869;NULL;NULL;NULL;NULL;NULL;NULL;0.14051;-0.45631;0.49274;-0.03935;-1.32846;0.53607;0.37774;-3.45953;0.91317;NULL;NULL;NULL;0.02386;-0.38337;0.31121;-0.20856;-1.33466;0.37438;0.46659;-2.8125;0.92537;NULL;NULL;NULL
2022.07_16-08-2022;Алтайский край;21_45_days;AllVaccines;-0.64938;-2.07186;0.11439;-2.63027;-10.35053;-0.16108;-5.11096;-43.45022;0.15987;NULL;NULL;NULL;-0.02461;-0.81003;0.41999;-0.44831;-2.24465;0.35352;0.13289;-5.21424;0.87901;NULL;NULL;NULL;-0.37745;-1.09575;0.09466;-1.49044;-3.81098;-0.2892;-1.21373;-7.93734;0.45167;NULL;NULL;NULL
