data_point;region;vac_interval_group;vaccine;ve_zab_18_59;cil_zab_18_59;cih_zab_18_59;ve_hosp_18_59;cil_hosp_18_59;cih_hosp_18_59;ve_severe_18_59;cil_severe_18_59;cih_severe_18_59;ve_death_18_59;cil_death_18_59;cih_death_18_59;ve_zab_60;cil_zab_60;cih_zab_60;ve_hosp_60;cil_hosp_60;cih_hosp_60;ve_severe_60;cil_severe_60;cih_severe_60;ve_death_60;cil_death_60;cih_death_60;ve_zab_total;cil_zab_total;cih_zab_total;ve_hosp_total;cil_hosp_total;cih_hosp_total;ve_severe_total;cil_severe_total;cih_severe_total;ve_death_total;cil_death_total;cih_death_total
2022.03_13-10-2022;Алтайский край;105_165_days;AllVaccines;0.44275;0.40627;0.47698;0.64722;0.52598;0.73745;0.8617;0.56476;0.95606;0.87295;0.07639;0.98252;0.42062;0.38475;0.4544;0.64479;0.59392;0.68929;0.80245;0.73055;0.85516;0.88522;0.79612;0.93538;0.40184;0.37523;0.42732;0.58371;0.52977;0.63146;0.76801;0.68704;0.82804;0.85907;0.7553;0.91884
2022.03_13-10-2022;Алтайский край;105_165_days;CoviVac;0.56767;0.2552;0.74904;-0.47829;-3.59406;0.52431;NULL;NULL;NULL;NULL;NULL;NULL;0.0952;-0.6822;0.51333;0.08008;-1.85409;0.70349;0.00712;-6.05653;0.8603;NULL;NULL;NULL;0.49313;0.23706;0.66325;0.2257;-0.72471;0.65238;0.5326;-2.32154;0.93423;NULL;NULL;NULL
2022.03_13-10-2022;Алтайский край;105_165_days;EpiVacCorona;0.36377;0.19911;0.49458;0.48559;-0.37425;0.80744;NULL;NULL;NULL;NULL;NULL;NULL;0.33433;0.15195;0.47748;0.55672;0.23559;0.74295;0.66921;-0.02772;0.89353;0.77117;-0.62852;0.96784;0.3465;0.22786;0.44691;0.53319;0.2482;0.71014;0.70197;0.07426;0.90405;0.78731;-0.51325;0.97011
2022.03_13-10-2022;Алтайский край;105_165_days;SputnikLite;0.04589;-0.04064;0.12522;0.51226;0.23084;0.69072;NULL;NULL;NULL;NULL;NULL;NULL;0.15723;0.08639;0.22257;0.48731;0.38295;0.57402;0.63579;0.46177;0.75355;0.76985;0.53654;0.88571;0.04211;-0.01615;0.09704;0.36105;0.24151;0.46175;0.56283;0.35445;0.70395;0.71451;0.42548;0.85813
2022.03_13-10-2022;Алтайский край;105_165_days;SputnikV;0.61246;0.5735;0.64786;0.72748;0.57943;0.82341;0.75194;0.21931;0.92118;0.77211;-0.65668;0.96865;0.55006;0.50845;0.58814;0.70745;0.64344;0.75997;0.89123;0.80768;0.93848;0.9439;0.82531;0.98198;0.56663;0.53756;0.59387;0.67803;0.61454;0.73107;0.86059;0.76781;0.9163;0.92088;0.78826;0.97044
2022.03_13-10-2022;Алтайский край;165_195_days;AllVaccines;-0.90118;-1.05052;-0.76272;-0.06218;-0.54948;0.27187;0.7648;-0.68384;0.96715;NULL;NULL;NULL;0.08325;-0.01175;0.16932;0.46249;0.32174;0.57403;0.5975;0.34933;0.75102;0.85435;0.54648;0.95323;-0.43804;-0.52688;-0.35436;0.27069;0.11103;0.40167;0.53393;0.25695;0.70767;0.8356;0.48829;0.94718
2022.03_13-10-2022;Алтайский край;165_195_days;CoviVac;-2.51651;-6.03343;-0.75815;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-2.43725;-8.1602;-0.28978;-1.91199;-19.67996;0.58996;NULL;NULL;NULL;NULL;NULL;NULL;-2.27757;-4.77225;-0.86105;-0.59794;-10.34714;0.77497;NULL;NULL;NULL;NULL;NULL;NULL
2022.03_13-10-2022;Алтайский край;165_195_days;EpiVacCorona;-4.01121;-7.06398;-2.11413;-3.35434;-29.95207;0.38743;NULL;NULL;NULL;NULL;NULL;NULL;0.04504;-1.96148;0.69206;-0.07883;-6.66147;0.84809;NULL;NULL;NULL;NULL;NULL;NULL;-2.10755;-3.81779;-1.00442;-0.81787;-6.27155;0.54554;NULL;NULL;NULL;NULL;NULL;NULL
2022.03_13-10-2022;Алтайский край;165_195_days;SputnikLite;0.15755;0.0392;0.26133;0.4557;-0.01588;0.70837;NULL;NULL;NULL;NULL;NULL;NULL;0.33309;0.23601;0.41783;0.60057;0.44981;0.71002;0.72898;0.45625;0.86492;NULL;NULL;NULL;0.21293;0.13494;0.28389;0.50156;0.33726;0.62513;0.7006;0.39954;0.85071;NULL;NULL;NULL
2022.03_13-10-2022;Алтайский край;165_195_days;SputnikV;-3.15155;-3.55478;-2.78402;-1.1878;-2.53886;-0.35254;0.18979;-4.80057;0.88683;NULL;NULL;NULL;-0.5061;-0.73631;-0.3064;0.13971;-0.21265;0.38969;0.24148;-0.46303;0.60674;0.47644;-0.63029;0.83186;-1.86416;-2.09503;-1.65051;-0.24427;-0.64505;0.05888;0.10173;-0.67499;0.51828;0.42474;-0.79055;0.81518
2022.03_13-10-2022;Алтайский край;21_45_days;AllVaccines;-3.10279;-3.52158;-2.7228;-1.83176;-3.41582;-0.81594;-0.79096;-6.24826;0.55747;NULL;NULL;NULL;-1.56253;-1.89115;-1.27127;-0.70688;-1.23471;-0.30373;-0.11791;-1.02662;0.38335;-0.05497;-1.54868;0.56332;-2.42152;-2.69047;-2.17217;-1.10354;-1.64842;-0.67076;-0.32868;-1.2969;0.2314;-0.09239;-1.63767;0.54759
2022.03_13-10-2022;Алтайский край;21_45_days;CoviVac;-0.71346;-2.81478;0.23037;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0046;-2.08688;0.67902;-0.12451;-6.98587;0.84166;NULL;NULL;NULL;NULL;NULL;NULL;-0.38809;-1.66818;0.27786;0.09754;-5.40849;0.87291;NULL;NULL;NULL;NULL;NULL;NULL
2022.03_13-10-2022;Алтайский край;21_45_days;EpiVacCorona;-0.2668;-1.13967;0.24999;-0.33699;-8.50376;0.81191;NULL;NULL;NULL;NULL;NULL;NULL;-0.47336;-1.3711;0.08448;0.41323;-1.34739;0.85333;NULL;NULL;NULL;NULL;NULL;NULL;-0.41765;-1.01636;0.00328;0.19765;-1.48897;0.74135;NULL;NULL;NULL;NULL;NULL;NULL
2022.03_13-10-2022;Алтайский край;21_45_days;SputnikLite;-12.01025;-13.65848;-10.54735;-5.16229;-10.8909;-2.19352;-3.35826;-30.20219;0.39125;NULL;NULL;NULL;-7.33804;-8.78285;-6.1066;-4.50904;-6.89512;-2.84409;-1.36299;-5.31092;0.11523;-1.45525;-8.85143;0.38809;-9.89052;-10.98243;-8.89812;-4.72169;-6.84527;-3.17292;-1.64234;-5.3631;-0.09726;-1.26314;-8.0776;0.43577
2022.03_13-10-2022;Алтайский край;21_45_days;SputnikV;-0.81331;-1.16144;-0.52125;-1.13055;-2.97649;-0.14152;-0.35429;-8.69579;0.81084;NULL;NULL;NULL;-0.32473;-0.6149;-0.0867;0.05062;-0.45854;0.38204;-0.02522;-1.15729;0.51278;0.08795;-1.83999;0.7071;-0.61862;-0.84592;-0.41931;-0.30225;-0.85469;0.08564;-0.21729;-1.44131;0.39303;0.02346;-2.03958;0.68626
2022.03_13-10-2022;Алтайский край;45_75_days;AllVaccines;-0.13809;-0.24026;-0.04432;0.2444;-0.12584;0.49289;0.81182;-0.34721;0.97372;NULL;NULL;NULL;0.27907;0.19802;0.35194;0.64619;0.53444;0.73111;0.78134;0.59207;0.88279;0.81865;0.51441;0.93227;0.04604;-0.01995;0.10776;0.53277;0.41434;0.62725;0.76074;0.56646;0.86796;0.81405;0.50233;0.93052
2022.03_13-10-2022;Алтайский край;45_75_days;CoviVac;0.03535;-1.57069;0.63801;-2.56661;-24.35262;0.49825;NULL;NULL;NULL;NULL;NULL;NULL;-0.568;-3.17871;0.41163;-1.65777;-9.63243;0.33564;NULL;NULL;NULL;NULL;NULL;NULL;-0.1476;-1.29506;0.42617;-1.51972;-6.81643;0.18774;NULL;NULL;NULL;NULL;NULL;NULL
2022.03_13-10-2022;Алтайский край;45_75_days;EpiVacCorona;-0.06643;-0.65363;0.31226;0.21257;-4.59728;0.88922;NULL;NULL;NULL;NULL;NULL;NULL;0.21595;-0.26178;0.5128;-0.09492;-1.29894;0.47852;-0.01265;-3.05579;0.74716;-0.05208;-6.48722;0.85216;0.04064;-0.32449;0.30511;-0.21453;-1.43055;0.39311;-0.10022;-3.40564;0.72524;-0.17899;-7.38838;0.83429
2022.03_13-10-2022;Алтайский край;45_75_days;SputnikLite;-0.39095;-0.54123;-0.25532;0.35975;-0.13262;0.63808;0.66178;-1.42141;0.95276;NULL;NULL;NULL;-0.05142;-0.19846;0.07759;0.64969;0.47191;0.76762;0.8528;0.54266;0.95262;0.89817;0.27529;0.98569;-0.23239;-0.33599;-0.13682;0.59326;0.43254;0.70846;0.83254;0.55288;0.93728;0.91046;0.36296;0.98742
2022.03_13-10-2022;Алтайский край;45_75_days;SputnikV;0.22441;0.08632;0.34163;0.12928;-0.57926;0.51993;NULL;NULL;NULL;NULL;NULL;NULL;0.58175;0.49113;0.65623;0.72035;0.56583;0.81988;0.77397;0.45552;0.90617;0.81235;0.24706;0.95323;0.38763;0.30559;0.45999;0.54986;0.3589;0.68394;0.73786;0.36872;0.89114;0.77548;0.09942;0.94402
2022.03_13-10-2022;Алтайский край;75_90_days;AllVaccines;-0.17143;-0.30521;-0.05137;0.03526;-0.52139;0.38824;0.02672;-2.06305;0.69074;NULL;NULL;NULL;-0.39097;-0.54736;-0.25039;0.04754;-0.20374;0.24637;0.36327;-0.06108;0.61792;0.56151;-0.05934;0.8185;-0.28431;-0.38556;-0.19047;0.01821;-0.20908;0.20278;0.30155;-0.11353;0.56191;0.5875;0.00398;0.82916
2022.03_13-10-2022;Алтайский край;75_90_days;CoviVac;-0.7994;-4.58002;0.41975;-7.87135;-62.06048;-0.24802;NULL;NULL;NULL;NULL;NULL;NULL;-0.99102;-6.96215;0.50213;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.79323;-3.30875;0.25369;-1.09897;-13.90503;0.70442;NULL;NULL;NULL;NULL;NULL;NULL
2022.03_13-10-2022;Алтайский край;75_90_days;EpiVacCorona;-3.91758;-6.03676;-2.43662;-1.41848;-16.19133;0.65977;NULL;NULL;NULL;NULL;NULL;NULL;-2.16396;-3.90654;-1.04027;-1.67974;-5.44343;-0.11447;NULL;NULL;NULL;NULL;NULL;NULL;-3.15321;-4.48167;-2.1467;-1.91451;-5.4919;-0.30846;NULL;NULL;NULL;NULL;NULL;NULL
2022.03_13-10-2022;Алтайский край;75_90_days;SputnikLite;0.51044;0.41216;0.59229;0.50106;-0.00144;0.75142;0.19798;-2.24587;0.80183;NULL;NULL;NULL;0.38583;0.26726;0.48522;0.65241;0.466;0.77375;0.73254;0.35571;0.88897;0.88925;0.21186;0.98444;0.45008;0.3756;0.51568;0.61413;0.44387;0.73227;0.66279;0.2907;0.83968;0.8973;0.26932;0.98557
2022.03_13-10-2022;Алтайский край;75_90_days;SputnikV;-2.96354;-3.57487;-2.4339;-1.75926;-4.32433;-0.42995;-0.95148;-12.97125;0.72742;NULL;NULL;NULL;-3.46568;-4.12885;-2.88826;-2.37728;-3.52022;-1.52334;-1.36483;-3.41176;-0.26762;-0.96132;-4.25163;0.26751;-3.29681;-3.74683;-2.88946;-2.48837;-3.55335;-1.67248;-1.5173;-3.5613;-0.38926;-0.95645;-4.23606;0.26898
2022.03_13-10-2022;Алтайский край;90_105_days;AllVaccines;-2.09039;-2.37572;-1.82919;-1.08709;-2.13456;-0.38965;-1.22685;-5.03706;0.17859;-0.52078;-10.05532;0.7908;-1.68629;-1.92926;-1.46347;-0.9382;-1.33099;-0.6116;-0.25658;-0.88586;0.16273;0.24736;-0.58917;0.64355;-2.03296;-2.22632;-1.85119;-1.34478;-1.77371;-0.98217;-0.65528;-1.41086;-0.13651;-0.00158;-1.01557;0.50229
2022.03_13-10-2022;Алтайский край;90_105_days;CoviVac;-4.70018;-9.59706;-2.06614;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-1.13822;-5.63095;0.31051;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-3.09536;-6.05422;-1.37758;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022.03_13-10-2022;Алтайский край;90_105_days;EpiVacCorona;-3.69721;-5.25558;-2.52706;-1.94845;-10.81132;0.26398;NULL;NULL;NULL;NULL;NULL;NULL;-1.92764;-3.18969;-1.04575;-0.65124;-2.97039;0.31327;NULL;NULL;NULL;NULL;NULL;NULL;-2.91602;-3.89818;-2.13079;-1.07966;-3.36562;0.00931;NULL;NULL;NULL;NULL;NULL;NULL
2022.03_13-10-2022;Алтайский край;90_105_days;SputnikLite;-0.97194;-1.30731;-0.68532;-0.65573;-2.19493;0.14194;-1.36256;-8.56159;0.41624;NULL;NULL;NULL;-0.89023;-1.17685;-0.64136;-0.19354;-0.65101;0.13717;0.48188;-0.24812;0.78491;0.78546;-0.52678;0.96985;-1.05557;-1.28305;-0.85076;-0.55202;-1.07612;-0.16023;0.14921;-0.78956;0.59552;0.74089;-0.8435;0.96358
