data_point;region;vac_interval_group;vaccine;ve_zab_18_59;cil_zab_18_59;cih_zab_18_59;ve_hosp_18_59;cil_hosp_18_59;cih_hosp_18_59;ve_severe_18_59;cil_severe_18_59;cih_severe_18_59;ve_death_18_59;cil_death_18_59;cih_death_18_59;ve_zab_60;cil_zab_60;cih_zab_60;ve_hosp_60;cil_hosp_60;cih_hosp_60;ve_severe_60;cil_severe_60;cih_severe_60;ve_death_60;cil_death_60;cih_death_60;ve_zab_total;cil_zab_total;cih_zab_total;ve_hosp_total;cil_hosp_total;cih_hosp_total;ve_severe_total;cil_severe_total;cih_severe_total;ve_death_total;cil_death_total;cih_death_total
2022.08_13-10-2022;Алтайский край;105_165_days;AllVaccines;-0.63426;-0.88928;-0.41367;-0.09938;-1.459;0.50848;NULL;NULL;NULL;NULL;NULL;NULL;-0.25048;-0.45562;-0.07426;0.26291;-0.20786;0.55019;0.08685;-1.45662;0.66057;NULL;NULL;NULL;-0.49577;-0.66111;-0.34689;-0.02338;-0.559;0.32822;-0.16802;-2.1377;0.5652;NULL;NULL;NULL
2022.08_13-10-2022;Алтайский край;105_165_days;CoviVac;-0.89038;-2.32974;-0.07321;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.31391;-1.12779;0.77877;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.40944;-1.33842;0.15049;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022.08_13-10-2022;Алтайский край;105_165_days;EpiVacCorona;-0.83764;-1.74291;-0.23115;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.11176;-0.78949;0.3093;0.16755;-2.33304;0.79209;-1.06082;-13.69992;0.71109;NULL;NULL;NULL;-0.51418;-1.05719;-0.1145;0.17536;-2.30022;0.79395;-1.59025;-17.46307;0.63661;NULL;NULL;NULL
2022.08_13-10-2022;Алтайский край;105_165_days;SputnikLite;-0.57138;-1.43668;-0.01336;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.54235;-1.60569;0.08706;-0.40299;-4.61741;0.6496;NULL;NULL;NULL;NULL;NULL;NULL;-0.5746;-1.20444;-0.12472;-0.03452;-3.14019;0.7415;NULL;NULL;NULL;NULL;NULL;NULL
2022.08_13-10-2022;Алтайский край;105_165_days;SputnikV;-0.58413;-0.88328;-0.3325;-0.53302;-2.42891;0.31461;NULL;NULL;NULL;NULL;NULL;NULL;-0.2657;-0.49911;-0.06862;0.30062;-0.23565;0.60415;0.13439;-1.70634;0.72314;NULL;NULL;NULL;-0.48277;-0.67333;-0.31391;-0.11286;-0.77122;0.30079;-0.16253;-2.6301;0.62771;NULL;NULL;NULL
2022.08_13-10-2022;Алтайский край;165_195_days;AllVaccines;-4.23678;-4.719;-3.79521;-1.88577;-3.90923;-0.69632;-1.85632;-19.84871;0.60868;-15.66187;-137.39687;-1.00595;-3.3047;-3.81508;-2.84842;-1.93273;-3.10859;-1.09339;-0.62939;-3.38347;0.39434;-2.16477;-9.0264;0.00106;-3.9028;-4.25435;-3.57477;-2.12777;-3.15767;-1.353;-0.97556;-3.79021;0.18524;-3.45913;-11.15812;-0.63544
2022.08_13-10-2022;Алтайский край;165_195_days;CoviVac;0.1451;-0.90332;0.61602;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.72317;-0.96538;0.96101;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.34944;-0.36484;0.6899;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022.08_13-10-2022;Алтайский край;165_195_days;EpiVacCorona;-0.50795;-1.39437;0.0503;-0.75777;-11.50306;0.75288;NULL;NULL;NULL;NULL;NULL;NULL;-0.45565;-1.50827;0.15523;-2.57605;-7.61017;-0.48524;NULL;NULL;NULL;NULL;NULL;NULL;-0.50522;-1.14102;-0.05823;-2.26312;-6.27483;-0.46367;NULL;NULL;NULL;NULL;NULL;NULL
2022.08_13-10-2022;Алтайский край;165_195_days;SputnikLite;-20.01751;-22.60134;-17.71656;-7.8509;-18.79687;-2.95711;NULL;NULL;NULL;NULL;NULL;NULL;-14.32911;-17.17826;-11.92652;-7.59854;-14.19174;-3.86678;-2.51282;-24.05706;0.50753;NULL;NULL;NULL;-17.83265;-19.72708;-16.11137;-7.71151;-12.86516;-4.47346;-2.00826;-20.44264;0.57796;NULL;NULL;NULL
2022.08_13-10-2022;Алтайский край;165_195_days;SputnikV;-1.92374;-2.35946;-1.54453;-1.10326;-3.43503;0.00256;-3.22369;-29.82932;0.42135;-23.63816;-203.64962;-1.96624;-2.13302;-2.64385;-1.6938;-1.05703;-2.27846;-0.29066;-0.68717;-4.27494;0.46037;-3.39096;-12.91113;-0.38598;-2.07018;-2.40061;-1.77186;-1.26834;-2.36798;-0.52773;-1.27368;-5.10789;0.15362;-5.44209;-16.56478;-1.36271
