data_point;region;age_group;vac_interval_group;vaccine;ve_zab;cil_zab;cih_zab;ve_hosp;cil_hosp;cih_hosp;ve_severe;cil_severe;cih_severe;ve_death;cil_death;cih_death
2021.12_26-12-2022;Московская область;60+;165_195_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.12_26-12-2022;Московская область;60+;165_195_days;SputnikV;0.175;0.09955;0.24413;0.33826;0.2219;0.43723;0.29611;0.03652;0.48576;0.71214;0.5126;0.82999
2021.12_26-12-2022;Московская область;18+;21_45_days;AllVaccines;0.55602;0.53434;0.57669;0.65148;0.60439;0.69296;0.55698;0.43802;0.65076;0.72775;0.60432;0.81268
2021.12_26-12-2022;Московская область;18+;21_45_days;CoviVac;-0.17016;-0.55296;0.11827;-0.08853;-1.17724;0.45578;NULL;NULL;NULL;NULL;NULL;NULL
2021.12_26-12-2022;Московская область;18+;21_45_days;EpiVacCorona;0.17369;-0.06215;0.35717;-0.81456;-1.7085;-0.21566;-1.01823;-3.49709;0.09425;-1.06709;-4.51491;0.22521
2021.12_26-12-2022;Московская область;18+;21_45_days;SputnikLite;0.55483;0.51325;0.59285;0.69324;0.60463;0.762;0.70431;0.48996;0.82857;0.79033;0.53255;0.90596
2021.12_26-12-2022;Московская область;18+;21_45_days;SputnikV;0.57785;0.55243;0.60182;0.6857;0.63129;0.73208;0.5339;0.38481;0.64686;0.74727;0.59773;0.84121
2021.12_26-12-2022;Московская область;18-59;21_45_days;AllVaccines;0.55109;0.52343;0.57716;0.637;0.55213;0.70579;0.48366;0.21789;0.65912;0.70761;0.08403;0.90666
2021.12_26-12-2022;Московская область;18-59;21_45_days;CoviVac;-0.328;-0.84132;0.04222;-0.11005;-2.44328;0.64214;NULL;NULL;NULL;NULL;NULL;NULL
2021.12_26-12-2022;Московская область;18-59;21_45_days;EpiVacCorona;0.28885;-0.03712;0.51237;-0.84936;-2.88179;0.11893;-1.90836;-10.65155;0.27404;-5.31328;-44.08661;0.11598
2021.12_26-12-2022;Московская область;18-59;21_45_days;SputnikLite;0.55707;0.49727;0.60976;0.81565;0.65711;0.90089;0.89853;0.27868;0.98573;NULL;NULL;NULL
2021.12_26-12-2022;Московская область;18-59;21_45_days;SputnikV;0.5676;0.53625;0.59683;0.62591;0.52538;0.70515;0.40317;0.06924;0.6173;0.74089;-0.0448;0.93574
2021.12_26-12-2022;Московская область;60+;21_45_days;AllVaccines;0.57905;0.54443;0.61105;0.71738;0.66871;0.7589;0.66243;0.54877;0.74745;0.78724;0.68396;0.85677
2021.12_26-12-2022;Московская область;60+;21_45_days;CoviVac;0.15475;-0.48866;0.52007;0.03295;-1.32418;0.59763;NULL;NULL;NULL;NULL;NULL;NULL
2021.12_26-12-2022;Московская область;60+;21_45_days;EpiVacCorona;0.11265;-0.24229;0.36618;-0.21825;-0.96096;0.24316;-0.13642;-2.03172;0.57402;-0.00989;-2.13529;0.67471
