data_point;region;age_group;vac_interval_group;vaccine;ve_zab;cil_zab;cih_zab;ve_hosp;cil_hosp;cih_hosp;ve_severe;cil_severe;cih_severe;ve_death;cil_death;cih_death
2021.12.B_26-12-2022;Московская область;20-29;105_165_days;AllVaccines;0.37356;0.33689;0.40821;0.76334;0.65381;0.83822;0.72538;0.38292;0.87779;NULL;NULL;NULL
2021.12.B_26-12-2022;Московская область;20-29;105_165_days;CoviVac;0.04263;-0.44243;0.36458;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.12.B_26-12-2022;Московская область;20-29;105_165_days;EpiVacCorona;-0.35349;-0.9385;0.05497;0.05816;-5.72162;0.86803;NULL;NULL;NULL;NULL;NULL;NULL
2021.12.B_26-12-2022;Московская область;20-29;105_165_days;SputnikLite;0.62149;0.3603;0.77604;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.12.B_26-12-2022;Московская область;20-29;105_165_days;SputnikV;0.37918;0.34231;0.41398;0.76379;0.6526;0.83939;0.71677;0.36356;0.87395;NULL;NULL;NULL
2021.12.B_26-12-2022;Московская область;30-39;105_165_days;AllVaccines;0.36683;0.34244;0.39032;0.47943;0.3914;0.55473;0.28029;-0.02771;0.49599;0.14566;-1.1413;0.65914
2021.12.B_26-12-2022;Московская область;30-39;105_165_days;CoviVac;-0.05556;-0.355;0.17771;-0.51174;-2.37758;0.32338;-0.6546;-10.86494;0.76926;NULL;NULL;NULL
2021.12.B_26-12-2022;Московская область;30-39;105_165_days;EpiVacCorona;-0.13659;-0.45614;0.11283;0.46602;-1.13965;0.86674;NULL;NULL;NULL;NULL;NULL;NULL
2021.12.B_26-12-2022;Московская область;30-39;105_165_days;SputnikLite;0.52285;0.30384;0.67295;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.12.B_26-12-2022;Московская область;30-39;105_165_days;SputnikV;0.37444;0.34997;0.39798;0.48454;0.39597;0.56012;0.27584;-0.03701;0.49431;0.12039;-1.20466;0.64905
2021.12.B_26-12-2022;Московская область;40-49;105_165_days;AllVaccines;0.35113;0.32455;0.37666;0.56992;0.50583;0.62569;-0.05808;-0.41738;0.21013;0.38742;-0.19646;0.68637
2021.12.B_26-12-2022;Московская область;40-49;105_165_days;CoviVac;-0.14077;-0.43418;0.09262;-0.90341;-2.2268;-0.12277;-0.12227;-7.0379;0.84331;NULL;NULL;NULL
2021.12.B_26-12-2022;Московская область;40-49;105_165_days;EpiVacCorona;-0.24448;-0.56699;0.01165;-0.2028;-1.41247;0.40031;-1.48214;-9.04997;0.38696;NULL;NULL;NULL
2021.12.B_26-12-2022;Московская область;40-49;105_165_days;SputnikLite;0.35621;0.1108;0.5339;0.69309;-0.22903;0.92336;-0.26669;-8.0723;0.82314;NULL;NULL;NULL
2021.12.B_26-12-2022;Московская область;40-49;105_165_days;SputnikV;0.36431;0.33774;0.38982;0.59642;0.53372;0.6507;-0.03834;-0.39757;0.22856;0.36546;-0.23936;0.67512
2021.12.B_26-12-2022;Московская область;50-59;105_165_days;AllVaccines;0.24127;0.20647;0.27454;0.43835;0.37227;0.49748;0.2285;0.03077;0.3859;0.58639;0.31111;0.75167
2021.12.B_26-12-2022;Московская область;50-59;105_165_days;CoviVac;-0.21325;-0.55189;0.0515;0.44029;-0.24805;0.74899;NULL;NULL;NULL;NULL;NULL;NULL
2021.12.B_26-12-2022;Московская область;50-59;105_165_days;EpiVacCorona;-0.4875;-0.87938;-0.17734;-0.23715;-1.18389;0.29917;-1.7438;-5.64891;-0.13228;-0.69982;-11.21175;0.76339
2021.12.B_26-12-2022;Московская область;50-59;105_165_days;SputnikLite;0.41828;0.17671;0.58896;0.1949;-0.5507;0.582;0.04768;-2.82857;0.76312;NULL;NULL;NULL
2021.12.B_26-12-2022;Московская область;50-59;105_165_days;SputnikV;0.25579;0.22084;0.28918;0.45184;0.38549;0.51104;0.24728;0.0489;0.40429;0.59137;0.31108;0.75762
2021.12.B_26-12-2022;Московская область;60-69;105_165_days;AllVaccines;0.21019;0.16843;0.24986;0.46002;0.3973;0.51622;0.08358;-0.11232;0.24497;0.48652;0.2851;0.63119
2021.12.B_26-12-2022;Московская область;60-69;105_165_days;CoviVac;-0.21002;-0.66417;0.12019;0.37051;-0.40253;0.71747;-0.52322;-3.73853;0.51036;NULL;NULL;NULL
2021.12.B_26-12-2022;Московская область;60-69;105_165_days;EpiVacCorona;-0.40602;-0.82864;-0.08107;-0.7372;-1.66921;-0.13061;-1.8024;-4.90814;-0.32926;-1.15343;-5.71659;0.30958
2021.12.B_26-12-2022;Московская область;60-69;105_165_days;SputnikLite;0.43002;0.19771;0.59507;0.71546;0.31578;0.88167;NULL;NULL;NULL;0.5062;-2.51747;0.93068
2021.12.B_26-12-2022;Московская область;60-69;105_165_days;SputnikV;0.22211;0.17965;0.26238;0.47704;0.41365;0.53358;0.10317;-0.09558;0.26587;0.50943;0.30615;0.65315
2021.12.B_26-12-2022;Московская область;70-79;105_165_days;AllVaccines;0.17759;0.09579;0.25199;0.41268;0.30298;0.50512;0.44994;0.22492;0.60964;0.6839;0.47886;0.80827
2021.12.B_26-12-2022;Московская область;70-79;105_165_days;CoviVac;-0.67079;-1.82342;0.01129;-0.14361;-2.05029;0.57124;-0.07872;-6.67323;0.84835;NULL;NULL;NULL
2021.12.B_26-12-2022;Московская область;70-79;105_165_days;EpiVacCorona;-0.10976;-0.78677;0.31074;-0.40749;-1.70939;0.26882;-1.36022;-5.31378;0.11771;NULL;NULL;NULL
2021.12.B_26-12-2022;Московская область;70-79;105_165_days;SputnikLite;0.3357;-0.03069;0.57185;0.68171;0.15105;0.88067;0.69977;-1.13559;0.95779;0.6226;-1.68597;0.94697
2021.12.B_26-12-2022;Московская область;70-79;105_165_days;SputnikV;0.19054;0.10553;0.26747;0.43019;0.31656;0.52492;0.4972;0.26873;0.65429;0.67307;0.45245;0.8048
2021.12.B_26-12-2022;Московская область;80+;105_165_days;AllVaccines;0.12629;-0.04406;0.26884;0.2462;0.02401;0.4178;0.18462;-0.29137;0.48516;0.35694;0.00616;0.58391
2021.12.B_26-12-2022;Московская область;80+;105_165_days;CoviVac;-3.11555;-8.16918;-0.84724;-0.25262;-7.89857;0.82367;-3.27878;-29.44698;0.39869;-2.05313;-20.71077;0.57065
2021.12.B_26-12-2022;Московская область;80+;105_165_days;EpiVacCorona;-1.16084;-2.80987;-0.22556;-0.97304;-3.39915;0.11508;-3.49309;-11.02769;-0.67845;-1.40454;-6.47714;0.22674
2021.12.B_26-12-2022;Московская область;80+;105_165_days;SputnikLite;0.86718;0.05677;0.9813;0.75745;-0.72303;0.96586;NULL;NULL;NULL;NULL;NULL;NULL
2021.12.B_26-12-2022;Московская область;80+;105_165_days;SputnikV;0.17442;-0.00082;0.31897;0.27409;0.04266;0.44957;0.33241;-0.1371;0.60806;0.42156;0.06311;0.64287
2021.12.B_26-12-2022;Московская область;20-29;165_195_days;AllVaccines;0.29694;0.16947;0.40484;0.7486;-0.0117;0.93753;NULL;NULL;NULL;NULL;NULL;NULL
2021.12.B_26-12-2022;Московская область;20-29;165_195_days;CoviVac;-0.39073;-2.09697;0.37547;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.12.B_26-12-2022;Московская область;20-29;165_195_days;EpiVacCorona;0.16146;-0.75975;0.60042;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.12.B_26-12-2022;Московская область;20-29;165_195_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.12.B_26-12-2022;Московская область;20-29;165_195_days;SputnikV;0.31845;0.18843;0.42764;0.73173;-0.07957;0.93334;NULL;NULL;NULL;NULL;NULL;NULL
2021.12.B_26-12-2022;Московская область;30-39;165_195_days;AllVaccines;0.21508;0.13188;0.2903;0.31224;-0.05031;0.54965;-0.96638;-2.74047;-0.03374;NULL;NULL;NULL
2021.12.B_26-12-2022;Московская область;30-39;165_195_days;CoviVac;-0.4579;-1.26053;0.05975;-0.13226;-7.04718;0.84069;-6.122;-49.93852;0.00423;NULL;NULL;NULL
2021.12.B_26-12-2022;Московская область;30-39;165_195_days;EpiVacCorona;-0.18429;-0.7276;0.18816;0.31869;-3.84217;0.90414;NULL;NULL;NULL;NULL;NULL;NULL
2021.12.B_26-12-2022;Московская область;30-39;165_195_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.12.B_26-12-2022;Московская область;30-39;165_195_days;SputnikV;0.25483;0.17048;0.33061;0.3251;-0.05164;0.56688;-0.91032;-2.75339;0.02772;NULL;NULL;NULL
2021.12.B_26-12-2022;Московская область;40-49;165_195_days;AllVaccines;0.17484;0.08956;0.25213;0.0731;-0.24103;0.30772;0.01083;-1.00864;0.51288;NULL;NULL;NULL
2021.12.B_26-12-2022;Московская область;40-49;165_195_days;CoviVac;-0.43949;-1.10003;0.01328;-0.57493;-3.89061;0.49282;NULL;NULL;NULL;NULL;NULL;NULL
2021.12.B_26-12-2022;Московская область;40-49;165_195_days;EpiVacCorona;0.04928;-0.38697;0.34832;-1.08034;-3.64054;0.06739;NULL;NULL;NULL;NULL;NULL;NULL
2021.12.B_26-12-2022;Московская область;40-49;165_195_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
