region,age_group,population
Алтайский край,18+,1811348
Алтайский край,18-59,1240936
Алтайский край,60+,570412
Амурская область,18+,604741
Амурская область,18-59,444961
Амурская область,60+,159780
Архангельская область,18+,859938
Архангельская область,18-59,595439
Архангельская область,60+,264499
Астраханская область,18+,770717
Астраханская область,18-59,550968
Астраханская область,60+,219749
Белгородская область,18+,1251602
Белгородская область,18-59,867731
Белгородская область,60+,383871
Брянская область,18+,958250
Брянская область,18-59,659625
Брянская область,60+,298625
Владимирская область,18+,1093687
Владимирская область,18-59,739166
Владимирская область,60+,354521
Волгоградская область,18+,2002857
Волгоградская область,18-59,1387837
Волгоградская область,60+,615020
Вологодская область,18+,903271
Вологодская область,18-59,628100
Вологодская область,60+,275171
Воронежская область,18+,1895456
Воронежская область,18-59,1293123
Воронежская область,60+,602333
Еврейская автономная область,18+,120176
Еврейская автономная область,18-59,88207
Еврейская автономная область,60+,31969
Забайкальский край,18+,788148
Забайкальский край,18-59,596322
Забайкальский край,60+,191826
Ивановская область,18+,805750
Ивановская область,18-59,549803
Ивановская область,60+,255947
Иркутская область,18+,1797416
Иркутская область,18-59,1316761
Иркутская область,60+,480655
Кабардино-Балкарская Республика,18+,661629
Кабардино-Балкарская Республика,18-59,502388
Кабардино-Балкарская Республика,60+,159241
Калининградская область,18+,817402
Калининградская область,18-59,585700
Калининградская область,60+,231702
Калужская область,18+,812812
Калужская область,18-59,559789
Калужская область,60+,253023
Камчатский край,18+,246281
Камчатский край,18-59,189425
Камчатский край,60+,56856
Карачаево-Черкесская Республика,18+,360266
Карачаево-Черкесская Республика,18-59,266261
Карачаево-Черкесская Республика,60+,94005
Кемеровская область,18+,2064232
Кемеровская область,18-59,1453976
Кемеровская область,60+,610256
Кировская область,18+,998206
Кировская область,18-59,663621
Кировская область,60+,334585
Костромская область,18+,499589
Костромская область,18-59,339046
Костромская область,60+,160543
Краснодарский край,18+,4491240
Краснодарский край,18-59,3157155
Краснодарский край,60+,1334085
Красноярский край,18+,2223199
Красноярский край,18-59,1637377
Красноярский край,60+,585822
Курганская область,18+,642583
Курганская область,18-59,425081
Курганская область,60+,217502
Курская область,18+,890043
Курская область,18-59,604409
Курская область,60+,285634
Ленинградская область,18+,1563085
Ленинградская область,18-59,1100343
Ленинградская область,60+,462742
Липецкая область,18+,912519
Липецкая область,18-59,621641
Липецкая область,60+,290878
Магаданская область,18+,110006
Магаданская область,18-59,83196
Магаданская область,60+,26810
Московская область,18+,6159794
Московская область,18-59,4485323
Московская область,60+,1674471
Мурманская область,18+,580921
Мурманская область,18-59,436555
Мурманская область,60+,144366
Ненецкий автономный округ,18+,32380
Ненецкий автономный округ,18-59,24931
Ненецкий автономный округ,60+,7449
Нижегородская область,18+,2570572
Нижегородская область,18-59,1769909
Нижегородская область,60+,800663
Новгородская область,18+,475584
Новгородская область,18-59,317276
Новгородская область,60+,158308
Новосибирская область,18+,2195929
Новосибирская область,18-59,1571829
Новосибирская область,60+,624100
Омская область,18+,1489337
Омская область,18-59,1058291
Омская область,60+,431046
Оренбургская область,18+,1509585
Оренбургская область,18-59,1068899
Оренбургская область,60+,440686
Орловская область,18+,591786
Орловская область,18-59,398663
Орловская область,60+,193123
Пензенская область,18+,1061125
Пензенская область,18-59,710438
Пензенская область,60+,350687
Пермский край,18+,1997049
Пермский край,18-59,1423011
Пермский край,60+,574038
Приморский край,18+,1502948
Приморский край,18-59,1086430
Приморский край,60+,416518
Псковская область,18+,504544
Псковская область,18-59,337881
Псковская область,60+,166663
РФ,18+,115787674
РФ,18-59,82332898
РФ,60+,33454776
Республика Адыгея,18+,360931
Республика Адыгея,18-59,256368
Республика Адыгея,60+,104563
Республика Алтай,18+,153678
Республика Алтай,18-59,117210
Республика Алтай,60+,36468
Республика Башкортостан,18+,3105836
Республика Башкортостан,18-59,2235962
Республика Башкортостан,60+,869874
Республика Бурятия,18+,719149
Республика Бурятия,18-59,542372
Республика Бурятия,60+,176777
Республика Дагестан,18+,2250730
Республика Дагестан,18-59,1856109
