region,age_group,population
Республика Дагестан,60+,394621
Республика Ингушетия,18+,357060
Республика Ингушетия,18-59,295583
Республика Ингушетия,60+,61477
Республика Калмыкия,18+,205330
Республика Калмыкия,18-59,150440
Республика Калмыкия,60+,54890
Республика Карелия,18+,484400
Республика Карелия,18-59,334874
Республика Карелия,60+,149526
Республика Коми,18+,631580
Республика Коми,18-59,465210
Республика Коми,60+,166370
Республика Крым,18+,1516233
Республика Крым,18-59,1036087
Республика Крым,60+,480146
Республика Марий Эл,18+,527375
Республика Марий Эл,18-59,370626
Республика Марий Эл,60+,156749
Республика Мордовия,18+,647127
Республика Мордовия,18-59,448319
Республика Мордовия,60+,198808
Республика Саха (Якутия),18+,717038
Республика Саха (Якутия),18-59,568643
Республика Саха (Якутия),60+,148395
Республика Северная Осетия - Алания,18+,529673
Республика Северная Осетия - Алания,18-59,385443
Республика Северная Осетия - Алания,60+,144230
Республика Татарстан,18+,3046609
Республика Татарстан,18-59,2180132
Республика Татарстан,60+,866477
Республика Тыва,18+,207150
Республика Тыва,18-59,176122
Республика Тыва,60+,31028
Республика Хакасия,18+,403629
Республика Хакасия,18-59,291439
Республика Хакасия,60+,112190
Ростовская область,18+,3388410
Ростовская область,18-59,2367942
Ростовская область,60+,1020468
Рязанская область,18+,902049
Рязанская область,18-59,600731
Рязанская область,60+,301318
Самарская область,18+,2539637
Самарская область,18-59,1769846
Самарская область,60+,769791
Саратовская область,18+,1948408
Саратовская область,18-59,1348454
Саратовская область,60+,599954
Сахалинская область,18+,378471
Сахалинская область,18-59,276677
Сахалинская область,60+,101794
Свердловская область,18+,3351532
Свердловская область,18-59,2364046
Свердловская область,60+,987486
Смоленская область,18+,759858
Смоленская область,18-59,521379
Смоленская область,60+,238479
Ставропольский край,18+,2206699
Ставропольский край,18-59,1590669
Ставропольский край,60+,616030
Тамбовская область,18+,825721
Тамбовская область,18-59,545785
Тамбовская область,60+,279936
Тверская область,18+,1011753
Тверская область,18-59,681519
Тверская область,60+,330234
Томская область,18+,844095
Томская область,18-59,621613
Томская область,60+,222482
Тульская область,18+,1205895
Тульская область,18-59,804510
Тульская область,60+,401385
Тюменская область,18+,1171998
Тюменская область,18-59,870789
Тюменская область,60+,301209
Удмуртская Республика,18+,1155311
Удмуртская Республика,18-59,818861
Удмуртская Республика,60+,336450
Ульяновская область,18+,992214
Ульяновская область,18-59,672149
Ульяновская область,60+,320065
Хабаровский край,18+,1022347
Хабаровский край,18-59,757169
Хабаровский край,60+,265178
Ханты-Мансийский автономный округ - Югра,18+,1259578
Ханты-Мансийский автономный округ - Югра,18-59,1019471
Ханты-Мансийский автономный округ - Югра,60+,240107
Челябинская область,18+,2697661
Челябинская область,18-59,1901705
Челябинская область,60+,795956
Чеченская Республика,18+,946993
Чеченская Республика,18-59,809759
Чеченская Республика,60+,137234
Чувашская Республика,18+,950269
Чувашская Республика,18-59,674689
Чувашская Республика,60+,275580
Чукотский автономный округ,18+,37105
Чукотский автономный округ,18-59,30806
Чукотский автономный округ,60+,6299
Ямало-Ненецкий автономный округ,18+,402493
Ямало-Ненецкий автономный округ,18-59,346064
Ямало-Ненецкий автономный округ,60+,56429
Ярославская область,18+,1000298
Ярославская область,18-59,682586
Ярославская область,60+,317712
г. Москва,18+,10466817
г. Москва,18-59,7299088
г. Москва,60+,3167729
г. Санкт-Петербург,18+,4421080
г. Санкт-Петербург,18-59,3114778
г. Санкт-Петербург,60+,1306302
г. Севастополь,18+,409451
г. Севастополь,18-59,293051
г. Севастополь,60+,116400
