data_point;region;vac_interval_group;vaccine;ppv_18_59;ppv_60;ppv_total
2021.11_01-07-2022;Алтайский край;90_105_days;SputnikV;0.038064815590812096;0.022418883193200703;0.03313775155298706
2021.11_01-07-2022;Амурская область;105_165_days;AllVaccines;0.14258777735576825;0.09861684816622857;0.13097011778596127
2021.11_01-07-2022;Амурская область;105_165_days;CoviVac;0.0017979103786623996;0.0013143071723619977;0.0016701364716465395
2021.11_01-07-2022;Амурская область;105_165_days;EpiVacCorona;0.0018361159742089756;0.002184253348353987;0.001928098144494916
2021.11_01-07-2022;Амурская область;105_165_days;SputnikLite;0.005960072905265855;8.136187257479033e-05;0.004406845244493097
2021.11_01-07-2022;Амурская область;105_165_days;SputnikV;0.13299367809763102;0.09503692577293779;0.1229650379253267
2021.11_01-07-2022;Амурская область;165_195_days;AllVaccines;0.03392432145738615;0.05439354111903868;0.039332540707509495
2021.11_01-07-2022;Амурская область;165_195_days;EpiVacCorona;0.0005798260971186239;0.0008261359369132557;0.000644904182120941
2021.11_01-07-2022;Амурская область;165_195_days;SputnikV;0.033344495360267526;0.053567405182125424;0.038687636525388557
2021.11_01-07-2022;Амурская область;21_45_days;AllVaccines;0.0368661523144725;0.04367880836149706;0.03866613971931786
2021.11_01-07-2022;Амурская область;21_45_days;CoviVac;0.0004966727421054879;0.0004693954187007135;0.0004894657382251245
2021.11_01-07-2022;Амурская область;21_45_days;EpiVacCorona;0.00017304887394625597;0.00026286143447239955;0.00019677845557023585
2021.11_01-07-2022;Амурская область;21_45_days;SputnikLite;0.023307660671384685;0.033032920265364876;0.025877193707719504
2021.11_01-07-2022;Амурская область;21_45_days;SputnikV;0.012888770027036077;0.009913631242959069;0.012102701817802994
2021.11_01-07-2022;Амурская область;45_75_days;AllVaccines;0.06127728048076123;0.05404931781199149;0.059367563965400064
2021.11_01-07-2022;Амурская область;45_75_days;CoviVac;0.0006315160205051679;0.0005632745024408562;0.0006134857732483824
2021.11_01-07-2022;Амурская область;45_75_days;EpiVacCorona;0.0004359932668256319;0.0005507572912755039;0.00046631533168744967
2021.11_01-07-2022;Амурская область;45_75_days;SputnikLite;0.021145673441043147;0.030717236199774692;0.023674597885706444
2021.11_01-07-2022;Амурская область;45_75_days;SputnikV;0.03906409775238729;0.022218049818500438;0.03461316497475779
2021.11_01-07-2022;Амурская область;75_90_days;AllVaccines;0.060283934996550256;0.023889097509074978;0.05066797190863527
2021.11_01-07-2022;Амурская область;75_90_days;CoviVac;2.2473879733279995e-05;0.0;1.6536004669767718e-05
2021.11_01-07-2022;Амурская область;75_90_days;EpiVacCorona;0.0015731715813295996;0.0010577043434722743;0.0014369788058028147
2021.11_01-07-2022;Амурская область;75_90_days;SputnikLite;0.020666979802724285;0.009588183752659907;0.017739825809726807
2021.11_01-07-2022;Амурская область;75_90_days;SputnikV;0.038021309732763096;0.013243209412942797;0.031474631288435875
2021.11_01-07-2022;Амурская область;90_105_days;AllVaccines;0.08415344266126694;0.02578545500062586;0.06873190340988952
2021.11_01-07-2022;Амурская область;90_105_days;CoviVac;2.9216043653263993e-05;1.2517211165352359e-05;2.4804007004651577e-05
2021.11_01-07-2022;Амурская область;90_105_days;EpiVacCorona;0.0004786936383188639;0.000244085617724371;0.00041670731767814653
2021.11_01-07-2022;Амурская область;90_105_days;SputnikLite;0.024449333761835307;0.00244085617724371;0.018634423662361243
2021.11_01-07-2022;Амурская область;90_105_days;SputnikV;0.05919619921745951;0.023087995994492426;0.04965596842284548
2021.11_01-07-2022;Архангельская область;105_165_days;AllVaccines;0.09398443837236056;0.10025746789212814;0.0959138914665941
2021.11_01-07-2022;Архангельская область;105_165_days;CoviVac;0.0016424856282507528;0.00040075765881912595;0.0012605559935716295
