data_point;region;age_group;vac_interval_group;vaccine;ve_zab;cil_zab;cih_zab;ve_hosp;cil_hosp;cih_hosp;ve_severe;cil_severe;cih_severe;ve_death;cil_death;cih_death
2021.11.B_26-08-2022;Московская область;18+;105_165_days;AllVaccines;0.28312;0.26964;0.29634;0.55788;0.5343;0.58028;0.54237;0.49359;0.58645;0.80985;0.76916;0.84337
2021.11.B_26-08-2022;Московская область;18+;105_165_days;CoviVac;-0.24989;-0.38911;-0.12462;-0.29893;-0.65736;-0.01802;-0.01168;-0.74405;0.41315;0.72624;-0.09537;0.93158
2021.11.B_26-08-2022;Московская область;18+;105_165_days;EpiVacCorona;-0.29436;-0.40514;-0.19232;-0.62451;-0.93079;-0.36682;-0.65661;-1.32226;-0.18177;0.23061;-0.48088;0.60027
2021.11.B_26-08-2022;Московская область;18+;105_165_days;SputnikLite;0.72724;0.47576;0.85809;0.66474;-0.34063;0.91616;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;18+;105_165_days;SputnikV;0.30395;0.29049;0.31716;0.59586;0.57299;0.6175;0.57553;0.52779;0.61844;0.82029;0.77962;0.85346
2021.11.B_26-08-2022;Московская область;20-29;105_165_days;AllVaccines;0.32751;0.28866;0.36424;0.5399;0.37065;0.66363;0.67118;0.16685;0.87022;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;105_165_days;CoviVac;-0.39792;-0.9892;0.0176;-0.095;-6.79783;0.84624;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;105_165_days;EpiVacCorona;-0.09047;-0.5273;0.22142;-0.56205;-5.27399;0.61109;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;105_165_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;20-29;105_165_days;SputnikV;0.3353;0.29625;0.37219;0.55625;0.38759;0.67846;0.65687;0.13059;0.86457;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;105_165_days;AllVaccines;0.3044;0.27858;0.3293;0.37471;0.26758;0.46618;0.48051;0.21587;0.65584;0.67445;-0.07821;0.90171
2021.11.B_26-08-2022;Московская область;30-39;105_165_days;CoviVac;-0.0177;-0.30591;0.2069;-1.91486;-4.43416;-0.56352;-0.74368;-11.45124;0.75581;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;105_165_days;EpiVacCorona;-0.36315;-0.64011;-0.13296;0.36366;-0.97636;0.79511;-0.27777;-8.12428;0.82106;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;105_165_days;SputnikLite;0.78767;0.15096;0.9469;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;30-39;105_165_days;SputnikV;0.3169;0.29105;0.3418;0.40089;0.2951;0.49079;0.50427;0.24183;0.67587;0.65973;-0.12698;0.89726
2021.11.B_26-08-2022;Московская область;40-49;105_165_days;AllVaccines;0.2946;0.26677;0.32137;0.40717;0.32896;0.47626;0.50394;0.34722;0.62303;0.78992;0.51685;0.90865
2021.11.B_26-08-2022;Московская область;40-49;105_165_days;CoviVac;-0.23164;-0.51876;0.0012;-1.08146;-2.40583;-0.27207;0.43498;-3.02173;0.92062;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;40-49;105_165_days;EpiVacCorona;-0.1602;-0.40444;0.04156;-0.31851;-1.27571;0.23607;-0.33119;-3.14649;0.57263;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;40-49;105_165_days;SputnikLite;0.59472;-0.62065;0.89865;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11.B_26-08-2022;Московская область;40-49;105_165_days;SputnikV;0.31025;0.28242;0.33701;0.44434;0.36798;0.51147;0.51619;0.35846;0.63514;0.7779;0.48921;0.90343
2021.11.B_26-08-2022;Московская область;50-59;105_165_days;AllVaccines;0.19553;0.16;0.22955;0.27248;0.19188;0.34504;0.1863;0.00257;0.33618;0.46186;0.19521;0.64016
