data_point,region,age_group,count_zab,count_hosp,count_severe,count_death
2022.09.B_11-11-2022,г. Санкт-Петербург,60-69,12303,929,175,88
2022.09.B_11-11-2022,г. Санкт-Петербург,70-79,7836,1211,272,152
2022.09.B_11-11-2022,г. Санкт-Петербург,80+,4729,1458,448,324
2022.10.B_13-12-2022,Московская область,20-29,1012,63,2,0
2022.10.B_13-12-2022,Московская область,30-39,1704,120,9,2
2022.10.B_13-12-2022,Московская область,40-49,1477,102,6,4
2022.10.B_13-12-2022,Московская область,50-59,1670,143,13,13
2022.10.B_13-12-2022,Московская область,60-69,2029,267,44,22
2022.10.B_13-12-2022,Московская область,70-79,1465,307,30,39
2022.10.B_13-12-2022,Московская область,80+,983,371,74,62
2022.10.B_13-12-2022,РФ,20-29,30280,1938,80,21
2022.10.B_13-12-2022,РФ,30-39,47130,2945,258,108
2022.10.B_13-12-2022,РФ,40-49,47921,2867,392,168
2022.10.B_13-12-2022,РФ,50-59,54108,3794,557,259
2022.10.B_13-12-2022,РФ,60-69,71757,9095,1401,702
2022.10.B_13-12-2022,РФ,70-79,48841,10132,1630,1001
2022.10.B_13-12-2022,РФ,80+,28793,9545,2305,1800
2022.10.B_13-12-2022,г. Санкт-Петербург,20-29,2143,223,13,2
2022.10.B_13-12-2022,г. Санкт-Петербург,30-39,3003,250,30,9
2022.10.B_13-12-2022,г. Санкт-Петербург,40-49,2857,278,35,13
2022.10.B_13-12-2022,г. Санкт-Петербург,50-59,3114,314,50,23
2022.10.B_13-12-2022,г. Санкт-Петербург,60-69,4003,618,138,60
2022.10.B_13-12-2022,г. Санкт-Петербург,70-79,3066,738,174,107
2022.10.B_13-12-2022,г. Санкт-Петербург,80+,2309,916,300,229
2022.11.B_21-12-2022,Московская область,20-29,521,30,0,0
2022.11.B_21-12-2022,Московская область,30-39,825,41,1,0
2022.11.B_21-12-2022,Московская область,40-49,799,71,8,5
2022.11.B_21-12-2022,Московская область,50-59,848,99,10,5
2022.11.B_21-12-2022,Московская область,60-69,1032,205,21,15
2022.11.B_21-12-2022,Московская область,70-79,638,167,20,18
2022.11.B_21-12-2022,Московская область,80+,492,201,30,25
2022.11.B_21-12-2022,РФ,20-29,15939,1297,47,11
2022.11.B_21-12-2022,РФ,30-39,22774,1815,180,63
2022.11.B_21-12-2022,РФ,40-49,23568,2058,305,138
2022.11.B_21-12-2022,РФ,50-59,26048,2765,410,162
2022.11.B_21-12-2022,РФ,60-69,34921,6091,962,407
2022.11.B_21-12-2022,РФ,70-79,24586,6512,1137,568
2022.11.B_21-12-2022,РФ,80+,14452,5605,1435,984
2022.11.B_21-12-2022,г. Санкт-Петербург,20-29,1296,173,6,2
2022.11.B_21-12-2022,г. Санкт-Петербург,30-39,1724,203,21,8
2022.11.B_21-12-2022,г. Санкт-Петербург,40-49,1592,199,27,15
2022.11.B_21-12-2022,г. Санкт-Петербург,50-59,1792,275,48,17
2022.11.B_21-12-2022,г. Санкт-Петербург,60-69,2268,497,114,44
2022.11.B_21-12-2022,г. Санкт-Петербург,70-79,1954,651,162,77
2022.11.B_21-12-2022,г. Санкт-Петербург,80+,1427,709,230,173
