data_point,region,age_group,count_zab,count_hosp,count_severe,count_death
2022.02.B_02-09-2022,Московская область,70-79,14034,2321,803,346
2022.02.B_02-09-2022,Московская область,80+,7269,2173,936,669
2022.02.B_02-09-2022,РФ,18+,4548225,351433,68940,41440
2022.02.B_02-09-2022,РФ,20-29,514793,17540,655,74
2022.02.B_02-09-2022,РФ,30-39,946001,26618,1916,535
2022.02.B_02-09-2022,РФ,40-49,912511,25028,2890,924
2022.02.B_02-09-2022,РФ,50-59,827488,40308,5590,1906
2022.02.B_02-09-2022,РФ,60-69,782078,90878,15710,7213
2022.02.B_02-09-2022,РФ,70-79,366503,81189,17777,10881
2022.02.B_02-09-2022,РФ,80+,198851,69872,24402,19907
2022.02.B_02-09-2022,г. Санкт-Петербург,18+,287886,16616,3521,2335
2022.02.B_02-09-2022,г. Санкт-Петербург,20-29,40744,1215,26,3
2022.02.B_02-09-2022,г. Санкт-Петербург,30-39,66867,1591,106,34
2022.02.B_02-09-2022,г. Санкт-Петербург,40-49,54272,1340,134,57
2022.02.B_02-09-2022,г. Санкт-Петербург,50-59,47392,1809,271,99
2022.02.B_02-09-2022,г. Санкт-Петербург,60-69,44138,3343,648,307
2022.02.B_02-09-2022,г. Санкт-Петербург,70-79,22164,3434,847,561
2022.02.B_02-09-2022,г. Санкт-Петербург,80+,12309,3884,1489,1274
2022.03.B_13-10-2022,Московская область,18+,24281,2297,793,378
2022.03.B_13-10-2022,Московская область,20-29,2518,46,8,0
2022.03.B_13-10-2022,Московская область,30-39,4316,138,19,8
2022.03.B_13-10-2022,Московская область,40-49,3658,147,36,19
2022.03.B_13-10-2022,Московская область,50-59,3813,200,53,18
2022.03.B_13-10-2022,Московская область,60-69,4889,529,187,68
2022.03.B_13-10-2022,Московская область,70-79,3074,605,209,91
2022.03.B_13-10-2022,Московская область,80+,2013,632,281,174
2022.03.B_13-10-2022,РФ,18+,877217,125809,25934,15000
2022.03.B_13-10-2022,РФ,20-29,81002,4488,225,49
2022.03.B_13-10-2022,РФ,30-39,136636,7534,713,289
2022.03.B_13-10-2022,РФ,40-49,137247,7712,1199,517
2022.03.B_13-10-2022,РФ,50-59,148160,12114,1932,763
2022.03.B_13-10-2022,РФ,60-69,188232,31963,5613,2558
2022.03.B_13-10-2022,РФ,70-79,114794,32445,6788,3758
2022.03.B_13-10-2022,РФ,80+,71146,29553,9464,7066
2022.03.B_13-10-2022,г. Санкт-Петербург,18+,34915,5355,1330,738
2022.03.B_13-10-2022,г. Санкт-Петербург,20-29,4476,280,9,2
2022.03.B_13-10-2022,г. Санкт-Петербург,30-39,6105,413,33,9
2022.03.B_13-10-2022,г. Санкт-Петербург,40-49,5094,390,72,29
2022.03.B_13-10-2022,г. Санкт-Петербург,50-59,5153,486,95,29
2022.03.B_13-10-2022,г. Санкт-Петербург,60-69,6133,972,219,97
2022.03.B_13-10-2022,г. Санкт-Петербург,70-79,4553,1237,338,170
2022.03.B_13-10-2022,г. Санкт-Петербург,80+,3401,1577,564,402
2022.04.B_13-10-2022,Московская область,18+,11665,1460,327,211
2022.04.B_13-10-2022,Московская область,20-29,1331,37,3,1
2022.04.B_13-10-2022,Московская область,30-39,1966,103,16,12
2022.04.B_13-10-2022,Московская область,40-49,1750,115,22,7
2022.04.B_13-10-2022,Московская область,50-59,1699,157,34,16
2022.04.B_13-10-2022,Московская область,60-69,2262,322,75,48
2022.04.B_13-10-2022,Московская область,70-79,1577,341,78,42
2022.04.B_13-10-2022,Московская область,80+,1080,385,99,85
2022.04.B_13-10-2022,РФ,18+,268133,55172,11402,6417
2022.04.B_13-10-2022,РФ,20-29,26283,2104,146,25
2022.04.B_13-10-2022,РФ,30-39,37770,3766,483,199
2022.04.B_13-10-2022,РФ,40-49,36345,4129,716,309
2022.04.B_13-10-2022,РФ,50-59,41362,5770,1011,420
2022.04.B_13-10-2022,РФ,60-69,59431,13500,2449,1165
2022.04.B_13-10-2022,РФ,70-79,40725,13711,2855,1587
2022.04.B_13-10-2022,РФ,80+,26217,12192,3742,2712
2022.04.B_13-10-2022,г. Санкт-Петербург,18+,13499,3094,738,462
2022.04.B_13-10-2022,г. Санкт-Петербург,20-29,1661,172,10,2
2022.04.B_13-10-2022,г. Санкт-Петербург,30-39,2094,231,25,9
2022.04.B_13-10-2022,г. Санкт-Петербург,40-49,1759,246,52,22
2022.04.B_13-10-2022,г. Санкт-Петербург,50-59,1844,260,44,27
2022.04.B_13-10-2022,г. Санкт-Петербург,60-69,2466,579,121,54
2022.04.B_13-10-2022,г. Санкт-Петербург,70-79,1996,696,175,105
2022.04.B_13-10-2022,г. Санкт-Петербург,80+,1679,910,311,243
2022.05.B_02-09-2022,Московская область,18+,6505,1024,185,155
2022.05.B_02-09-2022,Московская область,20-29,817,43,5,2
2022.05.B_02-09-2022,Московская область,30-39,1262,88,9,8
2022.05.B_02-09-2022,Московская область,40-49,1002,99,11,10
2022.05.B_02-09-2022,Московская область,50-59,907,123,18,10
2022.05.B_02-09-2022,Московская область,60-69,1119,185,33,23
2022.05.B_02-09-2022,Московская область,70-79,790,219,43,32
2022.05.B_02-09-2022,Московская область,80+,608,267,66,70
2022.05.B_02-09-2022,РФ,18+,136885,36285,8001,4411
2022.05.B_02-09-2022,РФ,20-29,15338,1464,104,19
2022.05.B_02-09-2022,РФ,30-39,21131,2797,410,182
2022.05.B_02-09-2022,РФ,40-49,18739,3193,584,266
2022.05.B_02-09-2022,РФ,50-59,19666,4034,764,327
2022.05.B_02-09-2022,РФ,60-69,27535,8582,1799,841
2022.05.B_02-09-2022,РФ,70-79,20233,8473,1950,1078
2022.05.B_02-09-2022,РФ,80+,14243,7742,2390,1698
2022.05.B_02-09-2022,г. Санкт-Петербург,18+,7117,2155,568,345
2022.05.B_02-09-2022,г. Санкт-Петербург,20-29,839,118,7,2
2022.05.B_02-09-2022,г. Санкт-Петербург,30-39,1123,184,26,15
2022.05.B_02-09-2022,г. Санкт-Петербург,40-49,877,176,38,19
2022.05.B_02-09-2022,г. Санкт-Петербург,50-59,947,215,51,17
2022.05.B_02-09-2022,г. Санкт-Петербург,60-69,1203,364,102,44
2022.05.B_02-09-2022,г. Санкт-Петербург,70-79,1093,471,122,77
2022.05.B_02-09-2022,г. Санкт-Петербург,80+,1035,627,222,171
2022.06.B_02-09-2022,Московская область,18+,8008,1168,160,167
2022.06.B_02-09-2022,Московская область,20-29,1240,50,4,2
2022.06.B_02-09-2022,Московская область,30-39,1691,114,8,8
2022.06.B_02-09-2022,Московская область,40-49,1251,131,12,6
2022.06.B_02-09-2022,Московская область,50-59,1135,128,20,11
2022.06.B_02-09-2022,Московская область,60-69,1242,246,34,33
2022.06.B_02-09-2022,Московская область,70-79,808,236,35,40
2022.06.B_02-09-2022,Московская область,80+,641,263,47,67
2022.06.B_02-09-2022,РФ,18+,104082,26678,5997,3234
2022.06.B_02-09-2022,РФ,20-29,13579,1289,89,17
2022.06.B_02-09-2022,РФ,30-39,17609,2293,321,123
2022.06.B_02-09-2022,РФ,40-49,14687,2526,487,226
2022.06.B_02-09-2022,РФ,50-59,14968,3049,582,258
2022.06.B_02-09-2022,РФ,60-69,19498,6200,1372,617
2022.06.B_02-09-2022,РФ,70-79,13630,5867,1367,733
2022.06.B_02-09-2022,РФ,80+,10111,5454,1779,1260
2022.06.B_02-09-2022,г. Санкт-Петербург,18+,5281,1717,510,279
2022.06.B_02-09-2022,г. Санкт-Петербург,20-29,739,119,10,2
2022.06.B_02-09-2022,г. Санкт-Петербург,30-39,858,129,17,6
2022.06.B_02-09-2022,г. Санкт-Петербург,40-49,629,152,31,10
2022.06.B_02-09-2022,г. Санкт-Петербург,50-59,746,184,42,16
2022.06.B_02-09-2022,г. Санкт-Петербург,60-69,818,296,102,51
2022.06.B_02-09-2022,г. Санкт-Петербург,70-79,705,334,112,55
2022.06.B_02-09-2022,г. Санкт-Петербург,80+,786,503,196,139
2022.08.B_13-10-2022,Московская область,18+,68145,4170,940,341
2022.08.B_13-10-2022,Московская область,20-29,8948,352,38,1
2022.08.B_13-10-2022,Московская область,30-39,15909,455,51,13
2022.08.B_13-10-2022,Московская область,40-49,12271,323,74,16
2022.08.B_13-10-2022,Московская область,50-59,10486,373,104,18
2022.08.B_13-10-2022,Московская область,60-69,10944,732,163,46
2022.08.B_13-10-2022,Московская область,70-79,6138,933,229,87
2022.08.B_13-10-2022,Московская область,80+,3449,1002,281,160
2022.08.B_13-10-2022,РФ,18+,1107743,72896,12078,5322
2022.08.B_13-10-2022,РФ,20-29,143054,6277,225,15
2022.08.B_13-10-2022,РФ,30-39,225841,8060,602,119
2022.08.B_13-10-2022,РФ,40-49,189822,5610,835,236
2022.08.B_13-10-2022,РФ,50-59,182048,7094,1286,310
2022.08.B_13-10-2022,РФ,60-69,197196,15249,2562,945
2022.08.B_13-10-2022,РФ,70-79,111862,16297,2843,1293
2022.08.B_13-10-2022,РФ,80+,57920,14309,3725,2404
2022.08.B_13-10-2022,г. Санкт-Петербург,18+,97572,6131,1129,628
2022.08.B_13-10-2022,г. Санкт-Петербург,20-29,14930,556,30,4
2022.08.B_13-10-2022,г. Санкт-Петербург,30-39,22382,789,52,7
2022.08.B_13-10-2022,г. Санкт-Петербург,40-49,16619,548,59,22
2022.08.B_13-10-2022,г. Санкт-Петербург,50-59,15361,581,75,32
2022.08.B_13-10-2022,г. Санкт-Петербург,60-69,14837,1021,218,95
2022.08.B_13-10-2022,г. Санкт-Петербург,70-79,8647,1211,238,130
2022.08.B_13-10-2022,г. Санкт-Петербург,80+,4796,1425,457,338
2022.08.B_16-09-2022,Московская область,18+,67429,4164,958,330
