data_point,region,age_group,count_zab,count_hosp,count_severe,count_death
2021.11_11-11-2022,Псковская область,18+,8542,1640,291,295
2021.11_11-11-2022,Псковская область,18-59,5547,515,67,50
2021.11_11-11-2022,Псковская область,60+,2995,1125,224,245
2021.11_11-11-2022,РФ,18+,1517780,366929,89032,57748
2021.11_11-11-2022,РФ,18-59,1003818,131982,19822,6954
2021.11_11-11-2022,РФ,60+,513962,234947,69210,50794
2021.11_11-11-2022,Республика Адыгея,18+,5503,1673,333,251
2021.11_11-11-2022,Республика Адыгея,18-59,3486,580,55,26
2021.11_11-11-2022,Республика Адыгея,60+,2017,1093,278,225
2021.11_11-11-2022,Республика Алтай,18+,2863,860,115,69
2021.11_11-11-2022,Республика Алтай,18-59,2010,370,29,15
2021.11_11-11-2022,Республика Алтай,60+,853,490,86,54
2021.11_11-11-2022,Республика Башкортостан,18+,12816,3022,1234,612
2021.11_11-11-2022,Республика Башкортостан,18-59,8271,989,313,62
2021.11_11-11-2022,Республика Башкортостан,60+,4545,2033,921,550
2021.11_11-11-2022,Республика Бурятия,18+,9675,2533,453,277
2021.11_11-11-2022,Республика Бурятия,18-59,6730,992,109,41
2021.11_11-11-2022,Республика Бурятия,60+,2945,1541,344,236
2021.11_11-11-2022,Республика Дагестан,18+,7695,2657,421,254
2021.11_11-11-2022,Республика Дагестан,18-59,5108,1311,117,40
2021.11_11-11-2022,Республика Дагестан,60+,2587,1346,304,214
2021.11_11-11-2022,Республика Ингушетия,18+,1876,522,80,46
2021.11_11-11-2022,Республика Ингушетия,18-59,1375,284,24,10
2021.11_11-11-2022,Республика Ингушетия,60+,501,238,56,36
2021.11_11-11-2022,Республика Калмыкия,18+,1896,694,194,81
2021.11_11-11-2022,Республика Калмыкия,18-59,1271,331,63,11
2021.11_11-11-2022,Республика Калмыкия,60+,625,363,131,70
2021.11_11-11-2022,Республика Карелия,18+,9344,2420,353,353
2021.11_11-11-2022,Республика Карелия,18-59,6356,933,77,41
2021.11_11-11-2022,Республика Карелия,60+,2988,1487,276,312
2021.11_11-11-2022,Республика Коми,18+,10336,3421,629,390
2021.11_11-11-2022,Республика Коми,18-59,7007,1414,133,50
2021.11_11-11-2022,Республика Коми,60+,3329,2007,496,340
2021.11_11-11-2022,Республика Крым,18+,15904,4767,1247,588
2021.11_11-11-2022,Республика Крым,18-59,10421,1780,350,86
2021.11_11-11-2022,Республика Крым,60+,5483,2987,897,502
2021.11_11-11-2022,Республика Марий Эл,18+,3603,1482,407,169
2021.11_11-11-2022,Республика Марий Эл,18-59,1935,447,71,17
2021.11_11-11-2022,Республика Марий Эл,60+,1668,1035,336,152
2021.11_11-11-2022,Республика Мордовия,18+,3900,1624,246,178
2021.11_11-11-2022,Республика Мордовия,18-59,2369,626,60,31
2021.11_11-11-2022,Республика Мордовия,60+,1531,998,186,147
2021.11_11-11-2022,Республика Саха (Якутия),18+,10397,3298,839,256
2021.11_11-11-2022,Республика Саха (Якутия),18-59,7597,1593,270,43
2021.11_11-11-2022,Республика Саха (Якутия),60+,2800,1705,569,213
2021.11_11-11-2022,Республика Северная Осетия - Алания,18+,5130,1142,297,313
2021.11_11-11-2022,Республика Северная Осетия - Алания,18-59,3167,366,57,53
2021.11_11-11-2022,Республика Северная Осетия - Алания,60+,1963,776,240,260
2021.11_11-11-2022,Республика Татарстан,18+,5761,2910,679,550
2021.11_11-11-2022,Республика Татарстан,18-59,3271,1154,94,55
2021.11_11-11-2022,Республика Татарстан,60+,2490,1756,585,495
2021.11_11-11-2022,Республика Тыва,18+,1751,856,227,38
2021.11_11-11-2022,Республика Тыва,18-59,1406,576,107,6
2021.11_11-11-2022,Республика Тыва,60+,345,280,120,32
2021.11_11-11-2022,Республика Хакасия,18+,10346,3047,652,400
2021.11_11-11-2022,Республика Хакасия,18-59,6852,1102,129,44
2021.11_11-11-2022,Республика Хакасия,60+,3494,1945,523,356
2021.11_11-11-2022,Ростовская область,18+,45392,10336,3812,2030
2021.11_11-11-2022,Ростовская область,18-59,28462,3348,987,262
2021.11_11-11-2022,Ростовская область,60+,16930,6988,2825,1768
2021.11_11-11-2022,Рязанская область,18+,14798,2476,883,618
2021.11_11-11-2022,Рязанская область,18-59,9619,800,214,88
2021.11_11-11-2022,Рязанская область,60+,5179,1676,669,530
2021.11_11-11-2022,Самарская область,18+,30703,8074,2010,1414
2021.11_11-11-2022,Самарская область,18-59,19203,2492,368,173
2021.11_11-11-2022,Самарская область,60+,11500,5582,1642,1241
2021.11_11-11-2022,Саратовская область,18+,24190,6248,2214,1133
2021.11_11-11-2022,Саратовская область,18-59,15269,2130,558,161
2021.11_11-11-2022,Саратовская область,60+,8921,4118,1656,972
2021.11_11-11-2022,Сахалинская область,18+,2599,927,164,106
2021.11_11-11-2022,Сахалинская область,18-59,1710,325,26,9
2021.11_11-11-2022,Сахалинская область,60+,889,602,138,97
2021.11_11-11-2022,Свердловская область,18+,69177,16004,1948,2411
2021.11_11-11-2022,Свердловская область,18-59,45614,5541,337,266
2021.11_11-11-2022,Свердловская область,60+,23563,10463,1611,2145
2021.11_11-11-2022,Смоленская область,18+,13583,2538,521,495
2021.11_11-11-2022,Смоленская область,18-59,8708,820,114,69
2021.11_11-11-2022,Смоленская область,60+,4875,1718,407,426
2021.11_11-11-2022,Ставропольский край,18+,26014,6787,1381,1006
2021.11_11-11-2022,Ставропольский край,18-59,16525,2460,300,137
2021.11_11-11-2022,Ставропольский край,60+,9489,4327,1081,869
2021.11_11-11-2022,Тамбовская область,18+,16840,2817,587,456
2021.11_11-11-2022,Тамбовская область,18-59,10506,899,130,64
2021.11_11-11-2022,Тамбовская область,60+,6334,1918,457,392
2021.11_11-11-2022,Тверская область,18+,17377,4296,690,619
2021.11_11-11-2022,Тверская область,18-59,11648,1486,132,72
2021.11_11-11-2022,Тверская область,60+,5729,2810,558,547
2021.11_11-11-2022,Томская область,18+,20483,5120,852,674
2021.11_11-11-2022,Томская область,18-59,13806,1804,162,67
2021.11_11-11-2022,Томская область,60+,6677,3316,690,607
2021.11_11-11-2022,Тульская область,18+,19745,3715,1319,917
2021.11_11-11-2022,Тульская область,18-59,12838,1100,228,90
2021.11_11-11-2022,Тульская область,60+,6907,2615,1091,827
2021.11_11-11-2022,Тюменская область,18+,24358,6068,1131,659
2021.11_11-11-2022,Тюменская область,18-59,16863,2264,234,75
2021.11_11-11-2022,Тюменская область,60+,7495,3804,897,584
2021.11_11-11-2022,Удмуртская Республика,18+,11724,3084,560,276
2021.11_11-11-2022,Удмуртская Республика,18-59,7680,1056,101,31
2021.11_11-11-2022,Удмуртская Республика,60+,4044,2028,459,245
2021.11_11-11-2022,Ульяновская область,18+,14820,3493,636,600
2021.11_11-11-2022,Ульяновская область,18-59,9056,1126,127,71
2021.11_11-11-2022,Ульяновская область,60+,5764,2367,509,529
2021.11_11-11-2022,Хабаровский край,18+,21424,4875,660,677
2021.11_11-11-2022,Хабаровский край,18-59,14727,1678,127,98
2021.11_11-11-2022,Хабаровский край,60+,6697,3197,533,579
2021.11_11-11-2022,Ханты-Мансийский автономный округ - Югра,18+,18814,4213,708,480
2021.11_11-11-2022,Ханты-Мансийский автономный округ - Югра,18-59,14082,1785,190,80
2021.11_11-11-2022,Ханты-Мансийский автономный округ - Югра,60+,4732,2428,518,400
2021.11_11-11-2022,Челябинская область,18+,25585,8126,1606,1133
2021.11_11-11-2022,Челябинская область,18-59,16210,2588,299,118
2021.11_11-11-2022,Челябинская область,60+,9375,5538,1307,1015
2021.11_11-11-2022,Чеченская Республика,18+,2429,952,246,126
2021.11_11-11-2022,Чеченская Республика,18-59,1614,503,84,27
2021.11_11-11-2022,Чеченская Республика,60+,815,449,162,99
2021.11_11-11-2022,Чувашская Республика,18+,5289,2387,514,252
2021.11_11-11-2022,Чувашская Республика,18-59,3194,909,117,32
2021.11_11-11-2022,Чувашская Республика,60+,2095,1478,397,220
2021.11_11-11-2022,Чукотский автономный округ,18+,303,51,11,6
2021.11_11-11-2022,Чукотский автономный округ,18-59,262,26,6,4
2021.11_11-11-2022,Чукотский автономный округ,60+,41,25,5,2
2021.11_11-11-2022,Ямало-Ненецкий автономный округ,18+,5893,1225,231,80
2021.11_11-11-2022,Ямало-Ненецкий автономный округ,18-59,5019,770,101,18
2021.11_11-11-2022,Ямало-Ненецкий автономный округ,60+,874,455,130,62
2021.11_11-11-2022,Ярославская область,18+,18312,4149,1060,669
2021.11_11-11-2022,Ярославская область,18-59,12133,1319,195,73
2021.11_11-11-2022,Ярославская область,60+,6179,2830,865,596
2021.11_11-11-2022,г. Москва,18+,108517,16649,8193,4754
2021.11_11-11-2022,г. Москва,18-59,72675,7970,1883,537
2021.11_11-11-2022,г. Москва,60+,35842,8679,6310,4217
2021.11_11-11-2022,г. Санкт-Петербург,18+,70690,13283,3459,2277
2021.11_11-11-2022,г. Санкт-Петербург,18-59,50374,5194,729,235
2021.11_11-11-2022,г. Санкт-Петербург,60+,20316,8089,2730,2042
2021.11_11-11-2022,г. Севастополь,18+,6893,1617,286,236
2021.11_11-11-2022,г. Севастополь,18-59,4678,677,63,24
2021.11_11-11-2022,г. Севастополь,60+,2215,940,223,212
2021.12_13-10-2022,Алтайский край,18+,20165,5804,1843,945
2021.12_13-10-2022,Алтайский край,18-59,12688,1892,379,104
2021.12_13-10-2022,Алтайский край,60+,7477,3912,1464,841
2021.12_13-10-2022,Амурская область,18+,8186,2455,694,343
2021.12_13-10-2022,Амурская область,18-59,5475,937,144,26
2021.12_13-10-2022,Амурская область,60+,2711,1518,550,317
2021.12_13-10-2022,Архангельская область,18+,8072,2174,525,395
2021.12_13-10-2022,Архангельская область,18-59,5086,715,98,47
2021.12_13-10-2022,Архангельская область,60+,2986,1459,427,348
2021.12_13-10-2022,Астраханская область,18+,5047,1500,356,191
2021.12_13-10-2022,Астраханская область,18-59,3267,561,88,25
2021.12_13-10-2022,Астраханская область,60+,1780,939,268,166
2021.12_13-10-2022,Белгородская область,18+,6497,1395,296,237
2021.12_13-10-2022,Белгородская область,18-59,4013,464,57,25
2021.12_13-10-2022,Белгородская область,60+,2484,931,239,212
2021.12_13-10-2022,Брянская область,18+,7024,1861,416,344
2021.12_13-10-2022,Брянская область,18-59,4509,601,77,37
2021.12_13-10-2022,Брянская область,60+,2515,1260,339,307
2021.12_13-10-2022,Владимирская область,18+,9566,2261,638,401
2021.12_13-10-2022,Владимирская область,18-59,5896,678,123,41
2021.12_13-10-2022,Владимирская область,60+,3670,1583,515,360
2021.12_13-10-2022,Волгоградская область,18+,9006,3486,1132,427
2021.12_13-10-2022,Волгоградская область,18-59,5491,1210,266,45
2021.12_13-10-2022,Волгоградская область,60+,3515,2276,866,382
2021.12_13-10-2022,Вологодская область,18+,7331,1798,507,305
2021.12_13-10-2022,Вологодская область,18-59,4655,587,96,36
2021.12_13-10-2022,Вологодская область,60+,2676,1211,411,269
2021.12_13-10-2022,Воронежская область,18+,10572,3389,755,471
2021.12_13-10-2022,Воронежская область,18-59,6565,1163,148,44
2021.12_13-10-2022,Воронежская область,60+,4007,2226,607,427
2021.12_13-10-2022,Еврейская автономная область,18+,1009,306,53,59
2021.12_13-10-2022,Еврейская автономная область,18-59,605,101,8,9
2021.12_13-10-2022,Еврейская автономная область,60+,404,205,45,50
2021.12_13-10-2022,Забайкальский край,18+,7321,2501,453,209
2021.12_13-10-2022,Забайкальский край,18-59,5046,1057,102,26
2021.12_13-10-2022,Забайкальский край,60+,2275,1444,351,183
2021.12_13-10-2022,Ивановская область,18+,5732,1582,325,315
2021.12_13-10-2022,Ивановская область,18-59,3526,473,49,33
2021.12_13-10-2022,Ивановская область,60+,2206,1109,276,282
2021.12_13-10-2022,Иркутская область,18+,23161,6086,1085,825
2021.12_13-10-2022,Иркутская область,18-59,15844,2078,233,90
2021.12_13-10-2022,Иркутская область,60+,7317,4008,852,735
2021.12_13-10-2022,Кабардино-Балкарская Республика,18+,4587,1549,665,183
2021.12_13-10-2022,Кабардино-Балкарская Республика,18-59,2858,619,189,24
2021.12_13-10-2022,Кабардино-Балкарская Республика,60+,1729,930,476,159
2021.12_13-10-2022,Калининградская область,18+,5552,1932,398,285
2021.12_13-10-2022,Калининградская область,18-59,3623,757,61,28
2021.12_13-10-2022,Калининградская область,60+,1929,1175,337,257
2021.12_13-10-2022,Калужская область,18+,6618,1780,411,313
2021.12_13-10-2022,Калужская область,18-59,4007,541,77,34
2021.12_13-10-2022,Калужская область,60+,2611,1239,334,279
2021.12_13-10-2022,Камчатский край,18+,1234,280,39,26
2021.12_13-10-2022,Камчатский край,18-59,872,114,11,5
2021.12_13-10-2022,Камчатский край,60+,362,166,28,21
2021.12_13-10-2022,Карачаево-Черкесская Республика,18+,3882,937,195,107
2021.12_13-10-2022,Карачаево-Черкесская Республика,18-59,2588,378,40,7
2021.12_13-10-2022,Карачаево-Черкесская Республика,60+,1294,559,155,100
2021.12_13-10-2022,Кемеровская область,18+,14411,4593,963,758
2021.12_13-10-2022,Кемеровская область,18-59,8327,1340,160,99
2021.12_13-10-2022,Кемеровская область,60+,6084,3253,803,659
2021.12_13-10-2022,Кировская область,18+,7758,3356,443,316
2021.12_13-10-2022,Кировская область,18-59,4912,1338,88,37
2021.12_13-10-2022,Кировская область,60+,2846,2018,355,279
2021.12_13-10-2022,Костромская область,18+,1800,600,103,77
2021.12_13-10-2022,Костромская область,18-59,1084,212,24,12
2021.12_13-10-2022,Костромская область,60+,716,388,79,65
2021.12_13-10-2022,Краснодарский край,18+,25100,7899,2354,1479
2021.12_13-10-2022,Краснодарский край,18-59,16269,2788,522,180
2021.12_13-10-2022,Краснодарский край,60+,8831,5111,1832,1299
2021.12_13-10-2022,Красноярский край,18+,24091,6233,1840,1119
2021.12_13-10-2022,Красноярский край,18-59,15736,1936,365,124
2021.12_13-10-2022,Красноярский край,60+,8355,4297,1475,995
2021.12_13-10-2022,Курганская область,18+,2586,957,356,126
2021.12_13-10-2022,Курганская область,18-59,1534,274,54,7
2021.12_13-10-2022,Курганская область,60+,1052,683,302,119
2021.12_13-10-2022,Курская область,18+,4739,1870,498,355
2021.12_13-10-2022,Курская область,18-59,2886,680,119,50
2021.12_13-10-2022,Курская область,60+,1853,1190,379,305
2021.12_13-10-2022,Ленинградская область,18+,17256,3365,778,622
2021.12_13-10-2022,Ленинградская область,18-59,11720,1065,158,57
2021.12_13-10-2022,Ленинградская область,60+,5536,2300,620,565
2021.12_13-10-2022,Липецкая область,18+,2385,928,254,192
2021.12_13-10-2022,Липецкая область,18-59,1327,295,43,18
2021.12_13-10-2022,Липецкая область,60+,1058,633,211,174
2021.12_13-10-2022,Магаданская область,18+,960,205,36,21
2021.12_13-10-2022,Магаданская область,18-59,700,80,6,1
2021.12_13-10-2022,Магаданская область,60+,260,125,30,20
2021.12_13-10-2022,Московская область,18+,57936,10313,2333,1501
2021.12_13-10-2022,Московская область,18-59,40414,4008,735,167
2021.12_13-10-2022,Московская область,60+,17522,6305,1598,1334
2021.12_13-10-2022,Мурманская область,18+,5115,1451,340,233
2021.12_13-10-2022,Мурманская область,18-59,3447,553,61,28
2021.12_13-10-2022,Мурманская область,60+,1668,898,279,205
2021.12_13-10-2022,Ненецкий автономный округ,18+,319,67,20,4
2021.12_13-10-2022,Ненецкий автономный округ,18-59,258,38,9,0
2021.12_13-10-2022,Ненецкий автономный округ,60+,61,29,11,4
2021.12_13-10-2022,Нижегородская область,18+,18648,5365,1161,770
2021.12_13-10-2022,Нижегородская область,18-59,11915,1805,260,89
2021.12_13-10-2022,Нижегородская область,60+,6733,3560,901,681
2021.12_13-10-2022,Новгородская область,18+,4578,1450,230,212
2021.12_13-10-2022,Новгородская область,18-59,2873,524,39,21
2021.12_13-10-2022,Новгородская область,60+,1705,926,191,191
2021.12_13-10-2022,Новосибирская область,18+,26388,6281,1552,1057
2021.12_13-10-2022,Новосибирская область,18-59,17446,2094,307,133
2021.12_13-10-2022,Новосибирская область,60+,8942,4187,1245,924
2021.12_13-10-2022,Омская область,18+,10460,3467,958,655
2021.12_13-10-2022,Омская область,18-59,6100,1076,172,73
2021.12_13-10-2022,Омская область,60+,4360,2391,786,582
2021.12_13-10-2022,Оренбургская область,18+,3019,1301,351,189
2021.12_13-10-2022,Оренбургская область,18-59,1703,434,75,18
2021.12_13-10-2022,Оренбургская область,60+,1316,867,276,171
2021.12_13-10-2022,Орловская область,18+,6052,2069,839,412
2021.12_13-10-2022,Орловская область,18-59,3580,650,167,40
2021.12_13-10-2022,Орловская область,60+,2472,1419,672,372
2021.12_13-10-2022,Пензенская область,18+,5870,1943,378,298
2021.12_13-10-2022,Пензенская область,18-59,3512,568,62,31
2021.12_13-10-2022,Пензенская область,60+,2358,1375,316,267
2021.12_13-10-2022,Пермский край,18+,11493,3339,716,522
2021.12_13-10-2022,Пермский край,18-59,7386,1039,115,56
2021.12_13-10-2022,Пермский край,60+,4107,2300,601,466
2021.12_13-10-2022,Приморский край,18+,16166,5148,1503,717
2021.12_13-10-2022,Приморский край,18-59,9832,1647,321,70
2021.12_13-10-2022,Приморский край,60+,6334,3501,1182,647
2021.12_13-10-2022,Псковская область,18+,5480,1339,253,241
2021.12_13-10-2022,Псковская область,18-59,3531,430,45,27
2021.12_13-10-2022,Псковская область,60+,1949,909,208,214
2021.12_13-10-2022,РФ,18+,830770,217657,57009,35867
2021.12_13-10-2022,РФ,18-59,539630,75608,12045,4032
2021.12_13-10-2022,РФ,60+,291140,142049,44964,31835
2021.12_13-10-2022,Республика Адыгея,18+,4305,1425,271,209
2021.12_13-10-2022,Республика Адыгея,18-59,2734,538,41,26
2021.12_13-10-2022,Республика Адыгея,60+,1571,887,230,183
2021.12_13-10-2022,Республика Алтай,18+,1129,370,54,19
2021.12_13-10-2022,Республика Алтай,18-59,780,161,13,4
2021.12_13-10-2022,Республика Алтай,60+,349,209,41,15
2021.12_13-10-2022,Республика Башкортостан,18+,4871,967,501,205
2021.12_13-10-2022,Республика Башкортостан,18-59,3291,320,121,21
2021.12_13-10-2022,Республика Башкортостан,60+,1580,647,380,184
2021.12_13-10-2022,Республика Бурятия,18+,7900,2175,436,260
2021.12_13-10-2022,Республика Бурятия,18-59,5256,798,73,30
2021.12_13-10-2022,Республика Бурятия,60+,2644,1377,363,230
2021.12_13-10-2022,Республика Дагестан,18+,6055,2092,337,165
2021.12_13-10-2022,Республика Дагестан,18-59,3954,1023,103,30
2021.12_13-10-2022,Республика Дагестан,60+,2101,1069,234,135
2021.12_13-10-2022,Республика Ингушетия,18+,1741,456,84,44
2021.12_13-10-2022,Республика Ингушетия,18-59,1252,220,21,7
2021.12_13-10-2022,Республика Ингушетия,60+,489,236,63,37
2021.12_13-10-2022,Республика Калмыкия,18+,714,296,83,28
2021.12_13-10-2022,Республика Калмыкия,18-59,473,132,26,6
2021.12_13-10-2022,Республика Калмыкия,60+,241,164,57,22
2021.12_13-10-2022,Республика Карелия,18+,7070,1976,318,292
2021.12_13-10-2022,Республика Карелия,18-59,4861,753,59,36
2021.12_13-10-2022,Республика Карелия,60+,2209,1223,259,256
2021.12_13-10-2022,Республика Коми,18+,5609,1945,379,239
2021.12_13-10-2022,Республика Коми,18-59,3681,773,75,38
2021.12_13-10-2022,Республика Коми,60+,1928,1172,304,201
2021.12_13-10-2022,Республика Крым,18+,5311,2156,610,269
2021.12_13-10-2022,Республика Крым,18-59,3162,773,143,35
2021.12_13-10-2022,Республика Крым,60+,2149,1383,467,234
2021.12_13-10-2022,Республика Марий Эл,18+,2120,803,208,68
2021.12_13-10-2022,Республика Марий Эл,18-59,1235,261,36,9
2021.12_13-10-2022,Республика Марий Эл,60+,885,542,172,59
