data_point,region,age_group,count_zab,count_hosp,count_severe,count_death
2021.11_11-11-2022,Алтайский край,18+,40058,9352,2924,1504
2021.11_11-11-2022,Алтайский край,18-59,26177,3029,631,149
2021.11_11-11-2022,Алтайский край,60+,13881,6323,2293,1355
2021.11_11-11-2022,Амурская область,18+,15903,3849,1165,535
2021.11_11-11-2022,Амурская область,18-59,11112,1482,287,59
2021.11_11-11-2022,Амурская область,60+,4791,2367,878,476
2021.11_11-11-2022,Архангельская область,18+,12518,3105,687,528
2021.11_11-11-2022,Архангельская область,18-59,8082,1034,105,38
2021.11_11-11-2022,Архангельская область,60+,4436,2071,582,490
2021.11_11-11-2022,Астраханская область,18+,8959,2543,588,381
2021.11_11-11-2022,Астраханская область,18-59,5829,970,140,52
2021.11_11-11-2022,Астраханская область,60+,3130,1573,448,329
2021.11_11-11-2022,Белгородская область,18+,13143,3111,863,616
2021.11_11-11-2022,Белгородская область,18-59,8458,1099,202,86
2021.11_11-11-2022,Белгородская область,60+,4685,2012,661,530
2021.11_11-11-2022,Брянская область,18+,12219,2699,633,549
2021.11_11-11-2022,Брянская область,18-59,8059,924,129,86
2021.11_11-11-2022,Брянская область,60+,4160,1775,504,463
2021.11_11-11-2022,Владимирская область,18+,20385,3872,1098,671
2021.11_11-11-2022,Владимирская область,18-59,12973,1175,230,64
2021.11_11-11-2022,Владимирская область,60+,7412,2697,868,607
2021.11_11-11-2022,Волгоградская область,18+,21365,7134,1884,773
2021.11_11-11-2022,Волгоградская область,18-59,13349,2567,445,68
2021.11_11-11-2022,Волгоградская область,60+,8016,4567,1439,705
2021.11_11-11-2022,Вологодская область,18+,18356,3380,880,588
2021.11_11-11-2022,Вологодская область,18-59,12287,1085,154,68
2021.11_11-11-2022,Вологодская область,60+,6069,2295,726,520
2021.11_11-11-2022,Воронежская область,18+,29520,8064,1857,1050
2021.11_11-11-2022,Воронежская область,18-59,19048,2867,454,137
2021.11_11-11-2022,Воронежская область,60+,10472,5197,1403,913
2021.11_11-11-2022,Еврейская автономная область,18+,1620,543,100,89
2021.11_11-11-2022,Еврейская автономная область,18-59,1050,195,17,10
2021.11_11-11-2022,Еврейская автономная область,60+,570,348,83,79
2021.11_11-11-2022,Забайкальский край,18+,16867,4937,819,475
2021.11_11-11-2022,Забайкальский край,18-59,11568,2015,186,72
2021.11_11-11-2022,Забайкальский край,60+,5299,2922,633,403
2021.11_11-11-2022,Ивановская область,18+,12721,3325,696,587
2021.11_11-11-2022,Ивановская область,18-59,7959,1028,116,40
2021.11_11-11-2022,Ивановская область,60+,4762,2297,580,547
2021.11_11-11-2022,Иркутская область,18+,48061,10731,1976,1465
2021.11_11-11-2022,Иркутская область,18-59,33708,3850,462,176
2021.11_11-11-2022,Иркутская область,60+,14353,6881,1514,1289
2021.11_11-11-2022,Кабардино-Балкарская Республика,18+,6675,2101,718,248
2021.11_11-11-2022,Кабардино-Балкарская Республика,18-59,4273,791,189,34
2021.11_11-11-2022,Кабардино-Балкарская Республика,60+,2402,1310,529,214
2021.11_11-11-2022,Калининградская область,18+,9529,2729,523,364
2021.11_11-11-2022,Калининградская область,18-59,6302,1026,106,50
2021.11_11-11-2022,Калининградская область,60+,3227,1703,417,314
2021.11_11-11-2022,Калужская область,18+,12887,3146,788,550
2021.11_11-11-2022,Калужская область,18-59,8035,986,146,54
2021.11_11-11-2022,Калужская область,60+,4852,2160,642,496
2021.11_11-11-2022,Камчатский край,18+,1386,336,37,32
2021.11_11-11-2022,Камчатский край,18-59,977,153,12,5
2021.11_11-11-2022,Камчатский край,60+,409,183,25,27
2021.11_11-11-2022,Карачаево-Черкесская Республика,18+,5498,1494,259,137
2021.11_11-11-2022,Карачаево-Черкесская Республика,18-59,3719,619,67,23
2021.11_11-11-2022,Карачаево-Черкесская Республика,60+,1779,875,192,114
2021.11_11-11-2022,Кемеровская область,18+,22686,6722,1406,1138
2021.11_11-11-2022,Кемеровская область,18-59,13738,2021,258,135
2021.11_11-11-2022,Кемеровская область,60+,8948,4701,1148,1003
2021.11_11-11-2022,Кировская область,18+,19053,7205,610,458
2021.11_11-11-2022,Кировская область,18-59,12736,3074,131,74
2021.11_11-11-2022,Кировская область,60+,6317,4131,479,384
2021.11_11-11-2022,Костромская область,18+,4294,1539,279,270
2021.11_11-11-2022,Костромская область,18-59,2003,386,36,23
2021.11_11-11-2022,Костромская область,60+,2291,1153,243,247
2021.11_11-11-2022,Краснодарский край,18+,36660,9689,2944,2136
2021.11_11-11-2022,Краснодарский край,18-59,24521,3533,690,327
2021.11_11-11-2022,Краснодарский край,60+,12139,6156,2254,1809
2021.11_11-11-2022,Красноярский край,18+,40930,9636,2661,1683
2021.11_11-11-2022,Красноярский край,18-59,27405,3188,551,185
2021.11_11-11-2022,Красноярский край,60+,13525,6448,2110,1498
2021.11_11-11-2022,Курганская область,18+,9989,3190,860,396
2021.11_11-11-2022,Курганская область,18-59,5985,1007,175,36
2021.11_11-11-2022,Курганская область,60+,4004,2183,685,360
2021.11_11-11-2022,Курская область,18+,8857,3142,848,612
2021.11_11-11-2022,Курская область,18-59,5232,1024,194,70
2021.11_11-11-2022,Курская область,60+,3625,2118,654,542
2021.11_11-11-2022,Ленинградская область,18+,22085,3721,726,600
2021.11_11-11-2022,Ленинградская область,18-59,15428,1211,153,64
2021.11_11-11-2022,Ленинградская область,60+,6657,2510,573,536
2021.11_11-11-2022,Липецкая область,18+,4878,1712,453,391
2021.11_11-11-2022,Липецкая область,18-59,2869,546,72,44
2021.11_11-11-2022,Липецкая область,60+,2009,1166,381,347
2021.11_11-11-2022,Магаданская область,18+,1553,340,67,48
2021.11_11-11-2022,Магаданская область,18-59,1102,130,12,7
2021.11_11-11-2022,Магаданская область,60+,451,210,55,41
2021.11_11-11-2022,Московская область,18+,76902,13755,3517,1997
2021.11_11-11-2022,Московская область,18-59,53857,5240,1144,298
2021.11_11-11-2022,Московская область,60+,23045,8515,2373,1699
2021.11_11-11-2022,Мурманская область,18+,6987,1902,389,263
2021.11_11-11-2022,Мурманская область,18-59,4745,744,85,33
2021.11_11-11-2022,Мурманская область,60+,2242,1158,304,230
2021.11_11-11-2022,Ненецкий автономный округ,18+,482,74,27,11
2021.11_11-11-2022,Ненецкий автономный округ,18-59,404,40,10,3
2021.11_11-11-2022,Ненецкий автономный округ,60+,78,34,17,8
2021.11_11-11-2022,Нижегородская область,18+,44354,10998,1941,1408
2021.11_11-11-2022,Нижегородская область,18-59,29015,3802,434,148
2021.11_11-11-2022,Нижегородская область,60+,15339,7196,1507,1260
2021.11_11-11-2022,Новгородская область,18+,7664,2272,335,332
2021.11_11-11-2022,Новгородская область,18-59,4994,918,63,47
2021.11_11-11-2022,Новгородская область,60+,2670,1354,272,285
2021.11_11-11-2022,Новосибирская область,18+,35802,7820,1892,1232
2021.11_11-11-2022,Новосибирская область,18-59,24277,2573,372,141
2021.11_11-11-2022,Новосибирская область,60+,11525,5247,1520,1091
2021.11_11-11-2022,Омская область,18+,19676,5556,1546,1084
2021.11_11-11-2022,Омская область,18-59,11923,1615,273,110
2021.11_11-11-2022,Омская область,60+,7753,3941,1273,974
2021.11_11-11-2022,Оренбургская область,18+,9121,3785,990,594
2021.11_11-11-2022,Оренбургская область,18-59,5261,1194,235,72
2021.11_11-11-2022,Оренбургская область,60+,3860,2591,755,522
2021.11_11-11-2022,Орловская область,18+,11429,2791,1090,550
2021.11_11-11-2022,Орловская область,18-59,7199,866,213,62
2021.11_11-11-2022,Орловская область,60+,4230,1925,877,488
2021.11_11-11-2022,Пензенская область,18+,17698,4698,889,645
2021.11_11-11-2022,Пензенская область,18-59,11106,1405,153,62
2021.11_11-11-2022,Пензенская область,60+,6592,3293,736,583
2021.11_11-11-2022,Пермский край,18+,26021,6599,1213,882
2021.11_11-11-2022,Пермский край,18-59,17512,2284,217,99
2021.11_11-11-2022,Пермский край,60+,8509,4315,996,783
2021.11_11-11-2022,Приморский край,18+,19699,5254,1475,652
2021.11_11-11-2022,Приморский край,18-59,12887,1853,336,81
2021.11_11-11-2022,Приморский край,60+,6812,3401,1139,571
