region;zab_ve_18_59;zab_ve_18_59_R;zab_cil_18_59_R;zab_cih_18_59_R;zab_ve_60;zab_ve_60_R;zab_cil_60_R;zab_cih_60_R;zab_ve_total;zab_ve_total_R;zab_cil_total_R;zab_cih_total_R;st_ve_18_59;st_ve_18_59_R;st_cil_18_59_R;st_cih_18_59_R;st_ve_60;st_ve_60_R;st_cil_60_R;st_cih_60_R;st_ve_total;st_ve_total_R;st_cil_total_R;st_cih_total_R;tyazh_ve_18_59;tyazh_ve_18_59_R;tyazh_cil_18_59_R;tyazh_cih_18_59_R;tyazh_ve_60;tyazh_ve_60_R;tyazh_cil_60_R;tyazh_cih_60_R;tyazh_ve_total;tyazh_ve_total_R;tyazh_cil_total_R;tyazh_cih_total_R;sm_ve_18_59;sm_ve_18_59_R;sm_cil_18_59_R;sm_cih_18_59_R;sm_ve_60;sm_ve_60_R;sm_cil_60_R;sm_cih_60_R;sm_ve_total;sm_ve_total_R;sm_cil_total_R;sm_cih_total_R
Алтайский край;-0.175543;-0.17554;-0.36589;-0.00617;0.009685;0.00969;-0.15813;0.15781;-0.140993;-0.14099;-0.27211;-0.02057;0.292446;0.29245;-0.09209;0.56730;0.419234;0.41923;0.22456;0.57509;0.291840;0.29184;0.09669;0.45399;0.460955;NULL;NULL;NULL;0.532703;0.53270;0.18961;0.75542;0.426892;0.42689;0.06020;0.67667;0.024586;NULL;NULL;NULL;0.586248;0.58625;0.06467;0.85572;0.400147;0.40015;-0.21447;0.74930
Амурская область;0.277166;0.27717;0.08395;0.43801;0.210842;0.21084;-0.06248;0.42654;0.244790;0.24479;0.08972;0.37896;0.391678;0.39168;-0.19258;0.73086;0.436010;0.43601;0.06590;0.68402;0.391739;0.39174;0.08194;0.61619;0.619798;NULL;NULL;NULL;0.894538;NULL;NULL;NULL;0.823693;NULL;NULL;NULL;0.176230;NULL;NULL;NULL;0.667390;NULL;NULL;NULL;0.498916;NULL;NULL;NULL
Архангельская область;0.010398;0.01040;-0.22794;0.21280;0.238702;0.23870;0.05588;0.39321;0.056766;0.05677;-0.09948;0.19580;0.476217;0.47622;0.03249;0.75226;0.519435;0.51943;0.32641;0.66854;0.372044;0.37204;0.15273;0.54704;0.707002;NULL;NULL;NULL;0.557519;0.55752;0.10527;0.81494;0.458654;0.45865;-0.04205;0.75777;1.000000;NULL;NULL;NULL;0.739929;NULL;NULL;NULL;0.674548;NULL;NULL;NULL
Астраханская область;-0.502632;-0.50263;-0.82579;-0.22657;0.123007;0.12301;-0.13041;0.33120;-0.214916;-0.21492;-0.41862;-0.03462;0.186218;0.18622;-0.45637;0.58969;0.333286;0.33329;-0.05353;0.60415;0.270548;0.27055;-0.05200;0.51365;1.000000;NULL;NULL;NULL;0.339292;NULL;NULL;NULL;0.436561;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;0.708974;NULL;NULL;NULL;0.746452;NULL;NULL;NULL
Белгородская область;-0.097195;-0.09720;-0.34504;0.11190;0.175925;0.17592;-0.00033;0.32631;0.028838;0.02884;-0.11830;0.15987;0.426589;0.42659;-0.01227;0.70343;0.224575;0.22458;-0.09250;0.46353;0.246273;0.24627;-0.01343;0.45062;0.567131;NULL;NULL;NULL;0.639624;0.63962;0.22696;0.86142;0.598586;0.59859;0.21592;0.82200;1.000000;NULL;NULL;NULL;0.307973;0.30797;-0.67872;0.76759;0.414605;0.41460;-0.38131;0.80052
Брянская область;-0.318708;-0.31871;-0.85572;0.09153;-0.108068;-0.10807;-0.45154;0.16783;-0.357273;-0.35727;-0.68001;-0.08476;1.000000;NULL;NULL;NULL;0.451012;0.45101;0.02265;0.72224;0.370330;0.37033;-0.11266;0.67985;1.000000;NULL;NULL;NULL;0.817004;NULL;NULL;NULL;0.765305;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;0.709359;NULL;NULL;NULL;0.647957;NULL;NULL;NULL
Владимирская область;-0.129148;-0.12915;-0.52858;0.18671;-0.097918;-0.09792;-0.40737;0.15615;-0.202256;-0.20226;-0.45885;0.01850;0.483592;NULL;NULL;NULL;-0.159202;-0.15920;-0.68840;0.23099;-0.160365;-0.16036;-0.64147;0.20544;1.000000;NULL;NULL;NULL;0.623571;NULL;NULL;NULL;0.648965;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;0.722159;NULL;NULL;NULL;0.736724;NULL;NULL;NULL
Волгоградская область;-0.170044;-0.17004;-0.31246;-0.03975;-0.006682;-0.00668;-0.14492;0.11817;-0.136232;-0.13623;-0.23824;-0.04082;0.341078;0.34108;0.02775;0.57371;0.196847;0.19685;-0.00163;0.36389;0.129727;0.12973;-0.05573;0.28963;0.598445;NULL;NULL;NULL;0.507990;0.50799;0.22424;0.70742;0.440235;0.44023;0.14700;0.65257;-0.050220;NULL;NULL;NULL;0.777601;NULL;NULL;NULL;0.611977;0.61198;0.13554;0.86361
Вологодская область;0.214181;0.21418;0.01333;0.38392;0.277880;0.27788;0.08185;0.44115;0.208603;0.20860;0.06530;0.33528;0.592562;NULL;NULL;NULL;0.371541;0.37154;0.03946;0.61080;0.302245;0.30225;-0.02670;0.54764;1.000000;NULL;NULL;NULL;0.520224;0.52022;-0.07857;0.83219;0.503265;0.50327;-0.10431;0.82520;1.000000;NULL;NULL;NULL;0.193976;NULL;NULL;NULL;0.072762;NULL;NULL;NULL
Воронежская область;-0.175817;-0.17582;-0.34129;-0.02622;0.075068;0.07507;-0.07377;0.20761;-0.087730;-0.08773;-0.20114;0.01738;0.256882;0.25688;-0.31595;0.62270;0.287078;0.28708;0.03209;0.48834;0.165679;0.16568;-0.09585;0.37791;0.630049;NULL;NULL;NULL;0.342845;0.34285;-0.28731;0.70911;0.293544;0.29354;-0.32640;0.66931;-0.553793;NULL;NULL;NULL;0.582960;NULL;NULL;NULL;0.379175;NULL;NULL;NULL
