region;zab_ve_18_59;zab_ve_18_59_R;zab_cil_18_59_R;zab_cih_18_59_R;zab_ve_60;zab_ve_60_R;zab_cil_60_R;zab_cih_60_R;zab_ve_total;zab_ve_total_R;zab_cil_total_R;zab_cih_total_R;st_ve_18_59;st_ve_18_59_R;st_cil_18_59_R;st_cih_18_59_R;st_ve_60;st_ve_60_R;st_cil_60_R;st_cih_60_R;st_ve_total;st_ve_total_R;st_cil_total_R;st_cih_total_R;tyazh_ve_18_59;tyazh_ve_18_59_R;tyazh_cil_18_59_R;tyazh_cih_18_59_R;tyazh_ve_60;tyazh_ve_60_R;tyazh_cil_60_R;tyazh_cih_60_R;tyazh_ve_total;tyazh_ve_total_R;tyazh_cil_total_R;tyazh_cih_total_R;sm_ve_18_59;sm_ve_18_59_R;sm_cil_18_59_R;sm_cih_18_59_R;sm_ve_60;sm_ve_60_R;sm_cil_60_R;sm_cih_60_R;sm_ve_total;sm_ve_total_R;sm_cil_total_R;sm_cih_total_R
Алтайский край;-0.110097;-0.11010;-0.36022;0.10544;0.006334;0.00633;-0.26697;0.23483;-0.072056;-0.07206;-0.25468;0.09082;0.591665;0.59166;0.10904;0.85482;-0.019144;-0.01914;-0.50777;0.34449;0.158792;0.15879;-0.19921;0.43409;1.000000;NULL;NULL;NULL;0.082770;0.08277;-0.92239;0.64257;0.313200;0.31320;-0.42465;0.73077;1.000000;NULL;NULL;NULL;0.112358;NULL;NULL;NULL;0.236888;NULL;NULL;NULL
Амурская область;0.077681;0.07768;-0.30779;0.37371;-0.151875;-0.15188;-0.83612;0.32532;0.015469;0.01547;-0.30750;0.27650;0.285946;NULL;NULL;NULL;0.378022;NULL;NULL;NULL;0.341937;0.34194;-0.46297;0.76843;1.000000;NULL;NULL;NULL;-0.212857;NULL;NULL;NULL;0.309033;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;-3.042855;NULL;NULL;NULL;-1.763867;NULL;NULL;NULL
Архангельская область;0.086207;0.08621;-0.23407;0.34402;0.044948;0.04495;-0.30950;0.32591;0.037907;0.03791;-0.19922;0.24037;0.277809;0.27781;-0.57615;0.74326;0.352259;0.35226;-0.15214;0.67846;0.234941;0.23494;-0.23208;0.56284;-0.492528;NULL;NULL;NULL;0.237105;NULL;NULL;NULL;-0.095370;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Астраханская область;-0.242131;-0.24213;-0.41019;-0.08898;-0.275087;-0.27509;-0.51360;-0.06485;-0.249854;-0.24985;-0.38487;-0.12457;0.397134;0.39713;0.02669;0.65613;-0.261343;-0.26134;-0.81892;0.16134;0.094149;0.09415;-0.21642;0.34405;1.000000;NULL;NULL;NULL;-0.479937;-0.47994;NULL;NULL;-0.094921;-0.09492;-1.30442;0.57435;1.000000;NULL;NULL;NULL;-0.037657;NULL;NULL;NULL;0.165775;NULL;NULL;NULL
Белгородская область;-0.498045;-0.49804;-0.93534;-0.13956;0.168032;0.16803;-0.26281;0.48211;-0.239278;-0.23928;-0.54372;0.01844;0.145956;NULL;NULL;NULL;0.304217;NULL;NULL;NULL;0.249689;0.24969;-0.57631;0.70802;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Брянская область;-0.162717;-0.16272;-0.57818;0.16872;-0.163492;-0.16349;-0.58654;0.17126;-0.210934;-0.21093;-0.50914;0.04265;-1.267297;NULL;NULL;NULL;0.483552;NULL;NULL;NULL;0.013555;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;-0.581622;NULL;NULL;NULL;-0.781082;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-1.108830;NULL;NULL;NULL;-1.671623;NULL;NULL;NULL
Владимирская область;-0.256941;-0.25694;-0.80715;0.16487;-0.162531;-0.16253;-0.72507;0.25703;-0.244891;-0.24489;-0.63329;0.07414;1.000000;NULL;NULL;NULL;0.166010;NULL;NULL;NULL;0.191177;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Волгоградская область;-0.339241;-0.33924;-0.51983;-0.17464;-0.002096;-0.00210;-0.21494;0.18278;-0.223053;-0.22305;-0.36024;-0.09608;0.108723;0.10872;-0.46889;0.50417;0.298352;0.29835;-0.06902;0.56678;0.206277;0.20628;-0.10209;0.44844;-0.909879;NULL;NULL;NULL;0.527583;NULL;NULL;NULL;0.135269;0.13527;-0.71786;0.63447;-14.279035;NULL;NULL;NULL;0.615068;NULL;NULL;NULL;-0.170312;NULL;NULL;NULL
Вологодская область;-0.383479;-0.38348;-0.90084;0.02683;0.264248;0.26425;-0.22350;0.59813;-0.134214;-0.13421;-0.49108;0.15867;0.343488;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;0.800740;NULL;NULL;NULL;-3.501795;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;-0.055342;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Воронежская область;-0.022983;-0.02298;-0.22868;0.15730;-0.305771;-0.30577;-0.61242;-0.04338;-0.134461;-0.13446;-0.30398;0.01888;0.115525;0.11552;-0.83436;0.65324;-0.262175;-0.26218;-0.97936;0.24648;-0.215730;-0.21573;-0.79589;0.21715;1.000000;NULL;NULL;NULL;-0.697926;NULL;NULL;NULL;-0.063764;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;0.119594;NULL;NULL;NULL;0.213740;NULL;NULL;NULL
