region;zab_ve_18_59;zab_ve_18_59_R;zab_cil_18_59_R;zab_cih_18_59_R;zab_ve_60;zab_ve_60_R;zab_cil_60_R;zab_cih_60_R;zab_ve_total;zab_ve_total_R;zab_cil_total_R;zab_cih_total_R;st_ve_18_59;st_ve_18_59_R;st_cil_18_59_R;st_cih_18_59_R;st_ve_60;st_ve_60_R;st_cil_60_R;st_cih_60_R;st_ve_total;st_ve_total_R;st_cil_total_R;st_cih_total_R;tyazh_ve_18_59;tyazh_ve_18_59_R;tyazh_cil_18_59_R;tyazh_cih_18_59_R;tyazh_ve_60;tyazh_ve_60_R;tyazh_cil_60_R;tyazh_cih_60_R;tyazh_ve_total;tyazh_ve_total_R;tyazh_cil_total_R;tyazh_cih_total_R;sm_ve_18_59;sm_ve_18_59_R;sm_cil_18_59_R;sm_cih_18_59_R;sm_ve_60;sm_ve_60_R;sm_cil_60_R;sm_cih_60_R;sm_ve_total;sm_ve_total_R;sm_cil_total_R;sm_cih_total_R
Алтайский край;-0.093068;-0.09307;-0.11427;-0.07220;0.124643;0.12464;0.09684;0.15176;-0.017740;-0.01774;-0.03454;-0.00116;0.455560;0.45556;0.37795;0.52574;0.647591;0.64759;0.61263;0.68020;0.570544;0.57054;0.53599;0.60318;0.669086;0.66909;0.48703;0.79946;0.833055;0.83305;0.79057;0.86913;0.795473;0.79547;0.74940;0.83527;0.785688;NULL;NULL;NULL;0.893110;0.89311;0.84560;0.92947;0.874567;0.87457;0.82208;0.91529
Амурская область;0.203643;0.20364;0.17189;0.23440;-0.016549;-0.01655;-0.07889;0.04275;0.145453;0.14545;0.11706;0.17309;0.387794;0.38779;0.27577;0.48577;0.499964;0.49996;0.41818;0.57267;0.457128;0.45713;0.39219;0.51658;0.772570;0.77257;0.54398;0.90440;0.686507;0.68651;0.56985;0.77815;0.706183;0.70618;0.60678;0.78589;0.855419;NULL;NULL;NULL;0.826940;0.82694;0.69743;0.91138;0.831523;0.83152;0.71192;0.91098
Архангельская область;0.198488;0.19849;0.17519;0.22126;0.242734;0.24273;0.21198;0.27251;0.212942;0.21294;0.19441;0.23113;0.288168;0.28817;0.16753;0.39465;0.666284;0.66628;0.62481;0.70426;0.544202;0.54420;0.49938;0.58594;0.630329;0.63033;0.30387;0.82728;0.851375;0.85138;0.79359;0.89674;0.809203;0.80920;0.74382;0.86183;0.510730;0.51073;-0.14211;0.83232;0.877273;0.87727;0.81959;0.92068;0.840067;0.84007;0.77224;0.89232
Астраханская область;-0.119129;-0.11913;-0.18162;-0.05930;0.092829;0.09283;0.02073;0.16077;-0.034515;-0.03451;-0.08139;0.01075;0.504606;0.50461;0.33193;0.64207;0.526215;0.52622;0.41404;0.62193;0.533706;0.53371;0.44466;0.61188;0.916392;NULL;NULL;NULL;0.766953;0.76695;0.59414;0.88036;0.805153;0.80515;0.66858;0.89667;0.734421;NULL;NULL;NULL;0.879161;NULL;NULL;NULL;0.870737;0.87074;0.71772;0.95406
Белгородская область;-0.005729;-0.00573;-0.04694;0.03408;0.326163;0.32616;0.28890;0.36177;0.124537;0.12454;0.09589;0.15241;0.463355;0.46335;0.35132;0.55959;0.708669;0.70867;0.66459;0.74822;0.610139;0.61014;0.56330;0.65304;0.787562;0.78756;0.52059;0.92585;0.799737;0.79974;0.71644;0.86355;0.767696;0.76770;0.67884;0.83711;0.753572;NULL;NULL;NULL;0.869879;0.86988;0.80275;0.91892;0.838004;0.83800;0.76044;0.89577
Брянская область;-0.097333;-0.09733;-0.13635;-0.05938;0.171612;0.17161;0.12649;0.21485;0.005949;0.00595;-0.02351;0.03474;0.505495;0.50549;0.36068;0.62476;0.679890;0.67989;0.62470;0.72895;0.591299;0.59130;0.53170;0.64520;0.803228;NULL;NULL;NULL;0.782918;0.78292;0.67429;0.86303;0.741891;0.74189;0.61923;0.83363;0.775118;NULL;NULL;NULL;0.858568;0.85857;0.76406;0.92292;0.822760;0.82276;0.70934;0.90106
Владимирская область;-0.055346;-0.05535;-0.08364;-0.02765;0.104151;0.10415;0.06872;0.13849;0.002197;0.00220;-0.01987;0.02388;0.380640;0.38064;0.25136;0.49228;0.641592;0.64159;0.58784;0.69004;0.553771;0.55377;0.50044;0.60279;0.751665;0.75167;0.44699;0.91269;0.794871;0.79487;0.71353;0.85840;0.774018;0.77402;0.69117;0.83981;0.852839;NULL;NULL;NULL;0.829575;0.82957;0.73776;0.89616;0.816553;0.81655;0.72066;0.88669
Волгоградская область;-0.398595;-0.39859;-0.43457;-0.36339;-0.055758;-0.05576;-0.09788;-0.01498;-0.280749;-0.28075;-0.30832;-0.25366;0.179792;0.17979;0.07549;0.27460;0.448958;0.44896;0.39721;0.49726;0.348560;0.34856;0.29997;0.39452;0.455536;0.45554;0.18171;0.65394;0.601624;0.60162;0.51897;0.67331;0.559378;0.55938;0.47658;0.63207;0.497229;0.49723;-0.16592;0.82708;0.708015;0.70802;0.61125;0.78610;0.676589;0.67659;0.57503;0.75935
Вологодская область;0.255148;0.25515;0.23493;0.27494;0.290828;0.29083;0.25852;0.32202;0.263169;0.26317;0.24605;0.27998;0.530438;0.53044;0.43856;0.61042;0.634030;0.63403;0.57843;0.68404;0.615188;0.61519;0.56987;0.65686;0.573982;0.57398;0.18645;0.80270;0.829428;0.82943;0.75701;0.88519;0.813606;0.81361;0.74515;0.86793;0.587506;NULL;NULL;NULL;0.845155;0.84515;0.75916;0.90700;0.836790;0.83679;0.75564;0.89685
Воронежская область;-0.056100;-0.05610;-0.07633;-0.03618;0.006014;0.00601;-0.02179;0.03319;-0.026992;-0.02699;-0.04318;-0.01102;0.464011;0.46401;0.38599;0.53435;0.533211;0.53321;0.48874;0.57470;0.479520;0.47952;0.43849;0.51825;0.493514;0.49351;0.14571;0.72272;0.815951;0.81595;0.74942;0.86894;0.754796;0.75480;0.67947;0.81659;0.209575;0.20957;-0.68217;0.67923;0.820015;0.82001;0.74176;0.87986;0.760934;0.76093;0.66863;0.83332
