region;zab_ve_18_59;zab_ve_18_59_R;zab_cil_18_59_R;zab_cih_18_59_R;zab_ve_60;zab_ve_60_R;zab_cil_60_R;zab_cih_60_R;zab_ve_total;zab_ve_total_R;zab_cil_total_R;zab_cih_total_R;st_ve_18_59;st_ve_18_59_R;st_cil_18_59_R;st_cih_18_59_R;st_ve_60;st_ve_60_R;st_cil_60_R;st_cih_60_R;st_ve_total;st_ve_total_R;st_cil_total_R;st_cih_total_R;tyazh_ve_18_59;tyazh_ve_18_59_R;tyazh_cil_18_59_R;tyazh_cih_18_59_R;tyazh_ve_60;tyazh_ve_60_R;tyazh_cil_60_R;tyazh_cih_60_R;tyazh_ve_total;tyazh_ve_total_R;tyazh_cil_total_R;tyazh_cih_total_R;sm_ve_18_59;sm_ve_18_59_R;sm_cil_18_59_R;sm_cih_18_59_R;sm_ve_60;sm_ve_60_R;sm_cil_60_R;sm_cih_60_R;sm_ve_total;sm_ve_total_R;sm_cil_total_R;sm_cih_total_R
Алтайский край;-0.149884;-0.14988;-0.43071;0.08963;0.059484;0.05948;-0.17986;0.26178;-0.097476;-0.09748;-0.28618;0.07067;0.006019;0.00602;-0.77798;0.50841;0.174986;0.17499;-0.22057;0.46935;-0.029045;-0.02904;-0.43216;0.28623;0.530344;NULL;NULL;NULL;0.133736;0.13374;-0.73626;0.63577;0.044525;0.04452;-0.82561;0.57049;1.000000;NULL;NULL;NULL;0.640720;NULL;NULL;NULL;0.601885;NULL;NULL;NULL
Амурская область;-0.150750;-0.15075;-0.65741;0.23415;-0.132060;-0.13206;-0.90716;0.38718;-0.140900;-0.14090;-0.54606;0.18209;0.671214;NULL;NULL;NULL;0.200636;NULL;NULL;NULL;0.464333;NULL;NULL;NULL;-1.465893;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;0.062583;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Архангельская область;0.156006;0.15601;-0.09677;0.36508;0.079367;0.07937;-0.20772;0.31400;0.092957;0.09296;-0.09713;0.25862;0.308267;0.30827;-0.36118;0.70592;0.022579;0.02258;-0.47304;0.38532;-0.012971;-0.01297;-0.44632;0.31935;1.000000;NULL;NULL;NULL;-0.046531;NULL;NULL;NULL;-0.000219;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;-0.070316;NULL;NULL;NULL;-0.166922;NULL;NULL;NULL
Астраханская область;-0.115009;-0.11501;-0.28304;0.03679;-0.176182;-0.17618;-0.40284;0.02298;-0.145531;-0.14553;-0.27934;-0.02199;-0.127432;-0.12743;-0.65395;0.26739;-0.811024;-0.81102;-1.47279;-0.29041;-0.500351;-0.50035;-0.91515;-0.15489;-0.704203;NULL;NULL;NULL;0.032576;NULL;NULL;NULL;-0.181526;-0.18153;-1.48669;0.54069;-1.698321;NULL;NULL;NULL;-0.017463;NULL;NULL;NULL;-0.350316;NULL;NULL;NULL
Белгородская область;-0.765323;-0.76532;-1.42428;-0.24648;-0.135737;-0.13574;-0.77386;0.31996;-0.514736;-0.51474;-0.96840;-0.14127;-0.668540;NULL;NULL;NULL;0.261245;NULL;NULL;NULL;-0.146356;-0.14636;-1.54851;0.59660;-19.022476;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;-1.751255;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Брянская область;-0.167675;-0.16768;-0.69086;0.23096;-0.140926;-0.14093;-0.64836;0.24479;-0.209942;-0.20994;-0.57697;0.09277;-0.751513;NULL;NULL;NULL;0.249731;NULL;NULL;NULL;-0.115816;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Владимирская область;-0.176481;-0.17648;-0.72525;0.23820;0.170195;0.17019;-0.33668;0.52592;-0.038428;-0.03843;-0.40758;0.25788;1.000000;NULL;NULL;NULL;0.695738;NULL;NULL;NULL;0.711675;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Волгоградская область;-0.219678;-0.21968;-0.41225;-0.04643;0.045399;0.04540;-0.15016;0.21596;-0.121920;-0.12192;-0.25986;0.00495;-0.043623;-0.04362;-0.74795;0.43278;-0.117932;-0.11793;-0.54885;0.21884;-0.269840;-0.26984;-0.67873;0.06240;-0.806271;NULL;NULL;NULL;0.442446;NULL;NULL;NULL;0.040061;0.04006;-0.90700;0.59422;-8.633444;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;0.566945;NULL;NULL;NULL
Вологодская область;-0.136129;-0.13613;-0.48725;0.15193;0.234087;0.23409;-0.12920;0.50607;0.002861;0.00286;-0.24757;0.21555;-1.985981;-1.98598;NULL;NULL;-0.104527;-0.10453;-1.13060;0.50642;-0.807109;-0.80711;-1.93323;-0.03640;-4.118824;NULL;NULL;NULL;-0.311626;NULL;NULL;NULL;-1.392746;NULL;NULL;NULL;-3.478971;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;-0.076736;NULL;NULL;NULL
Воронежская область;0.097371;0.09737;-0.10165;0.26992;-0.015018;-0.01502;-0.26805;0.19982;0.041649;0.04165;-0.11294;0.18054;-0.092584;-0.09258;-1.16565;0.53753;0.139066;0.13907;-0.42043;0.52142;-0.049266;-0.04927;-0.58659;0.34499;1.000000;NULL;NULL;NULL;-0.985420;NULL;NULL;NULL;-0.399021;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;0.227892;NULL;NULL;NULL;0.224456;NULL;NULL;NULL
г. Москва;0.030819;0.03082;-0.02780;0.08709;-0.289335;-0.28933;-0.39711;-0.18751;-0.060024;-0.06002;-0.11160;-0.01013;0.147778;0.14778;-0.39351;0.52328;-0.075916;-0.07592;-0.51310;0.26469;-0.012635;-0.01264;-0.34638;0.25896;0.207146;0.20715;-0.37238;0.59129;0.371036;0.37104;0.06481;0.60044;0.309238;0.30924;0.04118;0.52085;1.000000;NULL;NULL;NULL;0.573617;0.57362;0.07456;0.84796;0.631594;0.63159;0.20171;0.86851
г. Санкт-Петербург;0.232742;0.23274;0.16845;0.29347;-0.043318;-0.04332;-0.16837;0.07198;0.158469;0.15847;0.10121;0.21312;0.499190;0.49919;0.29686;0.65729;0.332548;0.33255;0.12013;0.50651;0.433045;0.43304;0.29555;0.55078;0.040383;0.04038;-0.83749;0.56921;0.461732;0.46173;0.06763;0.72266;0.381516;0.38152;0.05027;0.62258;1.000000;NULL;NULL;NULL;0.629193;NULL;NULL;NULL;0.709554;NULL;NULL;NULL
г. Севастополь;-0.187082;-0.18708;-0.89583;0.31130;0.233402;0.23340;-0.28575;0.58375;-0.039911;-0.03991;-0.48222;0.30031;1.000000;NULL;NULL;NULL;0.469278;NULL;NULL;NULL;0.565522;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;0.404948;NULL;NULL;NULL;0.252698;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Еврейская автономная область;0.601609;NULL;NULL;NULL;0.043101;NULL;NULL;NULL;0.360856;0.36086;-0.31985;0.74880;1.000000;NULL;NULL;NULL;0.199117;NULL;NULL;NULL;0.523601;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Забайкальский край;0.164213;0.16421;-0.23065;0.45843;0.324702;0.32470;-0.19329;0.65665;0.208964;0.20896;-0.09527;0.44698;0.169977;0.16998;-0.50300;0.59276;0.756417;NULL;NULL;NULL;0.391169;0.39117;-0.04431;0.67897;-0.750595;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;-0.062470;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Ивановская область;0.031536;0.03154;-0.42889;0.37837;-0.033691;-0.03369;-0.54420;0.34564;-0.024660;-0.02466;-0.36121;0.24964;1.000000;NULL;NULL;NULL;-0.312366;-0.31237;-1.91420;0.53789;-0.314733;-0.31473;-1.89647;0.53504;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Иркутская область;-0.057967;-0.05797;-0.28789;0.14125;0.293746;0.29375;0.04718;0.49186;0.066971;0.06697;-0.10131;0.21627;0.008156;0.00816;-0.56729;0.41540;0.331001;0.33100;-0.01823;0.58663;0.185619;0.18562;-0.11605;0.42496;0.452776;NULL;NULL;NULL;0.495317;NULL;NULL;NULL;0.461004;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Кабардино-Балкарская Республика;-0.761111;-0.76111;-1.55594;-0.15788;-0.204011;-0.20401;-0.98159;0.32956;-0.588262;-0.58826;-1.15171;-0.13726;0.088323;NULL;NULL;NULL;0.105592;NULL;NULL;NULL;0.029111;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;-0.720015;NULL;NULL;NULL;-0.881098;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-6.453399;NULL;NULL;NULL;-9.032524;NULL;NULL;NULL
Калининградская область;0.261417;0.26142;-0.03782;0.49490;0.196391;0.19639;-0.17757;0.47737;0.214673;0.21467;-0.01611;0.40614;0.609462;NULL;NULL;NULL;-0.336287;-0.33629;-1.32216;0.30156;-0.111294;-0.11129;-0.83629;0.38290;1.000000;NULL;NULL;NULL;-0.039334;NULL;NULL;NULL;-0.185003;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.133819;NULL;NULL;NULL;-0.508185;NULL;NULL;NULL
Калужская область;-0.073063;-0.07306;-0.46032;0.23558;0.190636;0.19064;-0.22179;0.49412;0.024574;0.02457;-0.25287;0.25576;0.310101;NULL;NULL;NULL;0.522168;NULL;NULL;NULL;0.421375;0.42138;-0.26714;0.79469;-5.209092;NULL;NULL;NULL;-0.486588;NULL;NULL;NULL;-1.198773;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Камчатский край;-0.000701;-0.00070;-0.64851;0.44313;0.543864;NULL;NULL;NULL;0.184208;0.18421;-0.28307;0.51754;0.537270;NULL;NULL;NULL;0.517905;NULL;NULL;NULL;0.543205;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Карачаево-Черкесская Республика;-0.810488;-0.81049;-1.78261;-0.12209;-0.337403;-0.33740;-1.35799;0.30771;-0.649625;-0.64962;-1.33575;-0.12876;1.000000;NULL;NULL;NULL;-0.760914;NULL;NULL;NULL;0.078151;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
