region;zab_ve_18_59;zab_ve_18_59_R;zab_cil_18_59_R;zab_cih_18_59_R;zab_ve_60;zab_ve_60_R;zab_cil_60_R;zab_cih_60_R;zab_ve_total;zab_ve_total_R;zab_cil_total_R;zab_cih_total_R;st_ve_18_59;st_ve_18_59_R;st_cil_18_59_R;st_cih_18_59_R;st_ve_60;st_ve_60_R;st_cil_60_R;st_cih_60_R;st_ve_total;st_ve_total_R;st_cil_total_R;st_cih_total_R;tyazh_ve_18_59;tyazh_ve_18_59_R;tyazh_cil_18_59_R;tyazh_cih_18_59_R;tyazh_ve_60;tyazh_ve_60_R;tyazh_cil_60_R;tyazh_cih_60_R;tyazh_ve_total;tyazh_ve_total_R;tyazh_cil_total_R;tyazh_cih_total_R;sm_ve_18_59;sm_ve_18_59_R;sm_cil_18_59_R;sm_cih_18_59_R;sm_ve_60;sm_ve_60_R;sm_cil_60_R;sm_cih_60_R;sm_ve_total;sm_ve_total_R;sm_cil_total_R;sm_cih_total_R
Алтайский край;0.284243;0.28424;0.26189;0.30605;0.395786;0.39579;0.36867;0.42198;0.324301;0.32430;0.30706;0.34120;0.587980;0.58798;0.54125;0.63103;0.632655;0.63266;0.60340;0.66027;0.618629;0.61863;0.59401;0.64212;0.664346;0.66435;0.56928;0.74292;0.771173;0.77117;0.73365;0.80474;0.749375;0.74938;0.71448;0.78108;0.812326;0.81233;0.65237;0.91139;0.825472;0.82547;0.78278;0.86186;0.824214;0.82421;0.78360;0.85912
Амурская область;0.444100;0.44410;0.41849;0.46878;0.334577;0.33458;0.28168;0.38438;0.425620;0.42562;0.40291;0.44763;0.680128;0.68013;0.63043;0.72454;0.604678;0.60468;0.55007;0.65423;0.700394;0.70039;0.66998;0.72866;0.653796;0.65380;0.52750;0.75228;0.742331;0.74233;0.66991;0.80260;0.778576;0.77858;0.73118;0.81957;0.752149;0.75215;0.49032;0.89737;0.817296;0.81730;0.73272;0.88102;0.862724;0.86272;0.80714;0.90589
Архангельская область;0.396010;0.39601;0.36099;0.42948;0.374433;0.37443;0.32693;0.41920;0.387051;0.38705;0.35901;0.41410;0.624052;0.62405;0.54960;0.68880;0.620910;0.62091;0.57062;0.66660;0.617124;0.61712;0.57557;0.65552;0.846211;0.84621;0.67825;0.94001;0.861393;0.86139;0.80549;0.90489;0.856538;0.85654;0.80395;0.89830;0.864723;NULL;NULL;NULL;0.860431;0.86043;0.79847;0.90758;0.857737;0.85774;0.79709;0.90433
Астраханская область;0.044457;0.04446;-0.00901;0.09532;0.180037;0.18004;0.10506;0.24989;0.122731;0.12273;0.08182;0.16204;0.229104;0.22910;0.11633;0.32899;0.415966;0.41597;0.33066;0.49265;0.461409;0.46141;0.40784;0.51098;0.391700;0.39170;0.12060;0.58823;0.517989;0.51799;0.37033;0.63789;0.620060;0.62006;0.52900;0.69682;0.491209;0.49121;0.05575;0.74535;0.651468;0.65147;0.50627;0.76261;0.743750;0.74375;0.65319;0.81539
Белгородская область;0.192021;0.19202;0.15536;0.22713;0.408477;0.40848;0.36672;0.44793;0.287395;0.28740;0.26103;0.31289;0.382106;0.38211;0.30005;0.45511;0.541781;0.54178;0.48820;0.59077;0.580589;0.58059;0.54522;0.61360;0.488045;0.48805;0.31255;0.62199;0.636315;0.63632;0.55445;0.70597;0.700131;0.70013;0.64649;0.74700;0.725517;0.72552;0.55138;0.83988;0.730959;0.73096;0.65495;0.79362;0.811864;0.81186;0.76502;0.85123
Брянская область;0.321448;0.32145;0.28430;0.35701;0.372848;0.37285;0.31812;0.42411;0.342218;0.34222;0.31201;0.37136;0.649043;0.64904;0.57534;0.71267;0.609605;0.60960;0.54665;0.66586;0.665119;0.66512;0.62308;0.70357;0.701962;0.70196;0.49858;0.83655;0.751989;0.75199;0.65580;0.82725;0.778310;0.77831;0.70655;0.83648;0.784314;0.78431;0.56488;0.90967;0.818098;0.81810;0.73198;0.88264;0.842042;0.84204;0.77709;0.89234
Владимирская область;0.312684;0.31268;0.27795;0.34612;0.427552;0.42755;0.38408;0.46870;0.356338;0.35634;0.32946;0.38239;0.584042;0.58404;0.49571;0.66048;0.694980;0.69498;0.64415;0.74044;0.678637;0.67864;0.63733;0.71646;0.811438;0.81144;0.66320;0.90666;0.831625;0.83163;0.76222;0.88559;0.839477;0.83948;0.78301;0.88485;0.869605;NULL;NULL;NULL;0.898859;0.89886;0.83231;0.94464;0.905043;0.90504;0.84752;0.94563
Волгоградская область;-0.108427;-0.10843;-0.14973;-0.06849;0.274272;0.27427;0.23263;0.31408;0.063303;0.06330;0.03470;0.09116;0.236082;0.23608;0.16562;0.30134;0.484461;0.48446;0.44049;0.52573;0.473480;0.47348;0.44135;0.50411;0.365345;0.36535;0.20944;0.49457;0.665676;0.66568;0.60420;0.71982;0.664970;0.66497;0.61767;0.70769;0.602609;0.60261;0.26611;0.80370;0.709818;0.70982;0.62724;0.77820;0.772393;0.77239;0.71276;0.82241
Вологодская область;0.378103;0.37810;0.34531;0.40963;0.465658;0.46566;0.42598;0.50319;0.407775;0.40778;0.38247;0.43228;0.689252;0.68925;0.61222;0.75460;0.710720;0.71072;0.66571;0.75116;0.681542;0.68154;0.64028;0.71926;0.839988;0.83999;0.66831;0.93725;0.841545;0.84154;0.78189;0.88870;0.823827;0.82383;0.76300;0.87278;0.884723;NULL;NULL;NULL;0.873192;0.87319;0.80896;0.92062;0.858997;0.85900;0.79125;0.90973
Воронежская область;0.187525;0.18752;0.15906;0.21519;0.309140;0.30914;0.27064;0.34606;0.236839;0.23684;0.21442;0.25874;0.447021;0.44702;0.38999;0.49978;0.526989;0.52699;0.48377;0.56747;0.553469;0.55347;0.52338;0.58210;0.543803;0.54380;0.40940;0.65338;0.709847;0.70985;0.64572;0.76522;0.715244;0.71524;0.66650;0.75859;0.787346;0.78735;0.61533;0.89559;0.738503;0.73850;0.66209;0.80176;0.796027;0.79603;0.74131;0.84196
г. Москва;0.367147;0.36715;0.35648;0.37766;0.180329;0.18033;0.15706;0.20310;0.330394;0.33039;0.32077;0.33990;0.563309;0.56331;0.53859;0.58695;0.544336;0.54434;0.51166;0.57537;0.617778;0.61778;0.60108;0.63393;0.782417;0.78242;0.74909;0.81234;0.677288;0.67729;0.64581;0.70670;0.803180;0.80318;0.78719;0.81828;0.830719;0.83072;0.77479;0.87578;0.740324;0.74032;0.70604;0.77168;0.851096;0.85110;0.83308;0.86769
