region;zab_ve_18_59;zab_ve_18_59_R;zab_cil_18_59_R;zab_cih_18_59_R;zab_ve_60;zab_ve_60_R;zab_cil_60_R;zab_cih_60_R;zab_ve_total;zab_ve_total_R;zab_cil_total_R;zab_cih_total_R;st_ve_18_59;st_ve_18_59_R;st_cil_18_59_R;st_cih_18_59_R;st_ve_60;st_ve_60_R;st_cil_60_R;st_cih_60_R;st_ve_total;st_ve_total_R;st_cil_total_R;st_cih_total_R;tyazh_ve_18_59;tyazh_ve_18_59_R;tyazh_cil_18_59_R;tyazh_cih_18_59_R;tyazh_ve_60;tyazh_ve_60_R;tyazh_cil_60_R;tyazh_cih_60_R;tyazh_ve_total;tyazh_ve_total_R;tyazh_cil_total_R;tyazh_cih_total_R;sm_ve_18_59;sm_ve_18_59_R;sm_cil_18_59_R;sm_cih_18_59_R;sm_ve_60;sm_ve_60_R;sm_cil_60_R;sm_cih_60_R;sm_ve_total;sm_ve_total_R;sm_cil_total_R;sm_cih_total_R
Алтайский край;-0.194434;-0.19443;-0.46416;0.03682;-0.090784;-0.09078;-0.34119;0.12273;-0.196258;-0.19626;-0.38434;-0.02785;0.180041;0.18004;-0.44405;0.58216;0.145964;0.14596;-0.19906;0.41171;0.043151;0.04315;-0.28504;0.30551;0.721980;NULL;NULL;NULL;0.272650;0.27265;-0.36265;0.65906;0.284630;0.28463;-0.29127;0.64829;1.000000;NULL;NULL;NULL;0.468919;NULL;NULL;NULL;0.496639;NULL;NULL;NULL
Амурская область;0.476085;0.47609;0.19002;0.68187;0.153278;0.15328;-0.35499;0.50544;0.361050;0.36105;0.11606;0.55301;0.227915;0.22792;-0.75585;0.73164;0.306057;0.30606;-0.34178;0.69035;0.277925;0.27792;-0.22446;0.61087;1.000000;NULL;NULL;NULL;0.796839;NULL;NULL;NULL;0.835731;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;0.034986;NULL;NULL;NULL;0.142150;NULL;NULL;NULL
Архангельская область;0.071196;0.07120;-0.22848;0.31516;0.012510;0.01251;-0.27283;0.24738;-0.034599;-0.03460;-0.24974;0.15249;0.423219;0.42322;-0.13542;0.75485;0.234704;0.23470;-0.12177;0.50065;0.122279;0.12228;-0.22918;0.39543;1.000000;NULL;NULL;NULL;0.710807;NULL;NULL;NULL;0.699763;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;0.502463;NULL;NULL;NULL;0.475140;NULL;NULL;NULL
Астраханская область;0.063341;0.06334;-0.21464;0.29201;-0.312604;-0.31260;-0.75003;0.03755;-0.078663;-0.07866;-0.31030;0.12145;0.735501;NULL;NULL;NULL;0.234332;0.23433;-0.38268;0.62367;0.466429;0.46643;0.10620;0.71003;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Белгородская область;-0.129704;-0.12970;-0.52650;0.18233;0.383162;0.38316;0.12699;0.57956;0.150175;0.15017;-0.06844;0.33343;0.242858;NULL;NULL;NULL;0.633951;0.63395;0.23466;0.85716;0.552728;0.55273;0.16968;0.78912;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;0.544785;NULL;NULL;NULL;0.570477;NULL;NULL;NULL
Брянская область;-0.158464;-0.15846;-0.92874;0.36007;0.290209;0.29021;-0.14546;0.59125;0.026839;0.02684;-0.38892;0.34417;-1.096268;NULL;NULL;NULL;0.531538;NULL;NULL;NULL;0.141944;0.14194;-0.93036;0.70000;1.000000;NULL;NULL;NULL;0.219230;NULL;NULL;NULL;0.113342;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Владимирская область;0.113686;0.11369;-0.54497;0.54525;0.423861;0.42386;0.03648;0.68654;0.244701;0.24470;-0.11142;0.51220;-0.825418;NULL;NULL;NULL;0.455340;0.45534;-0.20214;0.80757;0.107711;0.10771;-0.70293;0.59861;-7.822852;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;0.107711;NULL;NULL;NULL;-7.822852;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;0.157282;NULL;NULL;NULL
Волгоградская область;-0.232485;-0.23248;-0.40128;-0.07929;-0.061090;-0.06109;-0.24416;0.10096;-0.182607;-0.18261;-0.30751;-0.06683;0.302686;0.30269;-0.15456;0.61333;0.125461;0.12546;-0.17377;0.36422;0.089151;0.08915;-0.17759;0.30884;0.272035;NULL;NULL;NULL;0.083449;0.08345;-0.45456;0.45750;-0.003685;-0.00369;-0.53817;0.37965;-0.051506;NULL;NULL;NULL;0.503535;NULL;NULL;NULL;0.343501;NULL;NULL;NULL
Вологодская область;0.292796;0.29280;0.02824;0.50258;0.213120;0.21312;-0.10864;0.46175;0.244443;0.24444;0.04358;0.41366;0.782026;NULL;NULL;NULL;0.603387;0.60339;0.12779;0.85960;0.590524;0.59052;0.15733;0.83874;-0.326008;NULL;NULL;NULL;0.635704;NULL;NULL;NULL;0.310540;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;0.482316;NULL;NULL;NULL;0.482905;NULL;NULL;NULL
Воронежская область;-0.007943;-0.00794;-0.20631;0.16592;0.079034;0.07903;-0.12951;0.25805;0.007867;0.00787;-0.13646;0.13850;0.225041;0.22504;-0.54131;0.67264;0.382086;0.38209;0.02220;0.63617;0.256311;0.25631;-0.09818;0.52098;1.000000;NULL;NULL;NULL;0.649103;NULL;NULL;NULL;0.651038;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
г. Москва;0.100648;0.10065;-0.02390;0.21412;-0.000393;-0.00039;-0.15872;0.14184;0.046963;0.04696;-0.05090;0.13819;-0.337010;-0.33701;-1.12837;0.21612;0.181448;0.18145;-0.14417;0.43535;-0.007163;-0.00716;-0.32671;0.25343;0.491815;NULL;NULL;NULL;0.482776;0.48278;0.21393;0.68006;0.442857;0.44286;0.18208;0.63954;-0.457294;-0.45729;NULL;NULL;0.445671;0.44567;0.07470;0.69801;0.271735;0.27174;-0.13369;0.56289
