data_point;region;vac_interval_group;vaccine;ve_zab_18_59;cil_zab_18_59;cih_zab_18_59;ve_hosp_18_59;cil_hosp_18_59;cih_hosp_18_59;ve_severe_18_59;cil_severe_18_59;cih_severe_18_59
2022.07_16-08-2022;г. Москва;75_90_days;SputnikV;0.32963;-0.0003;0.55074;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Москва;90_105_days;AllVaccines;0.00547;-0.28117;0.22798;-1.3723;-8.51381;0.40846;NULL;NULL;NULL
2022.07_16-08-2022;г. Москва;90_105_days;CoviVac;-2.03109;-6.28277;-0.26154;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Москва;90_105_days;EpiVacCorona;-47.76488;-193.98462;-11.1959;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Москва;90_105_days;SputnikLite;0.58228;0.07014;0.81235;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Москва;90_105_days;SputnikV;-0.12941;-0.49046;0.14418;-2.23381;-11.96878;0.19364;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;105_165_days;AllVaccines;0.18926;0.11262;0.25927;0.50442;0.25047;0.67233;0.02461;-1.21338;0.57016
2022.07_16-08-2022;г. Санкт-Петербург;105_165_days;CoviVac;-0.64766;-1.65126;-0.02396;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;105_165_days;EpiVacCorona;0.42772;-0.27406;0.74294;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;105_165_days;SputnikLite;0.15568;0.02376;0.26977;0.45974;-0.04155;0.71977;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;105_165_days;SputnikV;0.2123;0.11414;0.29958;0.45564;0.09339;0.67315;-0.65698;-2.76004;0.2698
2022.07_16-08-2022;г. Санкт-Петербург;165_195_days;AllVaccines;0.28352;0.2148;0.34623;0.42719;0.17102;0.60419;0.41723;-0.57707;0.78465
2022.07_16-08-2022;г. Санкт-Петербург;165_195_days;CoviVac;-0.8709;-2.9252;0.10826;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;165_195_days;EpiVacCorona;-0.05555;-1.34995;0.52587;-3.66006;-17.66019;-0.16377;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;165_195_days;SputnikLite;0.28246;0.18715;0.3666;0.39956;0.0158;0.63368;0.44743;-1.23357;0.8633
2022.07_16-08-2022;г. Санкт-Петербург;165_195_days;SputnikV;0.2835;0.17983;0.37407;0.42642;0.00847;0.66819;0.01462;-2.09637;0.68641
2022.07_16-08-2022;г. Санкт-Петербург;21_45_days;AllVaccines;-0.07212;-0.39073;0.1735;0.00548;-1.65527;0.62751;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;21_45_days;CoviVac;-0.94461;-3.67281;0.19074;-9.30297;-40.25597;-1.57299;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;21_45_days;EpiVacCorona;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;21_45_days;SputnikLite;-0.0862;-0.77356;0.33477;-0.79683;-6.19502;0.55127;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;21_45_days;SputnikV;-0.06326;-0.46195;0.2267;0.26071;-1.96032;0.81537;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;45_75_days;AllVaccines;0.08321;-0.20699;0.30364;0.52553;-0.8999;0.88151;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;45_75_days;CoviVac;-0.00282;-2.10973;0.67661;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;45_75_days;EpiVacCorona;-1.4367;-6.55616;0.21422;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;45_75_days;SputnikLite;0.24387;-0.40565;0.59326;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;45_75_days;SputnikV;0.0043;-0.36905;0.27584;0.30769;-1.77221;0.82711;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;75_90_days;AllVaccines;0.15483;-0.2418;0.42478;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;75_90_days;CoviVac;-0.31409;-4.25465;0.67137;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;75_90_days;EpiVacCorona;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;75_90_days;SputnikLite;-0.10531;-1.12481;0.42502;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;75_90_days;SputnikV;0.17393;-0.32923;0.48663;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;90_105_days;AllVaccines;-0.00261;-0.38444;0.27392;-1.51932;-4.29904;-0.19776;-4.35036;-20.6269;-0.32365
2022.07_16-08-2022;г. Санкт-Петербург;90_105_days;CoviVac;-0.11829;-3.4717;0.72034;-13.81581;-58.32662;-2.7;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;90_105_days;EpiVacCorona;-1.89185;-7.96757;0.06744;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;90_105_days;SputnikLite;-0.03958;-0.87767;0.42443;-2.75757;-10.67148;-0.20973;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;90_105_days;SputnikV;-0.02147;-0.52455;0.3156;-1.25633;-5.0242;0.15491;-7.41237;-33.00394;-1.08117
2022.07_16-08-2022;г. Севастополь;105_165_days;AllVaccines;-0.24184;-1.12056;0.27276;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Севастополь;105_165_days;CoviVac;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Севастополь;105_165_days;EpiVacCorona;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Севастополь;105_165_days;SputnikLite;-0.03524;-1.32106;0.53826;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Севастополь;105_165_days;SputnikV;-0.72207;-2.33934;0.11194;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Севастополь;165_195_days;AllVaccines;-0.26545;-1.03458;0.21293;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Севастополь;165_195_days;CoviVac;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Севастополь;165_195_days;EpiVacCorona;-12.3894;-52.75897;-2.33481;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Севастополь;165_195_days;SputnikLite;-0.1454;-1.08887;0.37194;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Севастополь;165_195_days;SputnikV;-0.57094;-2.32115;0.25693;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Севастополь;21_45_days;AllVaccines;0.10378;-2.59836;0.77678;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Севастополь;21_45_days;EpiVacCorona;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Севастополь;21_45_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Севастополь;21_45_days;SputnikV;-0.12468;-3.51563;0.71988;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Севастополь;45_75_days;AllVaccines;-0.44033;-2.86028;0.46259;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Севастополь;45_75_days;CoviVac;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Севастополь;45_75_days;EpiVacCorona;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Севастополь;45_75_days;SputnikLite;-0.63284;-4.08844;0.47603;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Севастополь;45_75_days;SputnikV;-1.17931;-7.75002;0.45721;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Севастополь;75_90_days;AllVaccines;-0.80674;-4.63036;0.42023;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Севастополь;75_90_days;CoviVac;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Севастополь;75_90_days;EpiVacCorona;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Севастополь;75_90_days;SputnikLite;-1.38022;-6.4175;0.2362;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Севастополь;75_90_days;SputnikV;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Севастополь;90_105_days;AllVaccines;-0.09282;-3.38771;0.72782;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Севастополь;90_105_days;CoviVac;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Севастополь;90_105_days;EpiVacCorona;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Севастополь;90_105_days;SputnikLite;-0.88904;-6.58457;0.52951;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Севастополь;90_105_days;SputnikV;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
