data_point;region;vac_interval_group;vaccine;ve_zab_18_59;cil_zab_18_59;cih_zab_18_59;ve_hosp_18_59;cil_hosp_18_59;cih_hosp_18_59
2022.07_16-08-2022;Амурская область;75_90_days;CoviVac;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Амурская область;75_90_days;EpiVacCorona;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Амурская область;75_90_days;SputnikLite;-1.23102;-7.9498;0.44385;NULL;NULL;NULL
2022.07_16-08-2022;Амурская область;75_90_days;SputnikV;-3.54616;-11.16907;-0.69837;NULL;NULL;NULL
2022.07_16-08-2022;Амурская область;90_105_days;AllVaccines;0.10795;-2.57848;0.77763;NULL;NULL;NULL
2022.07_16-08-2022;Амурская область;90_105_days;CoviVac;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Амурская область;90_105_days;EpiVacCorona;-7.44441;-32.87506;-1.10503;NULL;NULL;NULL
2022.07_16-08-2022;Амурская область;90_105_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Амурская область;90_105_days;SputnikV;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Архангельская область;105_165_days;AllVaccines;0.23124;-0.0616;0.4433;-0.0622;-1.15488;0.47641
2022.07_16-08-2022;Архангельская область;105_165_days;CoviVac;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Архангельская область;105_165_days;EpiVacCorona;-0.21353;-2.7676;0.60913;NULL;NULL;NULL
2022.07_16-08-2022;Архангельская область;105_165_days;SputnikLite;0.4214;-0.15947;0.71127;-0.4209;-3.44396;0.54569
2022.07_16-08-2022;Архангельская область;105_165_days;SputnikV;0.09145;-0.31289;0.37126;-0.22967;-1.77127;0.45437
2022.07_16-08-2022;Архангельская область;165_195_days;AllVaccines;-0.24789;-0.66494;0.06469;0.16686;-1.02433;0.65711
2022.07_16-08-2022;Архангельская область;165_195_days;CoviVac;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Архангельская область;165_195_days;EpiVacCorona;-3.5747;-10.00962;-0.90087;NULL;NULL;NULL
2022.07_16-08-2022;Архангельская область;165_195_days;SputnikLite;-0.39663;-0.9635;0.00658;-0.05954;-1.85157;0.60631
2022.07_16-08-2022;Архангельская область;165_195_days;SputnikV;0.13902;-0.55864;0.5244;-0.01752;-3.09725;0.74731
2022.07_16-08-2022;Архангельская область;21_45_days;AllVaccines;-0.28905;-1.40158;0.3081;NULL;NULL;NULL
2022.07_16-08-2022;Архангельская область;21_45_days;CoviVac;-3.43958;-16.77049;-0.10914;NULL;NULL;NULL
2022.07_16-08-2022;Архангельская область;21_45_days;EpiVacCorona;-7.97898;-22.96026;-2.36482;NULL;NULL;NULL
2022.07_16-08-2022;Архангельская область;21_45_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Архангельская область;21_45_days;SputnikV;-0.11218;-1.48023;0.50128;NULL;NULL;NULL
2022.07_16-08-2022;Архангельская область;45_75_days;AllVaccines;-0.0395;-1.0831;0.48127;NULL;NULL;NULL
2022.07_16-08-2022;Архангельская область;45_75_days;CoviVac;-8.37486;-21.56182;-2.89543;NULL;NULL;NULL
2022.07_16-08-2022;Архангельская область;45_75_days;EpiVacCorona;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Архангельская область;45_75_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Архангельская область;45_75_days;SputnikV;0.2364;-1.03765;0.71385;NULL;NULL;NULL
2022.07_16-08-2022;Архангельская область;75_90_days;AllVaccines;-0.12073;-1.49929;0.49744;-1.43778;-8.81622;0.39459
2022.07_16-08-2022;Архангельская область;75_90_days;CoviVac;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Архангельская область;75_90_days;EpiVacCorona;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Архангельская область;75_90_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Архангельская область;75_90_days;SputnikV;-0.61461;-2.60068;0.27597;-2.51206;-13.14201;0.12781
2022.07_16-08-2022;Архангельская область;90_105_days;AllVaccines;0.22418;-0.86712;0.67763;NULL;NULL;NULL
2022.07_16-08-2022;Архангельская область;90_105_days;CoviVac;-8.09842;-35.41862;-1.27305;NULL;NULL;NULL
2022.07_16-08-2022;Архангельская область;90_105_days;EpiVacCorona;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Архангельская область;90_105_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Архангельская область;90_105_days;SputnikV;0.14867;-1.27177;0.68097;NULL;NULL;NULL
2022.07_16-08-2022;Астраханская область;105_165_days;AllVaccines;-0.12764;-0.29469;0.01786;0.35656;-0.07775;0.61585
2022.07_16-08-2022;Астраханская область;105_165_days;CoviVac;-1.9983;-5.29409;-0.42829;NULL;NULL;NULL
2022.07_16-08-2022;Астраханская область;105_165_days;EpiVacCorona;0.5381;-0.84764;0.88453;NULL;NULL;NULL
2022.07_16-08-2022;Астраханская область;105_165_days;SputnikLite;-0.16715;-0.4068;0.03167;0.321;-0.3673;0.66281
2022.07_16-08-2022;Астраханская область;105_165_days;SputnikV;-0.09157;-0.33857;0.10985;0.23352;-0.54346;0.61936
2022.07_16-08-2022;Астраханская область;165_195_days;AllVaccines;-0.27514;-0.49314;-0.08896;0.15344;-0.47116;0.51286
2022.07_16-08-2022;Астраханская область;165_195_days;CoviVac;-0.49933;-4.99744;0.62517;NULL;NULL;NULL
2022.07_16-08-2022;Астраханская область;165_195_days;EpiVacCorona;-1.32954;-4.6004;0.03101;NULL;NULL;NULL
2022.07_16-08-2022;Астраханская область;165_195_days;SputnikLite;-0.47158;-0.76962;-0.22374;0.27264;-0.53575;0.65551
2022.07_16-08-2022;Астраханская область;165_195_days;SputnikV;0.07948;-0.25252;0.32348;-0.32869;-1.8054;0.3707
2022.07_16-08-2022;Астраханская область;21_45_days;AllVaccines;-0.36771;-0.84147;-0.01584;-1.3751;-3.59891;-0.22662
2022.07_16-08-2022;Астраханская область;21_45_days;CoviVac;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Астраханская область;21_45_days;EpiVacCorona;0.47909;-1.08368;0.86977;NULL;NULL;NULL
2022.07_16-08-2022;Астраханская область;21_45_days;SputnikLite;-0.0967;-2.4021;0.64647;NULL;NULL;NULL
2022.07_16-08-2022;Астраханская область;21_45_days;SputnikV;-0.60545;-1.18448;-0.1799;-1.99464;-4.79852;-0.54658
2022.07_16-08-2022;Астраханская область;45_75_days;AllVaccines;0.00034;-0.55151;0.3559;-1.11545;-4.11053;0.12434
2022.07_16-08-2022;Астраханская область;45_75_days;CoviVac;-3.30183;-16.20761;-0.07544;-35.33373;-144.7829;-8.05552
2022.07_16-08-2022;Астраханская область;45_75_days;EpiVacCorona;-1.06054;-5.39208;0.33576;-10.59896;-45.53883;-1.89083
2022.07_16-08-2022;Астраханская область;45_75_days;SputnikLite;-0.77214;-2.72011;0.15581;NULL;NULL;NULL
2022.07_16-08-2022;Астраханская область;45_75_days;SputnikV;0.22232;-0.40562;0.56973;-0.79109;-4.57708;0.42479
2022.07_16-08-2022;Астраханская область;75_90_days;AllVaccines;-0.04554;-0.64125;0.33394;-0.85905;-3.97769;0.30569
2022.07_16-08-2022;Астраханская область;75_90_days;CoviVac;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Астраханская область;75_90_days;EpiVacCorona;-2.26925;-12.07721;0.1827;NULL;NULL;NULL
2022.07_16-08-2022;Астраханская область;75_90_days;SputnikLite;0.12813;-0.67713;0.54675;-0.63303;-5.55227;0.593
2022.07_16-08-2022;Астраханская область;75_90_days;SputnikV;-0.42084;-1.64313;0.23621;-2.60065;-10.21169;-0.15635
2022.07_16-08-2022;Астраханская область;90_105_days;AllVaccines;0.0798;-0.55543;0.4556;-0.10635;-3.43905;0.72426
2022.07_16-08-2022;Астраханская область;90_105_days;CoviVac;-8.08229;-35.32981;-1.27053;NULL;NULL;NULL
2022.07_16-08-2022;Астраханская область;90_105_days;EpiVacCorona;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Астраханская область;90_105_days;SputnikLite;0.40073;-0.33485;0.73096;-0.68516;-5.76142;0.58
2022.07_16-08-2022;Астраханская область;90_105_days;SputnikV;-0.72849;-2.45916;0.1363;NULL;NULL;NULL
2022.07_16-08-2022;Белгородская область;105_165_days;AllVaccines;-0.46418;-1.01344;-0.06477;-0.35705;-3.39125;0.58062
2022.07_16-08-2022;Белгородская область;105_165_days;CoviVac;-5.05961;-23.29172;-0.51158;NULL;NULL;NULL
2022.07_16-08-2022;Белгородская область;105_165_days;EpiVacCorona;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Белгородская область;105_165_days;SputnikLite;-0.53952;-1.25231;-0.0523;-1.14433;-5.93878;0.33733
2022.07_16-08-2022;Белгородская область;105_165_days;SputnikV;-0.40311;-1.43273;0.19074;NULL;NULL;NULL
2022.07_16-08-2022;Белгородская область;165_195_days;AllVaccines;-0.49808;-1.01515;-0.11369;-1.05396;-4.22592;0.19273
2022.07_16-08-2022;Белгородская область;165_195_days;CoviVac;-11.56778;-49.3816;-2.13505;NULL;NULL;NULL
2022.07_16-08-2022;Белгородская область;165_195_days;EpiVacCorona;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Белгородская область;165_195_days;SputnikLite;-0.36667;-0.92528;0.02986;0.0238;-3.03916;0.76407
2022.07_16-08-2022;Белгородская область;165_195_days;SputnikV;-1.01014;-2.48521;-0.15938;-7.49631;-22.80514;-2.03242
2022.07_16-08-2022;Белгородская область;21_45_days;AllVaccines;-0.66497;-3.01662;0.30984;NULL;NULL;NULL
2022.07_16-08-2022;Белгородская область;21_45_days;CoviVac;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Белгородская область;21_45_days;EpiVacCorona;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Белгородская область;21_45_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Белгородская область;21_45_days;SputnikV;-0.80246;-3.34831;0.25284;NULL;NULL;NULL
2022.07_16-08-2022;Белгородская область;45_75_days;AllVaccines;-0.68632;-3.50963;0.36942;NULL;NULL;NULL
