data_point;region;vac_interval_group;vaccine;ve_zab_18_59;cil_zab_18_59;cih_zab_18_59;ve_hosp_18_59;cil_hosp_18_59;cih_hosp_18_59;ve_severe_18_59;cil_severe_18_59;cih_severe_18_59;ve_death_18_59;cil_death_18_59;cih_death_18_59;ve_zab_60;cil_zab_60;cih_zab_60;ve_hosp_60;cil_hosp_60;cih_hosp_60;ve_severe_60;cil_severe_60;cih_severe_60;ve_death_60;cil_death_60;cih_death_60;ve_zab_total;cil_zab_total;cih_zab_total;ve_hosp_total;cil_hosp_total;cih_hosp_total;ve_severe_total;cil_severe_total;cih_severe_total
2022.07_16-08-2022;г. Москва;21_45_days;SputnikV;0.14457;-0.13207;0.35361;NULL;NULL;NULL;-3.55388;-13.18236;-0.46222;NULL;NULL;NULL;-0.09175;-0.52123;0.21648;-0.57713;-3.90073;0.49245;-0.78004;-3.75294;0.33335;-1.67006;-9.72478;0.33526;0.0784;-0.14304;0.25693;-0.24384;-2.86189;0.59939;-1.37817;-4.30333;-0.06645
2022.07_16-08-2022;г. Москва;45_75_days;AllVaccines;0.21069;-0.03605;0.39867;-3.36474;-10.67878;-0.63124;-1.63252;-9.56406;0.34399;NULL;NULL;NULL;-0.48861;-0.92242;-0.15269;0.15221;-2.39591;0.78835;0.283;-1.87124;0.82095;NULL;NULL;NULL;-0.0322;-0.24457;0.14393;-0.75374;-3.22086;0.27133;-0.00198;-2.11078;0.67726
2022.07_16-08-2022;г. Москва;45_75_days;CoviVac;-0.78409;-3.28662;0.25746;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-5.74567;-25.975;-0.6869;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.97407;-3.39426;0.11317;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Москва;45_75_days;EpiVacCorona;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-59.7168;-187.28083;-18.57995;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-18.94385;-60.83853;-5.43219;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Москва;45_75_days;SputnikLite;0.58151;-0.11509;0.84294;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.01696;-2.04838;0.68299;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.52223;-0.06351;0.78537;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Москва;45_75_days;SputnikV;0.15741;-0.12874;0.37101;-4.3853;-13.4095;-1.01266;-2.24805;-12.03414;0.1906;NULL;NULL;NULL;-0.48981;-0.94628;-0.1404;0.0726;-2.71478;0.76848;0.21567;-2.14085;0.80414;NULL;NULL;NULL;-0.07911;-0.31565;0.1149;-1.05848;-3.9543;0.14472;-0.17609;-2.65132;0.62118
2022.07_16-08-2022;г. Москва;75_90_days;AllVaccines;0.30797;0.02641;0.5081;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.23853;-0.73411;0.11542;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.12927;-0.1085;0.31603;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Москва;75_90_days;CoviVac;-2.17402;-5.65834;-0.51305;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-1.99107;-5.27443;-0.42586;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Москва;75_90_days;EpiVacCorona;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Москва;75_90_days;SputnikLite;0.5833;-0.11032;0.84361;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.58979;-3.23648;0.40341;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.41776;-0.22138;0.72244;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Москва;75_90_days;SputnikV;0.32963;-0.0003;0.55074;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.2543;-0.78428;0.11826;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.11937;-0.15;0.32564;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Москва;90_105_days;AllVaccines;0.00547;-0.28117;0.22798;-1.3723;-8.51381;0.40846;NULL;NULL;NULL;NULL;NULL;NULL;-0.45035;-0.92;-0.09558;-0.99583;-4.33123;0.25283;0.15821;-2.37094;0.78979;-1.5309;-9.16581;0.3699;-0.13825;-0.37481;0.0576;-0.96983;-3.74094;0.18155;0.25028;-2.00088;0.8127
2022.07_16-08-2022;г. Москва;90_105_days;CoviVac;-2.03109;-6.28277;-0.26154;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-1.77681;-5.67167;-0.15573;NULL;NULL;NULL;NULL;NULL;NULL
