data_point;region;vac_interval_group;vaccine;ve_zab_18_59;cil_zab_18_59;cih_zab_18_59
2022.07_16-08-2022;Камчатский край;21_45_days;CoviVac;NULL;NULL;NULL
2022.07_16-08-2022;Камчатский край;21_45_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;Камчатский край;21_45_days;SputnikLite;NULL;NULL;NULL
2022.07_16-08-2022;Камчатский край;21_45_days;SputnikV;NULL;NULL;NULL
2022.07_16-08-2022;Камчатский край;45_75_days;AllVaccines;-0.24754;-2.89205;0.60012
2022.07_16-08-2022;Камчатский край;45_75_days;CoviVac;NULL;NULL;NULL
2022.07_16-08-2022;Камчатский край;45_75_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;Камчатский край;45_75_days;SputnikLite;NULL;NULL;NULL
2022.07_16-08-2022;Камчатский край;45_75_days;SputnikV;-0.76018;-4.49137;0.4358
2022.07_16-08-2022;Камчатский край;75_90_days;AllVaccines;-1.78601;-6.47636;-0.03819
2022.07_16-08-2022;Камчатский край;75_90_days;CoviVac;NULL;NULL;NULL
2022.07_16-08-2022;Камчатский край;75_90_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;Камчатский край;75_90_days;SputnikLite;NULL;NULL;NULL
2022.07_16-08-2022;Камчатский край;75_90_days;SputnikV;-3.45468;-10.9543;-0.66001
2022.07_16-08-2022;Камчатский край;90_105_days;AllVaccines;-0.76321;-4.50082;0.43483
2022.07_16-08-2022;Камчатский край;90_105_days;CoviVac;NULL;NULL;NULL
2022.07_16-08-2022;Камчатский край;90_105_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;Камчатский край;90_105_days;SputnikLite;-3.24469;-16.05773;-0.05626
2022.07_16-08-2022;Камчатский край;90_105_days;SputnikV;-0.73217;-5.96089;0.56896
2022.07_16-08-2022;Карачаево-Черкесская Республика;105_165_days;AllVaccines;-0.47726;-1.59981;0.16059
2022.07_16-08-2022;Карачаево-Черкесская Республика;105_165_days;CoviVac;NULL;NULL;NULL
2022.07_16-08-2022;Карачаево-Черкесская Республика;105_165_days;EpiVacCorona;-0.99615;-7.0462;0.50478
2022.07_16-08-2022;Карачаево-Черкесская Республика;105_165_days;SputnikLite;-0.77846;-3.79339;0.34015
2022.07_16-08-2022;Карачаево-Черкесская Республика;105_165_days;SputnikV;-0.67516;-2.27696;0.14367
2022.07_16-08-2022;Карачаево-Черкесская Республика;165_195_days;AllVaccines;-0.88707;-2.39235;-0.04972
2022.07_16-08-2022;Карачаево-Черкесская Республика;165_195_days;CoviVac;NULL;NULL;NULL
2022.07_16-08-2022;Карачаево-Черкесская Республика;165_195_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;Карачаево-Черкесская Республика;165_195_days;SputnikLite;-1.53028;-3.7915;-0.33618
2022.07_16-08-2022;Карачаево-Черкесская Республика;165_195_days;SputnikV;-0.4618;-3.57769;0.5332
2022.07_16-08-2022;Карачаево-Черкесская Республика;21_45_days;AllVaccines;-1.1739;-3.25261;-0.11128
2022.07_16-08-2022;Карачаево-Черкесская Республика;21_45_days;CoviVac;-6.13088;-27.74365;-0.76907
2022.07_16-08-2022;Карачаево-Черкесская Республика;21_45_days;EpiVacCorona;-0.82552;-3.92024;0.32269
2022.07_16-08-2022;Карачаево-Черкесская Республика;21_45_days;SputnikLite;-2.0059;-11.11641;0.25428
2022.07_16-08-2022;Карачаево-Черкесская Республика;21_45_days;SputnikV;-2.72754;-9.04667;-0.383
2022.07_16-08-2022;Карачаево-Черкесская Республика;45_75_days;AllVaccines;-0.69859;-2.61847;0.20265
2022.07_16-08-2022;Карачаево-Черкесская Республика;45_75_days;CoviVac;NULL;NULL;NULL
2022.07_16-08-2022;Карачаево-Черкесская Республика;45_75_days;EpiVacCorona;-1.804;-10.30257;0.30437
2022.07_16-08-2022;Карачаево-Черкесская Республика;45_75_days;SputnikLite;NULL;NULL;NULL
2022.07_16-08-2022;Карачаево-Черкесская Республика;45_75_days;SputnikV;-1.18311;-3.92906;0.03309
2022.07_16-08-2022;Карачаево-Черкесская Республика;75_90_days;AllVaccines;-0.94937;-3.74444;0.19905
2022.07_16-08-2022;Карачаево-Черкесская Республика;75_90_days;CoviVac;-8.55205;-28.91269;-2.05027
2022.07_16-08-2022;Карачаево-Черкесская Республика;75_90_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;Карачаево-Черкесская Республика;75_90_days;SputnikLite;NULL;NULL;NULL
2022.07_16-08-2022;Карачаево-Черкесская Республика;75_90_days;SputnikV;-1.03509;-5.37299;0.35013
2022.07_16-08-2022;Карачаево-Черкесская Республика;90_105_days;AllVaccines;-1.10463;-5.59075;0.32793
2022.07_16-08-2022;Карачаево-Черкесская Республика;90_105_days;CoviVac;NULL;NULL;NULL
2022.07_16-08-2022;Карачаево-Черкесская Республика;90_105_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;Карачаево-Черкесская Республика;90_105_days;SputnikLite;NULL;NULL;NULL
2022.07_16-08-2022;Карачаево-Черкесская Республика;90_105_days;SputnikV;-3.94929;-14.49893;-0.58046
2022.07_16-08-2022;Кемеровская область;105_165_days;AllVaccines;-0.22722;-0.49845;-0.00509
2022.07_16-08-2022;Кемеровская область;105_165_days;CoviVac;-2.65711;-8.75757;-0.37067
2022.07_16-08-2022;Кемеровская область;105_165_days;EpiVacCorona;-0.29088;-2.10617;0.46353
2022.07_16-08-2022;Кемеровская область;105_165_days;SputnikLite;0.03081;-0.362;0.31033
2022.07_16-08-2022;Кемеровская область;105_165_days;SputnikV;-0.41342;-0.81621;-0.09996
2022.07_16-08-2022;Кемеровская область;165_195_days;AllVaccines;0.10776;-0.15317;0.30966
2022.07_16-08-2022;Кемеровская область;165_195_days;CoviVac;-3.62657;-17.51705;-0.15597
2022.07_16-08-2022;Кемеровская область;165_195_days;EpiVacCorona;-0.78746;-2.44252;0.0719
2022.07_16-08-2022;Кемеровская область;165_195_days;SputnikLite;0.16979;-0.1667;0.40922
2022.07_16-08-2022;Кемеровская область;165_195_days;SputnikV;0.12931;-0.3692;0.44632
2022.07_16-08-2022;Кемеровская область;21_45_days;AllVaccines;-0.02503;-1.15406;0.51223
2022.07_16-08-2022;Кемеровская область;21_45_days;CoviVac;NULL;NULL;NULL
2022.07_16-08-2022;Кемеровская область;21_45_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;Кемеровская область;21_45_days;SputnikLite;NULL;NULL;NULL
2022.07_16-08-2022;Кемеровская область;21_45_days;SputnikV;-0.25966;-1.64714;0.40058
2022.07_16-08-2022;Кемеровская область;45_75_days;AllVaccines;0.48904;-0.58619;0.8354
2022.07_16-08-2022;Кемеровская область;45_75_days;CoviVac;NULL;NULL;NULL
2022.07_16-08-2022;Кемеровская область;45_75_days;EpiVacCorona;-2.23672;-11.95441;0.19129
2022.07_16-08-2022;Кемеровская область;45_75_days;SputnikLite;NULL;NULL;NULL
2022.07_16-08-2022;Кемеровская область;45_75_days;SputnikV;0.56839;-0.72743;0.89216
2022.07_16-08-2022;Кемеровская область;75_90_days;AllVaccines;-0.85364;-2.89536;0.11793
2022.07_16-08-2022;Кемеровская область;75_90_days;CoviVac;NULL;NULL;NULL
2022.07_16-08-2022;Кемеровская область;75_90_days;EpiVacCorona;-4.76536;-16.89741;-0.85722
2022.07_16-08-2022;Кемеровская область;75_90_days;SputnikLite;NULL;NULL;NULL
2022.07_16-08-2022;Кемеровская область;75_90_days;SputnikV;-0.74844;-3.20716;0.27337
2022.07_16-08-2022;Кемеровская область;90_105_days;AllVaccines;-1.01434;-2.752;-0.08144
2022.07_16-08-2022;Кемеровская область;90_105_days;CoviVac;-16.46326;-53.21118;-4.62551
2022.07_16-08-2022;Кемеровская область;90_105_days;EpiVacCorona;-5.10731;-17.95891;-0.96737
2022.07_16-08-2022;Кемеровская область;90_105_days;SputnikLite;NULL;NULL;NULL
2022.07_16-08-2022;Кемеровская область;90_105_days;SputnikV;-0.46188;-2.25951;0.34435
2022.07_16-08-2022;Кировская область;105_165_days;AllVaccines;0.25497;-0.07134;0.48189
2022.07_16-08-2022;Кировская область;105_165_days;CoviVac;-2.09973;-11.411;0.22582
2022.07_16-08-2022;Кировская область;105_165_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;Кировская область;105_165_days;SputnikLite;0.18984;-0.29123;0.49168
2022.07_16-08-2022;Кировская область;105_165_days;SputnikV;0.25813;-0.31073;0.5801
2022.07_16-08-2022;Кировская область;165_195_days;AllVaccines;0.01845;-0.31537;0.26756
2022.07_16-08-2022;Кировская область;165_195_days;CoviVac;-1.75364;-10.02532;0.31226
2022.07_16-08-2022;Кировская область;165_195_days;EpiVacCorona;-1.73006;-5.57326;-0.13387
2022.07_16-08-2022;Кировская область;165_195_days;SputnikLite;0.00357;-0.39595;0.28875
2022.07_16-08-2022;Кировская область;165_195_days;SputnikV;0.21402;-0.57597;0.60801
2022.07_16-08-2022;Кировская область;21_45_days;AllVaccines;-0.2611;-1.43079;0.34574
2022.07_16-08-2022;Кировская область;21_45_days;CoviVac;NULL;NULL;NULL
2022.07_16-08-2022;Кировская область;21_45_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;Кировская область;21_45_days;SputnikLite;NULL;NULL;NULL
2022.07_16-08-2022;Кировская область;21_45_days;SputnikV;-0.60628;-2.09613;0.16666
2022.07_16-08-2022;Кировская область;45_75_days;AllVaccines;-0.15802;-1.43531;0.44935
2022.07_16-08-2022;Кировская область;45_75_days;CoviVac;NULL;NULL;NULL
2022.07_16-08-2022;Кировская область;45_75_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;Кировская область;45_75_days;SputnikLite;NULL;NULL;NULL
2022.07_16-08-2022;Кировская область;45_75_days;SputnikV;-0.58832;-2.34023;0.24473
2022.07_16-08-2022;Кировская область;75_90_days;AllVaccines;NULL;NULL;NULL
2022.07_16-08-2022;Кировская область;75_90_days;CoviVac;NULL;NULL;NULL
2022.07_16-08-2022;Кировская область;75_90_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;Кировская область;75_90_days;SputnikLite;NULL;NULL;NULL
2022.07_16-08-2022;Кировская область;75_90_days;SputnikV;NULL;NULL;NULL
2022.07_16-08-2022;Кировская область;90_105_days;AllVaccines;-0.75638;-2.91877;0.2128
2022.07_16-08-2022;Кировская область;90_105_days;CoviVac;NULL;NULL;NULL
2022.07_16-08-2022;Кировская область;90_105_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;Кировская область;90_105_days;SputnikLite;-0.41002;-4.64558;0.64784
2022.07_16-08-2022;Кировская область;90_105_days;SputnikV;-1.89435;-5.96883;-0.2021
2022.07_16-08-2022;Костромская область;105_165_days;AllVaccines;-0.08223;-1.20049;0.46774
2022.07_16-08-2022;Костромская область;105_165_days;CoviVac;NULL;NULL;NULL
2022.07_16-08-2022;Костромская область;105_165_days;EpiVacCorona;-6.00801;-17.88964;-1.59995
2022.07_16-08-2022;Костромская область;105_165_days;SputnikLite;-0.42081;-2.8297;0.47288
2022.07_16-08-2022;Костромская область;105_165_days;SputnikV;0.46625;-1.15156;0.86759
2022.07_16-08-2022;Костромская область;165_195_days;AllVaccines;-0.41859;-2.20319;0.37175
2022.07_16-08-2022;Костромская область;165_195_days;CoviVac;NULL;NULL;NULL
2022.07_16-08-2022;Костромская область;165_195_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;Костромская область;165_195_days;SputnikLite;-0.59588;-3.30159;0.40793
2022.07_16-08-2022;Костромская область;165_195_days;SputnikV;-1.37913;-6.45079;0.24031
2022.07_16-08-2022;Костромская область;21_45_days;AllVaccines;NULL;NULL;NULL
2022.07_16-08-2022;Костромская область;21_45_days;CoviVac;NULL;NULL;NULL
2022.07_16-08-2022;Костромская область;21_45_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;Костромская область;21_45_days;SputnikLite;NULL;NULL;NULL
2022.07_16-08-2022;Костромская область;21_45_days;SputnikV;NULL;NULL;NULL
2022.07_16-08-2022;Костромская область;45_75_days;AllVaccines;-3.47505;-17.03919;-0.11014
2022.07_16-08-2022;Костромская область;45_75_days;CoviVac;-50.1264;-205.09358;-11.68311
2022.07_16-08-2022;Костромская область;45_75_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;Костромская область;45_75_days;SputnikLite;NULL;NULL;NULL
2022.07_16-08-2022;Костромская область;45_75_days;SputnikV;NULL;NULL;NULL
2022.07_16-08-2022;Костромская область;75_90_days;AllVaccines;NULL;NULL;NULL
2022.07_16-08-2022;Костромская область;75_90_days;CoviVac;NULL;NULL;NULL
2022.07_16-08-2022;Костромская область;75_90_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;Костромская область;75_90_days;SputnikLite;NULL;NULL;NULL
2022.07_16-08-2022;Костромская область;75_90_days;SputnikV;NULL;NULL;NULL
2022.07_16-08-2022;Костромская область;90_105_days;AllVaccines;-4.1152;-19.61967;-0.26895
2022.07_16-08-2022;Костромская область;90_105_days;CoviVac;NULL;NULL;NULL
2022.07_16-08-2022;Костромская область;90_105_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;Костромская область;90_105_days;SputnikLite;NULL;NULL;NULL
2022.07_16-08-2022;Костромская область;90_105_days;SputnikV;-5.69206;-25.9761;-0.66012
2022.07_16-08-2022;Краснодарский край;105_165_days;AllVaccines;0.02566;-0.17723;0.19358
2022.07_16-08-2022;Краснодарский край;105_165_days;CoviVac;-2.81249;-9.16682;-0.42966
2022.07_16-08-2022;Краснодарский край;105_165_days;EpiVacCorona;0.05404;-0.89385;0.52751
2022.07_16-08-2022;Краснодарский край;105_165_days;SputnikLite;-0.3862;-0.9759;0.0275
2022.07_16-08-2022;Краснодарский край;105_165_days;SputnikV;0.13391;-0.09354;0.31405
2022.07_16-08-2022;Краснодарский край;165_195_days;AllVaccines;-0.23714;-0.49014;-0.02709
2022.07_16-08-2022;Краснодарский край;165_195_days;CoviVac;-2.04325;-11.17571;0.23936
2022.07_16-08-2022;Краснодарский край;165_195_days;EpiVacCorona;-0.61482;-4.01056;0.47957
2022.07_16-08-2022;Краснодарский край;165_195_days;SputnikLite;-0.35325;-0.74526;-0.04928
2022.07_16-08-2022;Краснодарский край;165_195_days;SputnikV;-0.13757;-0.49011;0.13156
2022.07_16-08-2022;Краснодарский край;21_45_days;AllVaccines;0.12438;-0.37538;0.44254
2022.07_16-08-2022;Краснодарский край;21_45_days;CoviVac;-2.32332;-9.31179;-0.07105
2022.07_16-08-2022;Краснодарский край;21_45_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;Краснодарский край;21_45_days;SputnikLite;-2.45214;-9.7115;-0.11257
2022.07_16-08-2022;Краснодарский край;21_45_days;SputnikV;0.14158;-0.42629;0.48336
2022.07_16-08-2022;Краснодарский край;45_75_days;AllVaccines;-0.10944;-0.70498;0.27808
2022.07_16-08-2022;Краснодарский край;45_75_days;CoviVac;-1.27528;-5.06753;0.14679
2022.07_16-08-2022;Краснодарский край;45_75_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;Краснодарский край;45_75_days;SputnikLite;-1.9425;-8.13014;0.05168
2022.07_16-08-2022;Краснодарский край;45_75_days;SputnikV;-0.03085;-0.68558;0.36957
2022.07_16-08-2022;Краснодарский край;75_90_days;AllVaccines;0.31323;-0.37495;0.65696
2022.07_16-08-2022;Краснодарский край;75_90_days;CoviVac;-6.18403;-21.29098;-1.3153
2022.07_16-08-2022;Краснодарский край;75_90_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;Краснодарский край;75_90_days;SputnikLite;-4.19739;-19.79417;-0.29906
2022.07_16-08-2022;Краснодарский край;75_90_days;SputnikV;0.51929;-0.15605;0.80011
2022.07_16-08-2022;Краснодарский край;90_105_days;AllVaccines;-0.05453;-0.90691;0.41684
2022.07_16-08-2022;Краснодарский край;90_105_days;CoviVac;-4.83902;-22.36125;-0.45943
2022.07_16-08-2022;Краснодарский край;90_105_days;EpiVacCorona;-1.17655;-7.70814;0.45598
2022.07_16-08-2022;Краснодарский край;90_105_days;SputnikLite;-3.35321;-12.50736;-0.40297
2022.07_16-08-2022;Краснодарский край;90_105_days;SputnikV;0.17525;-0.73198;0.60727
2022.07_16-08-2022;Красноярский край;105_165_days;AllVaccines;-0.02495;-0.23828;0.15163
2022.07_16-08-2022;Красноярский край;105_165_days;CoviVac;-1.07357;-4.53104;0.22262
2022.07_16-08-2022;Красноярский край;105_165_days;EpiVacCorona;0.19351;-1.50301;0.74014
2022.07_16-08-2022;Красноярский край;105_165_days;SputnikLite;-0.15258;-0.51496;0.12312
2022.07_16-08-2022;Красноярский край;105_165_days;SputnikV;0.04375;-0.24233;0.26395
2022.07_16-08-2022;Красноярский край;165_195_days;AllVaccines;-0.16627;-0.42187;0.04339
2022.07_16-08-2022;Красноярский край;165_195_days;CoviVac;-1.34811;-8.39623;0.41321
2022.07_16-08-2022;Красноярский край;165_195_days;EpiVacCorona;-0.08749;-2.3751;0.6496
2022.07_16-08-2022;Красноярский край;165_195_days;SputnikLite;-0.24545;-0.59855;0.02965
2022.07_16-08-2022;Красноярский край;165_195_days;SputnikV;-0.10162;-0.51928;0.20122
2022.07_16-08-2022;Красноярский край;21_45_days;AllVaccines;0.5158;-0.16476;0.79872
2022.07_16-08-2022;Красноярский край;21_45_days;CoviVac;NULL;NULL;NULL
2022.07_16-08-2022;Красноярский край;21_45_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;Красноярский край;21_45_days;SputnikLite;NULL;NULL;NULL
2022.07_16-08-2022;Красноярский край;21_45_days;SputnikV;0.30769;-0.66538;0.7122
2022.07_16-08-2022;Красноярский край;45_75_days;AllVaccines;-0.22681;-1.0758;0.27495
2022.07_16-08-2022;Красноярский край;45_75_days;CoviVac;-1.63227;-9.53331;0.3422
2022.07_16-08-2022;Красноярский край;45_75_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;Красноярский край;45_75_days;SputnikLite;-1.87713;-6.67445;-0.07863
2022.07_16-08-2022;Красноярский край;45_75_days;SputnikV;-0.23352;-1.29664;0.33747
2022.07_16-08-2022;Красноярский край;75_90_days;AllVaccines;0.44003;-0.34702;0.76722
2022.07_16-08-2022;Красноярский край;75_90_days;CoviVac;NULL;NULL;NULL
2022.07_16-08-2022;Красноярский край;75_90_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;Красноярский край;75_90_days;SputnikLite;NULL;NULL;NULL
2022.07_16-08-2022;Красноярский край;75_90_days;SputnikV;0.01862;-1.36075;0.59203
2022.07_16-08-2022;Красноярский край;90_105_days;AllVaccines;0.17106;-0.59583;0.56942
2022.07_16-08-2022;Красноярский край;90_105_days;CoviVac;-3.91318;-18.66062;-0.2278
2022.07_16-08-2022;Красноярский край;90_105_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;Красноярский край;90_105_days;SputnikLite;0.21839;-2.12772;0.80467
2022.07_16-08-2022;Красноярский край;90_105_days;SputnikV;0.02806;-1.04176;0.53733
2022.07_16-08-2022;Курганская область;105_165_days;AllVaccines;0.08391;-0.23917;0.32276
2022.07_16-08-2022;Курганская область;105_165_days;CoviVac;-5.82663;-20.21815;-1.19637
2022.07_16-08-2022;Курганская область;105_165_days;EpiVacCorona;0.4256;-1.30129;0.85663
2022.07_16-08-2022;Курганская область;105_165_days;SputnikLite;0.15443;-0.26046;0.43275
2022.07_16-08-2022;Курганская область;105_165_days;SputnikV;-0.16217;-0.85584;0.27222
2022.07_16-08-2022;Курганская область;165_195_days;AllVaccines;0.09969;-0.27077;0.36216
2022.07_16-08-2022;Курганская область;165_195_days;CoviVac;NULL;NULL;NULL
2022.07_16-08-2022;Курганская область;165_195_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;Курганская область;165_195_days;SputnikLite;-0.17443;-0.69313;0.18536
2022.07_16-08-2022;Курганская область;165_195_days;SputnikV;0.48265;-0.24689;0.78534
2022.07_16-08-2022;Курганская область;21_45_days;AllVaccines;-0.0255;-1.15916;0.51294
2022.07_16-08-2022;Курганская область;21_45_days;CoviVac;NULL;NULL;NULL
2022.07_16-08-2022;Курганская область;21_45_days;EpiVacCorona;-0.26343;-4.06183;0.68465
2022.07_16-08-2022;Курганская область;21_45_days;SputnikLite;NULL;NULL;NULL
2022.07_16-08-2022;Курганская область;21_45_days;SputnikV;-0.29464;-1.89172;0.42038
2022.07_16-08-2022;Курганская область;45_75_days;AllVaccines;-0.37381;-1.89253;0.3475
2022.07_16-08-2022;Курганская область;45_75_days;CoviVac;NULL;NULL;NULL
2022.07_16-08-2022;Курганская область;45_75_days;EpiVacCorona;-1.70344;-9.83109;0.32522
2022.07_16-08-2022;Курганская область;45_75_days;SputnikLite;NULL;NULL;NULL
2022.07_16-08-2022;Курганская область;45_75_days;SputnikV;-0.93293;-3.31741;0.13462
2022.07_16-08-2022;Курганская область;75_90_days;AllVaccines;-0.89339;-3.56333;0.21441
2022.07_16-08-2022;Курганская область;75_90_days;CoviVac;NULL;NULL;NULL
2022.07_16-08-2022;Курганская область;75_90_days;EpiVacCorona;-4.38591;-20.57818;-0.34432
2022.07_16-08-2022;Курганская область;75_90_days;SputnikLite;NULL;NULL;NULL
2022.07_16-08-2022;Курганская область;75_90_days;SputnikV;-1.46758;-5.59325;0.07648
2022.07_16-08-2022;Курганская область;90_105_days;AllVaccines;-0.50133;-3.01148;0.43811
2022.07_16-08-2022;Курганская область;90_105_days;CoviVac;NULL;NULL;NULL
2022.07_16-08-2022;Курганская область;90_105_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;Курганская область;90_105_days;SputnikLite;NULL;NULL;NULL
2022.07_16-08-2022;Курганская область;90_105_days;SputnikV;-1.29589;-5.13448;0.14074
2022.07_16-08-2022;Курская область;105_165_days;AllVaccines;0.17755;-0.1604;0.41708
2022.07_16-08-2022;Курская область;105_165_days;CoviVac;-0.57799;-5.32148;0.6061
2022.07_16-08-2022;Курская область;105_165_days;EpiVacCorona;-1.12341;-4.11695;0.11884
2022.07_16-08-2022;Курская область;105_165_days;SputnikLite;0.35696;-0.09129;0.62109
2022.07_16-08-2022;Курская область;105_165_days;SputnikV;-0.01595;-0.6674;0.38098
2022.07_16-08-2022;Курская область;165_195_days;AllVaccines;0.09218;-0.30086;0.36646
2022.07_16-08-2022;Курская область;165_195_days;CoviVac;-2.79173;-14.18984;0.0535
2022.07_16-08-2022;Курская область;165_195_days;EpiVacCorona;-0.73641;-4.39638;0.44127
2022.07_16-08-2022;Курская область;165_195_days;SputnikLite;0.18577;-0.25667;0.47244
2022.07_16-08-2022;Курская область;165_195_days;SputnikV;-0.31089;-1.63131;0.34693
2022.07_16-08-2022;Курская область;21_45_days;AllVaccines;0.49695;-0.56336;0.83813
2022.07_16-08-2022;Курская область;21_45_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;Курская область;21_45_days;SputnikLite;-0.12699;-2.50243;0.63737
2022.07_16-08-2022;Курская область;21_45_days;SputnikV;NULL;NULL;NULL
2022.07_16-08-2022;Курская область;45_75_days;AllVaccines;-0.47478;-1.96027;0.26528
2022.07_16-08-2022;Курская область;45_75_days;CoviVac;NULL;NULL;NULL
2022.07_16-08-2022;Курская область;45_75_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;Курская область;45_75_days;SputnikLite;-1.15251;-4.75063;0.1943
2022.07_16-08-2022;Курская область;45_75_days;SputnikV;-0.53367;-2.69582;0.36356
2022.07_16-08-2022;Курская область;75_90_days;AllVaccines;-0.47605;-2.55695;0.38748
2022.07_16-08-2022;Курская область;75_90_days;CoviVac;NULL;NULL;NULL
2022.07_16-08-2022;Курская область;75_90_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;Курская область;75_90_days;SputnikLite;-1.77258;-7.61657;0.10786
2022.07_16-08-2022;Курская область;75_90_days;SputnikV;-0.52956;-3.75354;0.50783
2022.07_16-08-2022;Курская область;90_105_days;AllVaccines;0.19893;-1.14013;0.70015
2022.07_16-08-2022;Курская область;90_105_days;CoviVac;NULL;NULL;NULL
2022.07_16-08-2022;Курская область;90_105_days;EpiVacCorona;-7.76594;-26.24266;-1.82064
2022.07_16-08-2022;Курская область;90_105_days;SputnikLite;NULL;NULL;NULL
2022.07_16-08-2022;Курская область;90_105_days;SputnikV;0.44481;-1.22413;0.86141
2022.07_16-08-2022;Ленинградская область;105_165_days;AllVaccines;-0.02984;-0.27417;0.16764
2022.07_16-08-2022;Ленинградская область;105_165_days;CoviVac;-3.07694;-8.80397;-0.69538
2022.07_16-08-2022;Ленинградская область;105_165_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;Ленинградская область;105_165_days;SputnikLite;-0.34588;-0.87049;0.03159
2022.07_16-08-2022;Ленинградская область;105_165_days;SputnikV;0.12489;-0.16127;0.34053
2022.07_16-08-2022;Ленинградская область;165_195_days;AllVaccines;0.13222;-0.1007;0.31586
2022.07_16-08-2022;Ленинградская область;165_195_days;CoviVac;-2.35816;-9.41939;-0.08233
2022.07_16-08-2022;Ленинградская область;165_195_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;Ленинградская область;165_195_days;SputnikLite;0.06836;-0.28909;0.32669
2022.07_16-08-2022;Ленинградская область;165_195_days;SputnikV;0.15278;-0.20084;0.40227
2022.07_16-08-2022;Ленинградская область;21_45_days;AllVaccines;-0.01442;-1.03081;0.49328
2022.07_16-08-2022;Ленинградская область;21_45_days;CoviVac;NULL;NULL;NULL
2022.07_16-08-2022;Ленинградская область;21_45_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;Ленинградская область;21_45_days;SputnikLite;-0.99988;-7.00106;0.50012
2022.07_16-08-2022;Ленинградская область;21_45_days;SputnikV;-0.06505;-1.23649;0.49281
2022.07_16-08-2022;Ленинградская область;45_75_days;AllVaccines;0.02247;-0.88103;0.492
2022.07_16-08-2022;Ленинградская область;45_75_days;CoviVac;NULL;NULL;NULL
2022.07_16-08-2022;Ленинградская область;45_75_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;Ленинградская область;45_75_days;SputnikLite;-1.11554;-4.64128;0.20665
2022.07_16-08-2022;Ленинградская область;45_75_days;SputnikV;0.13611;-0.92485;0.61228
2022.07_16-08-2022;Ленинградская область;75_90_days;AllVaccines;0.0786;-1.21572;0.61684
2022.07_16-08-2022;Ленинградская область;75_90_days;CoviVac;NULL;NULL;NULL
2022.07_16-08-2022;Ленинградская область;75_90_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;Ленинградская область;75_90_days;SputnikLite;-2.18786;-8.89103;-0.02744
2022.07_16-08-2022;Ленинградская область;75_90_days;SputnikV;0.25633;-1.3074;0.76032
2022.07_16-08-2022;Ленинградская область;90_105_days;AllVaccines;-0.00206;-1.23272;0.55027
2022.07_16-08-2022;Ленинградская область;90_105_days;CoviVac;NULL;NULL;NULL
2022.07_16-08-2022;Ленинградская область;90_105_days;EpiVacCorona;NULL;NULL;NULL
2022.07_16-08-2022;Ленинградская область;90_105_days;SputnikLite;NULL;NULL;NULL
2022.07_16-08-2022;Ленинградская область;90_105_days;SputnikV;-0.44936;-2.22936;0.34951
2022.07_16-08-2022;Липецкая область;105_165_days;AllVaccines;-0.01708;-0.41714;0.27004
2022.07_16-08-2022;Липецкая область;105_165_days;CoviVac;NULL;NULL;NULL
2022.07_16-08-2022;Липецкая область;105_165_days;EpiVacCorona;-0.46863;-2.9248;0.45045
